page,p
1,"journal of environmental planning and management issn: (print) (online) journal homepage: www.tandfonline.com/journals/cjep20 when digital technology innovation enhances indigenous peoples’ e-participation in climate change resilience-building: perspectives under the “e-gis smart, inclusive, and, climate-resilient indigenous peoples landscape and community clearing-house mechanism solution” sylvestre-josé-tidiane manga to cite this article: sylvestre-josé-tidiane manga (2023) when digital technology innovation enhances indigenous peoples’ e-participation in climate change resilience-building: perspectives under the “e-gis smart, inclusive, and, climate-resilient indigenous peoples landscape and community clearing-house mechanism solution”, journal of environmental planning and management, 66:12, 2467-2486, doi: 10.1080/09640568.2022.2078690 to link to this article: https://doi.org/10.1080/09640568.2022.2078690 published online: 17 jun 2022."
1,submit your article to this journal article views: 666 view related articles view crossmark data citing articles: 3 view citing articles full terms & conditions of access and use can be found at https://www.tandfonline.com/action/journalinformation?
1,journalcode=cjep20
2,"journal of environmental planning and management, 2023 vol."
2,"66, no. 12, 2467–2486, https://doi.org/10.1080/09640568.2022.2078690 when digital technology innovation enhances indigenous peoples’ e-participation in climate change resilience-building: perspectives under the “e-gis smart, inclusive, and, climate-resilient indigenous peoples landscape and community clearing-house mechanism solution” sylvestre-jose-tidiane mangaa,b,c a international consultant to the uncbd parties, montreal, canada; bunccd international consultant, bonn, germany; cmcgill university affiliated centre of international sustainable developmental law, montreal, canada (received 25 april 2020; revised 5 march 2022; final version received 5 may 2022) web-based multilingual tools to facilitate communication between local and indigenous communities is an environmental technology approach emerging under the united nations biodiversity global agenda."
2,"to better address present climate resilience-building challenges in the current smart world, this contribution presents innovative avenues leading to the development of the « e-gis smart, inclusive, and, climate-resilient indigenous peoples landscape and community clearing- house mechanism solution » which is meant to be used in the mobile-friendly website environment and the e-app environment."
2,"this technology policy paper shows that digital gis, remote sensing products of observation satellites, and smartphone applications products derived from telecommunication satellites can help facilitate indigenous peoples’ contribution to climate resilience-building within their territories in terms of biodiversity and within their communities in terms of poverty eradication throughout the implementation of the united nations indigenous peoples’ affairs global agenda."
2,"the methodology used consists, therefore, of a plural technology interface that promises, among many other benefits, to facilitate indigenous peoples’ participation in decision-making processes."
2,this research reminds us of the importance of state responsibility in these matters.
2,it shows the importance of indigenous peoples’ participation in the implementation of global instances’ agendas through national reporting.
2,it highlights the key role of indigenous information decolonization and governance as principles of indigenous peoples’ sovereignty over indigenous information.
2,"the results of this research are illustrated with case studies, when possible, to show the potential of the solution to achieve its goals in climate resilience-building in indigenous peoples landscapes and communities with indigenous peoples and the financial support of state governments and inter-governmental institutions."
2,"in canada, the use of the solution to move forward in the indigenous peoples affairs’ agenda, has the potential, among others, to enhance the expected outcome of the canadian first nations data governance strategy (fndgs) which is adopted as a response to an evolving smart planet to ensure no first nation is left behind."
2,keywords: indigenous peoples affairs global agenda; climate change adaptation; indigenous peoples’ sovereignty; indigenous information; indigenous peoples’ e-participation; indigenous peoples’ right to decision-making; technology solutions and innovation; landscape geomatics engineering technology trends e-mail:sylvestremanga7@outlook.com ß 2022 newcastle university
3,2468 s.-j.-t.
3,manga 1.
3,"introduction indigenous territories, especially in canadian northern regions, are heavily exposed to the climate change threat."
3,"consequently, indigenous and local communities consist most of the time of vulnerable populations to climate change threats."
3,"also, smart cities are emerging across the planet while rural territories including indigenous and local communities are absent from the vocabulary of the current smart world."
3,this technol- ogy policy contribution brings the hope that indigenous peoples can be included in an evolving smart planet to ensure no first nation is left behind (fndgs 2020).
3,"it shows that technology innovation in landscape geomatics engineering, along with the new information technologies (nits) tools such as the internet and smartphone applica- tions, can lead to the building of digital smart indigenous peoples territories and com- munities to better face climate change resilience-building challenges."
3,"smartphone applications and the internet, including apps, are meant to democratize indigenous peoples’ participation in decision-making processes in the management of indigenous territories and communities."
3,they are also meant to facilitate the full assertion of indigenous peoples’ human rights.
3,"online clearing-house mechanisms (chms) are also suggested in this contribution as institutional arrangements to enable information sharing and exchange between different stakeholders of the indigenous peoples’ affairs global agenda, including indigenous peoples and thus, at the landscape local scale, between landscapes at the national level, regionally or globally."
3,nits allow indigenous populations to bring information to the management of their territories and communities’ lives as events occur.
3,"moreover, this contribution enhances the potential of e-smart and inclusive indigenous peoples’ chms with a landscape geomatics framework consisting of an online smart digital gis."
3,"in total, these innovative technol- ogy interfaces and institutional arrangements lead to the development of the “e- gis smart, inclusive, and climate-resilient indigenous people landscape and community clearing-house mechanism solution”, referred to hereafter as the “solution”."
3,"the solution raises to a higher level of technology innovation, the initial web-based multi- lingual environmental technology approach emerging under the united nations biodiversity global agenda to facilitate communication between local and indigenous communities."
3,"it shows, in fact, that gis technology, remote sensing products of obser- vation satellites, and smartphone application products derived from telecommunication satellites, can enhance the potential of a web-based multilingual environmental tech- nology approach."
3,"the solution will be made available in an application environment (app) and on a mobile-friendly website (e-online) and is meant to generate e-smart and inclusive indigenous peoples’ territories and communities managed with inclusive institutional arrangements, allowing indigenous peoples to use their traditional know- ledge, innovations, practices, and experiences as their contribution to the implementa- tion of the indigenous peoples’ global affairs agenda."
3,"we plan to show that, like other local communities under the un biodiversity global agenda, indigenous peoples can contribute to building climate resilience in the current digital smart world."
3,results of the research consist of the promises of the solution.
3,results will be discussed in the last chapter with a reminder of the import- ance of governance arrangements enabling indigenous peoples to administer the solution’ stations for themselves with the financial support of state governments and inter-governmental institutions.
3,the administration by indigenous people for indigenous peoples is shared as a governance arrangement that gives indigenous peoples sovereignty over their information without giving them financial burdens or
4,journal of environmental planning and management 2469 unpaid labor responsibilities.
4,"among many other advantages, the administration of the solution’s stations by indigenous peoples for indigenous peoples avoids using indigenous labor and knowledge to benefit scientific endeavors without reciprocating benefits."
4,"among other results, this contribution encourages canada to take advantage of the potential of the solution to enhance the canadian first nations data governance strategy (fndgs)."
4,the strategy is a response to an evolving smart planet to ensure no first nation is left behind.
4,"according to the first nations information governance center (fnigc), the fndgs is funded through federal budget 2018 in support of the new fiscal relationship strengthening first nations institutions and community capacity and is a response to a direction received from first nations leadership (fndgs 2020)."
4,"from the web-based multilingual tool to the “e-gis smart, inclusive, and, climate-resilient indigenous peoples landscape and community clearing-house mechanism solution”: a technology approach emerging under both biodiversity and climate change global agendas according to the secretariat of the united nations convention on biological diversity (uncbd), the clearing-house mechanism (chm) is an institutional arrangement ena- bling different stakeholders – financial, scientific, or administrative – to share and exchange information towards achieving common goals within an organization (uncbd 2021)."
4,chm is adopted within the global biodiversity agenda to facilitate the implementation of normative provisions achieved through multilateralism including article 18.3 of the uncbd and article 20.1 of the cartagena protocol on biosafety.
4,web-based multilingual tools have the potential to boost chms in facilitating commu- nication between local and indigenous communities.
4,the use of online technology is an emerging environmental technology approach in the implementation of both biodiversity and climate change global agendas.
4,"however, to boost achievements on the global indigenous peoples affairs global agenda this chapter brings technology innovation to a higher step in adding to online chm’s potential, the benefit of gis, remote sensing, and nits technology environments."
4,"web-based multilingual tools to boost inclusion on indigenous peoples’ matters uncbd experts stated, at their recommendation 19 of technical series no. 25, that sustainable development in the light of adaptation to climate change needs to docu- ment, analyze and apply traditional knowledge in ways that complement science-based knowledge and vice versa (uncbd 2006)."
4,"they added that nits will facilitate com- munication between local and indigenous communities, such as web-based multilin- gual tools (uncbd 2006)."
4,these recommendations had an impact on the deliberation of the international work group for indigenous affairs (iwgia) held in copenhagen on 21–22 february 2008.
4,experts gathered to consider climate change-related chal- lenges and major threats that indigenous peoples are facing in the preparation of the 7th session of the 2009 united nations permanent forum on indigenous issues and of the world conference on climate change (cop 15).
4,"especially, experts discussed the impacts of climate change on indigenous peoples and pondered on how global agree- ments, political processes, and restrictive regulations hinder indigenous peoples in their"
5,2470 s.-j.-t.
5,manga response and adaption to climate change.
5,"in 2017, delegates at the tenth meeting of the uncbd ad hoc open-ended working group on article 8(j) and related provisions agreed on a set of recommendations related to the contribution of indigenous peoples and local communities to the cbd implementation (uncbd 2017)."
5,"cristiana palmer, who was then executive secretary of the cbd, stated that the meeting was an occasion for experts to demonstrate that indigenous peoples and local communities remain at the very heart of the convention and that their effective participation is needed."
5,this statement echoes uncbd expert authors of the technical series no. 25 who added at point 19 of their recommendations that understanding changes in bio- logical diversity due to climate change should include the active participation of local and indigenous people’s communities (uncbd 2006).
5,"at the unfccc conference in bali in december 2007, participants agreed that addressing climate change effectively requires mitigation, adaptation, new technology, and financing (annex 1 of the conference report)."
5,"it was also noticed that enhancing and supporting the adaptive cap- acity of indigenous peoples will only be successful if integrated with other strategies such as disaster preparation, land-use planning, environmental conservation, and national plans for sustainable development (un 2008)."
5,the bali agenda also covers the transfer of technological capacity that most indigenous communities do not possess to enable their effective participation in the elaboration of state-developed mitigation measures and ensure that such schemes do not negatively affect their vulnerable communities (un 2008).
5,"it has been, however, cautiously agreed that some mitigation measures may have undesirable direct and indirect consequences for indigenous people’s communities."
5,"for instance, certain agricultural initiatives may reduce greenhouse gas emissions but may lead to an increase in monoculture crops and plantations and an associated decline in biodiversity and food security (un 2008)."
5,normative activity may benefit from the solution to build climate-resilient indigenous peoples’ territories and local communities through synergetic sustainable management processes.
5,1.2.1.
5,"gis and remote sensing potential in indigenous landscape sustainable management and limits thereof according to usgs (2021), a geographic information system (gis) is a computer system that analyzes and displays geographically referenced information."
5,it uses data that is attached to a unique location.
5,"gis is a framework for gathering, managing, and analyzing information that integrates many types of data and analyzes spatial location, and organizes layers of information into visualizations using maps and 3 d scenes (esri 2021)."
5,"gis reveals deeper insights into data, such as patterns, relationships, and situations to assist users to make smarter decisions (esri 2021)."
5,gis technology has allowed the academic milieu to produce georeferenced measurements and databases on landscapes and territories over several decades since the technology has been in the market.
5,gis helped peter h.
5,verburg et al. (2004) to highlight current practice and research priorities through land-use change modeling.
5,"geoghegana, wainger, and bockstael (1997) conducted a study on spatial landscape indices in a hedonic frame- work using an ecological economics analysis with gis."
5,an integrated gis-based model has been used by hilferink and rietveld (1999) to simulate long-term projec- tions of land use in urban and rural areas.
5,gis-based simulation can also be used to conduct exploratory analysis for space-time processes (wu 1999).
5,"also, gis technol- ogy was used by li and gar-on yeh (2000) to conduct research activities in"
6,journal of environmental planning and management 2471 sustainable urban modeling.
6,"in 2002, these two authors built neural-network-based cel- lular automata for simulating multiple land-use changes also using gis (li and gar- on yeh 2002)."
6,gis technology use in indigenous peoples’ matters is a technology solution with a big potential to respond to the copenhagen meeting call of 2008 in the context of climate change policy-making.
6,remote sensing as satellite imagery processing is a correlative technology to gis and has been enabling gis to enhance its potential.
6,remote sensing imageries are used to update gis georeferenced systems information and data.
6,many landscape research proj- ects are conducted using remote sensing on climate-related matters.
6,"for instance, integra- tion of remote sensing and eddy covariance measurements have been conducted to study the effect of algal blooms on carbon emissions in western lake erie by ouyang et al."
6,(2017).
6,"tan, ma, and kuang (2017) used satellite imagery processing to study spatial- temporal characteristics and climatic responses of water-level fluctuations of global major lakes from 2002 to 2010."
6,"snow mass and peak river flows for the mackenzie river basin have been estimated using remote sensing technology by wang, zhou, and russell (2017)."
6,"liang (2017) integrated remote sensing technology and water balance modeling principles to quantify streamflow variations in ungaged lake basins, in china."
6,"likewise, in northern tanzania, studies on endemic cichlid habitats using remote sensing have been conducted on land cover, land use, and climate change impacts by kalacska et al."
6,(2017).
6,"in the nepal himalaya, rounce, watson, and mckinney (2017) used remote sensing to identify hazards and risks for glacial lakes, whereas in the central qinghai- tibet plateau."
6,ke et al. (2017) used remote sensing to study glacier change and the rela- tionship with changing climate.
6,"no doubt, the role of remote sensing or earth observation satellites in climate change studies is important (yang et al."
6,2013).
6,"along with gis tech- nology, the use of remote sensing technology on indigenous peoples’ matters is a tech- nology solution with a big potential to respond to the copenhagen meeting call of 2008 in the context of climate change policy-making at the national and regional scales."
6,"however, gis technology along with remote sensing, its correlative technology, are most efficient at the local scale."
