page,p
1,"international journal of remote sensing issn: 0143-1161 (print) 1366-5901 (online) journal homepage: www.tandfonline.com/journals/tres20 evaluation ﬁnanciere de l'integration de technologies satellitaires, pour le suivi du couvert nival, au sein d'une entreprise hydroelectrique (le cas de l'utilisation du satellite radarsat i dans le bassin de la riviere la grande (quebec)) d."
1,"martin, m."
1,"bernier, j."
1,sasseville & r.
1,charbonneau to cite this article: d.
1,"martin, m."
1,"bernier, j."
1,sasseville & r.
1,"charbonneau (1999) evaluation ﬁnanciere de l'integration de technologies satellitaires, pour le suivi du couvert nival, au sein d'une entreprise hydroelectrique (le cas de l'utilisation du satellite radarsat i dans le bassin de la riviere la grande (quebec)), international journal of remote sensing, 20:10, 2033-2048, doi: 10.1080/014311699212335 to link to this article: https://doi.org/10.1080/014311699212335 published online: 25 nov 2010."
1,submit your article to this journal article views: 42 view related articles full terms & conditions of access and use can be found at https://www.tandfonline.com/action/journalinformation?
1,journalcode=tres20
2,"remote sensing, 1999, vol."
2,"20, no."
2,"10, 2033-2048 évaluation financière de l'intégration de technologies satellitaires, pour le suivi du couvert nival, au sein d'une entreprise hydroélectrique (le cas de l'utilisation du satellite radarsat i dans le bassin de la rivière la grande (québec)) d."
2,"martin, m."
2,"bernier, j."
2,"sasseville inrs-eau, case postale 7500, sainte-foy, québec, canada gl v 4c7 e-mail: daniel.martin@space.gc.ca and r."
2,"charbonneau hydro-québec, 540 rue iberville, st-hilaire, québec, canada, j3h 2v7 (reçu le 22 décembre 1997; version revisée le 24 juillet 1998) résumé."
2,une analyse bénéfices-coûts a été menée pour évaluer le potentiel de transfert de technologies satellitaires pour le suivi du couvert nival sur le bassin de la rivière la grande (nord-ouest du québec).
2,"sur une base d'analyse pro forma, nous avons évalué trois modes d'acquisition de l'image de radarsat 1 (scansar, wide et standard) en tenant compte des investissements en r & d et des coûts d'exploitation du projet."
2,les recettes ont été évaluées à partir d'une diminution de l'incertitude sur la mesure de l'équivalent en eau de la neige soit une réduction de l'écart-type sur la prévision des apports.
2,"en raison de la grandeur du territoire à couvrir, le mode scansar 500 km s'impose d'emblée pour un suivi opérationnel du couvert nival, les ratios bénéfices- coûts calculés variant entre 2.3:1 et 3.9:1, avec une hypothèse conservatrice de 4% de réduction de l'écart-type prévisionnel."
2,l'utilisation de scansar 500km est pertinente à partir d'une réduction de 3% de l'écart-type prévisionnel.
2,"en raison du nombre élevé d'images nécessaires pour couvrir toute la superficie du territoire, les modes standard et wide sont pénalisés par les coûts d'acquisition et de traitement des données et les délais qui y sont associés."
2,"cependant, avec ces modes d'acquisition, il reste la possibilité de travailler à partir d'une couverture réduite."
2,"en effet, 75% du bassin peuvent être couvert en mode wide en 4 jours."
2,"les ratios obtenus (1.5:1 et 2:1) confirment l'intérêt d'approfondir cette éven- tualité, particulièrement si des problèmes importants surviennent au niveau de la correction géométrique et de la précision radiométrique des images scansar."
2,abstract.
2,"the emergence, on the markets, of new technologies evokes, for the potential users, a lot of questions concerning the implementation and operation costs associated with these technologies."
2,"nevertheless, for a lot of users, costs should be considered with the benefits these technologies are able to generate."
