page,p
1,"international journal of remote sensing issn: 0143-1161 (print) 1366-5901 (online) journal homepage: www.tandfonline.com/journals/tres20 unmanned aircraft in nature conservation: an example from plant invasions jana müllerová, tomáš bartaloš, josef brůna, petr dvořák & michaela vítková to cite this article: jana müllerová, tomáš bartaloš, josef brůna, petr dvořák & michaela vítková (2017) unmanned aircraft in nature conservation: an example from plant invasions, international journal of remote sensing, 38:8-10, 2177-2198, doi: 10.1080/01431161.2016.1275059 to link to this article: https://doi.org/10.1080/01431161.2016.1275059 published online: 13 jan 2017."
1,submit your article to this journal article views: 895 view related articles view crossmark data citing articles: 21 view citing articles full terms & conditions of access and use can be found at https://www.tandfonline.com/action/journalinformation?
1,journalcode=tres20
2,"international journal of remote sensing, 2017 vol."
2,"38, nos. 8–10, 2177–2198 http://dx.doi.org/10.1080/01431161.2016.1275059 unmanned aircraft in nature conservation: an example from plant invasions jana müllerová a, tomáš bartalošb, josef brůna a,c , petr dvořákd and michaela vítková a a institute of botany, the czech academy of sciences, průhonice, czech republic; bremote sensing department, gisat ltd, prague, czech republic; cinstitute for environmental studies, faculty of science, charles university, prague 2, czech republic; dbrno university of technology, institute of aerospace engineering, brno, czech republic abstract article history to successfully ﬁght plant invasions, new methods enabling fast received 26 september 2016 and eﬃcient monitoring are needed, and remote sensing can accepted 10 december 2016 make their management more eﬃcient and less expensive."
2,"however, the data resolution, cost, and availability can be limiting."
2,"optimal solution depends on the species characteristics, where the spectral and spatial resolution can compensate each other to some extent, and phenology plays an important role."
2,available high spatial resolution satellite data are suﬃcient for recognition of species that are distinct and either large or form uniform patches at size comparable to the data pixel size.
2,"for other spe- cies, higher spatial resolution is needed, and unmanned aircraft (uav) provide data of extremely high spatial resolution (cm) at low cost and high ﬂexibility."
2,"we assess its potential to map invasive black locust (bl, robinia pseudoaccacia), testing imagery of diﬀer- ent origin (satellite, uav), spectral (multispectral, red, green, and blue (rgb) + near-infrared (nir)) and spatial resolution, and var- ious technical approaches to choose the best strategy for the species monitoring balancing between precision of detection and economic feasibility."
2,"using purposely designed low-cost uav with tailless ﬁxed wing design for two consumer cameras (rgb and modiﬁed nir) ensures robustness and repeatable ﬁeld perfor- mance while maintaining high aerodynamic eﬃciency, with result- ing mapping capacity over 10 km2 per day."
2,"several challenges exist in uav application, such as lower spectral resolution, geome- trical and radiometric distortions, and signiﬁcant amount of data (necessity of automatic processing)."
2,"in our study, we tested diﬀer- ent options of uav data processing and present comparison of resulting orthomosaic accuracies."
2,"for repeated measurements, it is extremely important to ensure spatial co-registration of pixels/ objects from diﬀerent phenological phases."
2,"investment in gps receiver in the uav and gps post-processing eliminated laborious collection of ground control points, while maintaining the co- registration of objects across multiple ﬂights."
2,"in our study we provide evidence of beneﬁt of the low cost unmanned system for species monitoring with high classiﬁcation accuracies of target species from uav orthomosaic outcompeting worldview-2 contact jana müllerová jana.mullerova@ibot.cas.cz institute of botany, the czech academy of sciences, zámek 1, 25243 průhonice, czech republic © 2017 informa uk limited, trading as taylor & francis group"
3,2178 j.
3,"müllerová et al. satellite data, and describe methodology that can be used for practical management of invasions."
3,"introduction plant invasions impose increasing impacts not only on biodiversity and ecosystem functioning, but also economy and human health (pimentel, zuniga, and morrison 2005; hulme et al."
3,2009; ehrenfeld 2010; pyšek and richardson 2010).
3,"they can be fast and very dynamic, and this makes the control measures diﬃcult especially at the later stages of invasion (pluess et al."
3,2012).
3,eradication should therefore focus ﬁrst on recently infested sites (müllerová et al.
3,2005; pluess et al.
3,2012).
3,"hence, early and regular detection of the invading species and rapid management response on both local and landscape level is crucial (rejmánek 2000; vilà and ibáñez 2011), and new techniques enabling timely, fast and precise monitoring are urgently needed (european commission 2008, 2014; van kleunen et al."
3,2015).
3,"remote sensing (rs) represents a promising option, potentially reducing the needs for extensive ﬁeld campaigns and connected costs (lawes and wallace 2008; buchanan et al."
3,2015; marvin et al.
3,2016).
3,"it has been successfully applied for some invasive species (for reviews, see c. and asner 2009; bradley 2014; rocchini et al. 2015), mostly for shrubs and trees (hamada et al."
3,2007; hantson et al.
3,2012; somodi et al.
3,2012).
3,the potential for invasive species monitoring has still not been fully exploited and detection algorithms are missing for the majority of invasive species.
3,"our species of interest, black locust (bl, robinia pseudoaccacia), an invasive north american tree widely planted in europe for centuries, is not much exploited although it is very common in europe."
3,"somodi et al. (2012) explored landsat and aerial data (red, green, blue (rgb) and rgb + near-infrared (nir)) potential for the species detection, comparing spring and summer imagery."
3,they determined the spring ﬂowering as an important for the species detection.
3,"wang et al. (2015) used combined spectral, spatial and textural information from ikonos imagery to assess the bl health conditions."
3,"by using spectral characteristics combined with texture measures, they were able to identify the forest health and characterize the spatial structure of stressed forests."
3,"data of very-high spatial resolution, such as from unmanned aerial system (uav), together with semi-automated, computer-assisted processing can enable cost-eﬀective, fast, and frequent monitoring in case of appropriate methodological approach (müllerová et al."
3,2016).
3,"for plant species detection, the proper timing of the rs data acquisition is important since some species might be better detected at certain pheno- logical stages (müllerová, pergl, and pyšek 2013)."
3,"uav can provide ﬂexible data acquisi- tion of very high spatial and temporal resolution data at very low costs, and is also suitable for targeted monitoring (e.g. focus on sites of high natural interest such as natura 2000 sites, areas prone to invasion, or those recently managed to check eradication eﬀectivity)."
3,"amongst the main limits are reduced spectral resolution com- pared to the satellite imagery, and the data degradation by geometrical distortions and other inhomogeneous artefacts (colomina and molina 2014; whitehead and hugenholtz 2014)."
3,the high spatial resolution may also result in ‘salt and pepper’ classiﬁcation in
4,international journal of remote sensing 2179 figure 1.
4,flow-chart of the presented study. case of increased within-patch variability (if image resolution does not match the resolution of the studied community texture (zweig et al.
4,2015).
4,unmanned platforms are being increasingly utilized in diverse scientiﬁc ﬁelds includ- ing ecology (whitehead et al.
4,2014; zweig et al.
4,2015).
4,majority of the used uav systems are based on multicopter aerial platforms (whitehead and hugenholtz 2014).
4,"since such type of platform is able to cover only limited areas due to the inherent energy demands of the rotorcraft concept, ﬁxed wing uavs are much better suited to the monitoring purpose, and their operational radius is restricted primarily by the legislation (most often requiring visual contact between the uav and its operator) rather than the capability of the platform itself."
4,this article aims at describing the cost-eﬀective and eﬃcient meth- odology of invasive plant species monitoring (one example of invasive bl) using purposely designed unmanned aerial system.
