page,p
1,"land communication practicing critical zone observation in agricultural landscapes: communities, technology, environment and archaeology rachel opitz 1, * , philippe de smedt 2 , victorino mayoral-herrera 3 , stefano campana 4 , marco vieri 5 , eamonn baldwin 1 , carolina perna 5 , daniele sarri 5 and jeroen verhegge 2 1 archaeology, university of glasgow, glasgow g12 8qq, uk 2 department of environment & department of archaeology, ghent university, b-9000 ghent, belgium 3 instituto arqueologia mérida, consejo superior de investigaciones cientificas, 06800 mérida, spain 4 landscape archaeology & remote sensing lab, dipartimento di scienze storiche e dei beni culturali, university of siena, 53100 siena, italy 5 department of agricultural, alimentary, environmental and forestry sciences, university of florence, 50121 florence, italy * correspondence: rachel.opitz@glasgow.ac.uk abstract: the aims of agricultural land management change continuously, reflecting shifts in wider societal priorities."
1,"currently, these include addressing the climate crisis, promoting environmental sustainability, and supporting the livelihoods of rural communities while ensuring food security."
1,working toward these aims requires information on the character of agricultural land and how dynamic processes influence it.
1,"remote and near-surface sensing data are important sources of information on the characteristics of soils, plants, water, topography, and related processes."
1,"sens- ing data are collected, analysed, and used in decision-making by specialists in multiple domains connected to land management."
1,"while progress has been made to connect the use of sensing data across agricultural and environmental applications under the umbrella of integrated sustainable citation: opitz, r."
1,"; de smedt, p.; land management, archaeological and heritage uses of these data remain largely disconnected."
1,"this mayoral-herrera, v."
1,"; campana, s.; creates barriers to accounting for the impacts of past human activities on contemporary agricultural vieri, m."
1,"; baldwin, e."
1,"; perna, c.; landscapes through the alteration of soils, topography, and plant communities."
1,"in parallel, it hinders sarri, d."
1,"; verhegge, j."
1,practicing the creation of knowledge about the archaeological features which form an essential part of the critical zone observation in heritage of agricultural landscapes.
1,"the ipaast-czo project explores the potential of a coordinated agricultural landscapes: approach across all these domains, which would reduce these barriers and provide benefits by better communities, technology, integrating information generated using sensing."
1,"to do so, both conceptual and practical barriers environment and archaeology."
1,land to developing shared practices and how these might be overcome were considered.
1,"in this study, 2023, 12, 179. https://doi.org/ a conceptual framework designed to create a shared understanding of how agricultural landscapes 10.3390/ land12010179 work and enable collaboration around their management was proposed."
1,this framework treats academic editor: deodato tapete present-day rural agricultural landscapes as critical zones: complex entities shaped by long-term received: 17 september 2022 human–environment interactions including contemporary farming.
1,"practitioners in precision agricul- revised: 30 december 2022 ture and archaeological remote and near-surface sensing, as well as users of these data, were engaged accepted: 31 december 2022 using workshops and interviews."
1,"the relationships between practitioners’ objectives, data require- published: 5 january 2023 ments for their applications, and their perceptions of the benefits and disadvantages of changing working practices were interrogated."
1,the conceptual framework and assessment of practical benefits and challenges emerging from this work provide a foundation for leveraging shared sensing data and methods for long-term integrated sustainable land management.
1,copyright: © 2023 by the authors.
1,"licensee mdpi, basel, switzerland."
1,keywords: critical zone; precision agriculture; remote sensing; near-surface geophysics; proximal this article is an open access article soil sensing; archaeology; sustainability; land management; interoperability distributed under the terms and conditions of the creative commons attribution (cc by) license (https:// creativecommons.org/licenses/by/ 4.0/).
1,"land 2023, 12, 179. https://doi.org/10.3390/land12010179 https://www.mdpi.com/journal/land"
2,"land 2023, 12, 179 2 of 20 1."
2,introduction 1.1.
2,"research aims and questions in principle, contemporary agricultural land management brings together a broad network to address objectives across food production, environmental sustainability, soil health, and natural and cultural heritage [1–4]."
2,"farmers and landowners consult with technical specialists and service providers and engage with officers of administrative, regu- latory, and government organisations, and their activities are informed by the efforts of researchers [5–7]."
2,"while each has its own specific remit, and debates over how best to manage agricultural land continue [8–12], there is a broadly shared interest in understand- ing the characteristics of the land and changes in its characteristics over time to inform future work."
2,"the use of remote and near-surface sensing technologies, including multi- and hyper-spectral imaging, lidar, and ground-based electrical conductivity mapping or magnetometry, to provide basic data to characterise the biophysical properties of the land and trace changes in them is well established [13–16]."
2,"in addition to being increasingly important as a data source for each domain, remote and near-surface sensing provide a critical point of connection between them."
2,"however, while different actors in this network often use the same sensing technologies to study the same land, coordinated data collection is rare, analyses are carried out separately, and data sharing is limited [17–20]."
2,"the general problems posed by data silos are widely recognised, as are the potential benefits of coordinated data collection and interoperability [18,21]."
2,"the domain of land management is no exception, and the push to make land management more sustainable has motivated projects to bring together agricultural and environmental data, including sensing data [21–24]."
2,this closer connection is an important step toward integrated sustainable land management.
2,"however, the connections to the objectives, sensing methods, and data used to study archaeological features in agricultural land are not well established [25]."
2,"this gap inhibits efforts to understand and account for the effects of past human activities through the alteration of soils, topography, and plant communities on the state of today’s agricultural landscapes."
2,"in parallel, it complicates efforts to improve knowledge about the presence and character of sub-surface archaeology and to manage agricultural land’s long-term heritage."
2,"the ipaast-czo project aims to help bridge this gap by exploring the basis for a more coordinated approach to the collection, analysis, and exchange of sensing data between actors and organisations working in archaeological, heritage, agricultural, and environmen- tal domains."
