page,p
1,environ monit assess (2020) 192: 808 https://doi.org/10.1007/s10661-020-08631-5 exploring the potential value of satellite remote sensing to monitor chlorophyll-a for us lakes and reservoirs michael papenfus & blake schaeffer & amina i.
1,"pollard & keith loftin received: 15 october 2019 / accepted: 24 september 2020 / published online: 2 december 2020 # this is a u.s. government work and not under copyright protection in the u.s.; foreign copyright protection may apply 2020 abstract assessment of chlorophyll-a, an algal pig- imagery measures at the national scale and perform a ment, typically measured by field and laboratory in situ cost analysis of these different monitoring approaches. analyses, is used to estimate algal abundance and trophic the annual potential avoided costs associated with in- status in lakes and reservoirs."
1,"in situ-based monitoring creasing the availability of remotely sensed chlorophyll- programs can be expensive, may not be spatially, and a values were estimated to range between $5.7 and $316 temporally comprehensive and results may not be avail- million depending upon the satellite program used and able in the timeframe needed to make some manage- the timeframe considered."
1,"we also compared ment decisions, but can be more accurate, precise, and sociodemographic characteristics of the regions (both specific than remotely sensed measures."
1,satellite re- public and private lands) covered by both remote sens- motely sensed chlorophyll-a offers the potential for ing and in situ data to check for any systematic differ- more geographically and temporally dense data collec- ences across areas that have monitoring data.
1,this anal- tion to support estimates when used to augment or ysis underscores the importance of continued support substitute for in situ measures.
1,"in this study, we compare for both field-based in situ monitoring and satellite available chlorophyll-a data from in situ and satellite sensor programs that provide complementary informa- tion to water quality managers, given increased chal- lenges associated with eutrophication, nuisance, and m."
1,papenfus (*) harmful algal bloom events.
1,"office of research & development, u.s."
1,"environmental protection agency, corvallis, or 97330, usa e-mail: papenfus.michael@epa.gov keywords chlorophyll ."
1,harmful algal blooms .
1,water quality monitoring .
1,remote sensing .
1,lakes .
1,economic b.
1,"schaeffer value office of research & development, u.s."
1,"environmental protection agency, research triangle park, nc 27711, usa e-mail: schaeffer.blake@epa.gov introduction a."
1,"pollard office of water, u.s."
1,"environmental protection agency, washington, dc 20460, usa chlorophyll-a as an indicator of eutrophication e-mail: pollard.amina@epa.gov and harmful algal blooms k."
1,loftin u.s.
1,"geological survey, kansas water science center, lawrence, ecosystem stress in lakes and reservoirs has historically ks 66049, usa been evaluated based on water quality condition and e-mail: kloftin@usgs.gov biological integrity using a suite of laboratory and field"
2,808 page 2 of 22 environ monit assess (2020) 192: 808 (in situ) measures.
2,algae are a critical component of et al.
2,2011; ferreira et al.
2,2011; schaeffer et al.
2,2011). lake food webs and support primary consumers.
2,"owing eutrophic and hyper-eutrophic lakes are more likely to to its basal position in lake food webs, algae is respon- experience hab events and nuisance algae than nutrient sive both to changes among higher trophic levels, e.g., poor waterbodies, and there is growing concern about zooplankton and fish, and to lake chemical characteris- these nutrient-driven events across the usa and else- tics."
2,eutrophication caused by excess nutrients is one where (heisler et al.
2,"2008; smith and schindler 2009). type of ecosystem stress that can lead to the formation of the 2012 national lakes assessment (nla) estimated an overabundance of algae and cyanobacteria, both of that 55% of lakes in the continental usa (conus) are which can have negative environmental or health con- either eutrophic or hyper-eutrophic based on chl-a mea- sequences and are collectively known as harmful algal sures (u.s."
2,environmental protection agency [usepa] blooms (habs) (codd 2000; smayda 1997).
2,while 2016).
2,"these events have the potential to cause econom- freshwater hab events may be associated primarily ic damage through impacts to human, animal, and eco- with cyanobacteria, these are only one hab freshwater logical health (ho and michalak 2015)."
2,they also di- taxa.
2,"other taxa include haptophytes, euglenophytes, minish a variety of socioeconomic benefits through raphidophytes, and dinoflagellates that all may pro- reduced recreational opportunities and reduced aes- duce ichthyotoxins."
2,"chlorophyte, cryptophyte, and dia- thetics, cause taste and odor problems in drinking water tom blooms cause hypoxia and other negative environ- supplies, and cause harm to aquatic ecosystems through mental consequences."
2,chlorophyll is representative of a variety of pathways (brooks et al.
2,2016).
2,"there are all these taxa, and therefore for the purpose of this study, special circumstances where chl-a can be an indicator we do not limit the scope to only cyanobacterial habs for specific groups of algae such as with cyanobacteria (cyanohab) but include the broader hab taxa. when they are the main population of algae present; a range of environmental conditions can render algal typically chl-a alone is not the best indicator for a blooms harmful (e.g., low dissolved oxygen, nuisance specific group of phytoplankton without further mea- taste-and-odor compounds, disinfection by-product for- surements such as accessory pigments specific to the mation in drinking water treatment) leading to undesired groups of algae present (loftin et al."
2,2016; stumpf et al. ecosystem and socioeconomic consequences.
2,2003; stumpf et al.
2,2016).
2,"cyanohabs, one of many groups of freshwater algae the contributions of this study include the following: that may cause harm, are frequently encountered and (a) a comparison of the spatial and temporal distribution can sometimes produce cyanotoxins that present a for- of available chl-a observations across different in situ midable, ecological, and human health challenge that and satellite-based datasets on a national scale; (b) com- may be the most difficult outcome to predict (backer putation of the avoided costs associated with making et al."
2,2013; graham et al.
2,2009; loftin et al. 2016; remotely sensed data available nationally in lieu of in stewart et al.
2,2006).
2,"human health protection from situ sampling; and (c) characterization of land owner- cyanobacteria exposure can require rapid risk manage- ship and select sociodemographic variables surrounding ment decisions often with insufficient data while waterbodies that are resolvable in both types of datasets. attempting to minimize unnecessary socioeconomic in this application, avoided costs are a measure of what consequences."
2,"the drinking water advisory issued for it would cost to “replace” the satellite observations using salem, oregon, in 2018, is a good example of such an data obtained from in situ methods on the same spatial event (city of salem 2018)."
2,"remote sensing may be and temporal scale as is available using either land or able to fill in data gaps left by in situ-dependent ocean satellite datasets assuming that the information approaches. and therefore the value of chl-a measured by both ap- all phytoplankton, including cyanobacteria, are pho- proaches is equivalent."
2,"there may be situations depend- tosynthetic primary producers and therefore produce ing on how the data are used where this is not a valid chlorophyll-a (chl-a) as well as other accessory pig- assumption due to differences in precision, accuracy, or ments (stumpf et al."
2,2016).
2,"as algal populations in- specificity (e.g., thresholds, mechanistic modeling, crease, chl-a concentrations increase."
2,"taking advantage characterization of chl-a degradation products called of this relation, chl-a concentration is frequently used as pheopigments)."
2,"this manuscript does not portend to a surrogate for phytoplankton bloom concentration and resolve all of these nuances, but rather puts forward an may serve as an indicator for excess nutrients (devlin economic method for evaluating these differences to"
3,environ monit assess (2020) 192: 808 page 3 of 22 808 better understand the value of remotely sensed measures concentrations.
3,the data in the wqp may or may not versus in situ measures of chl-a to help the end-user be associated with hab-specific monitoring programs better utilize both approaches as needed to meet and state contributions to wqp are more expansive than objectives.
3,the avoided cost is the difference in states with current hab programs (see fig.
3,"the costs between in situ sampling costs and the costs wqp data are included in this comparative analysis associated with providing the satellite observations because they represent a compiled, publicly accessible for use in applied settings. set of in situ water quality measures across the usa at the local and state level."
3,"in situ water quality monitoring and data availability the nla survey is a part of the usepa effort to work collaboratively with states and tribes to assess the condition despite widespread eutrophication and associated nui- of lakes, ponds, and reservoirs across the usa (usepa sance or hab events, there remains limited, long-term, 2016)."
3,"the nla collects coordinated, consistent field data coordinated, and consistent monitoring programs that to develop broad-scale conclusions about the biological, collect data to monitor trends in bloom events."
3,"this chemical, physical, and recreational condition of surface monitoring data is also essential for evaluating the waters across the usa."
3,"the sampled waterbodies are causes, consequences, and management approaches re- selected from a probability-based sample design that al- quired to reduce the occurrence of these events (brooks lows for population-level inferences to the larger set of et al."
3,2016; smith et al.
3,2014).
3,"strategies to support the 110,000 lakes included in the sampling frame (pollard attainment of safe and healthy water quality in freshwa- et al."
3,2018).
3,"as a part of the assessment of recreational ter bodies include in situ water quality management lakes, nla includes a measure of microcystins as well as programs."
3,most in situ water quality monitoring efforts nuisance and hab biomass indicators such as in the usa are focused on assessing and addressing cyanobacteria abundance and chl-a in lakes.
3,"while the local and regional water quality issues where more than nla includes these hab indicators, it was not designed 90% of waterbodies contained less than 5 stations, and as a comprehensive hab monitoring program."
3,it does more than 55% only had a single monitoring station provide a unique perspective on observations from across (schaeffer et al. 2018a). a wide range of lakes and reservoirs across the usa and is the water quality portal (wqp) was developed as a readily available from public websites. publicly accessible database to simplify dissemination of water quality data (u.s.
3,"geological survey [usgs], satellite derived chlorophyll-a usepa, and national water quality monitoring coun- cil 2017)."
3,"in addition to voluntary state data uploads, the previous studies provide a comprehensive review of wqp contains data from the usepa storage and past, present, and new satellite sensors available for retrieval water quality exchange (storet) deriving water quality in lakes, reservoirs, and other (usepa 2017), the usgs national water information inland waters (dörnhöfer and oppelt 2016; tyler et al."
3,"system (nwis) (usgs 2017a)(usgs 2017a), and the 2016)."
3,the advantages and disadvantages of different u.s.
3,"department of agriculture (usda) sustaining the sensors with varying spatial, spectral, and temporal res- earth’s watersheds agricultural research data system, olutions, along with recent progress updates are or stewards (2017)."
3,the resulting wqp database discussed in other studies (mouw et al.
3,2015; palmer contains data from both state and federal programs. et al.
3,2015; greb et al.
3,2018).
3,"lake and reservoir chl-a is although the wqp currently provides > 3 million water detectable from satellite remote sensing (gitelson 1992; quality records from all 50 states, the data in the wqp wynne et al."
3,2008; wynne et al.
3,2010).
3,"there are do not conform to consistent sample collection, labora- numerous examples of the effectiveness of using satel- tory processing, analytical methods, or reporting proto- lite remotely sensed data to detect hab biomass cols (read et al."
3,2017).
3,the wqp includes a wide (anderson 2009; kutser et al.
3,"2006; dekker et al. variety of biophysical and chemical characteristics of 2018), but little information exists on the suitability of the monitored waterbodies, including typical water these satellite sensors for state and national moni- quality measures such as nutrient concentrations, fecal toring programs in terms of their spatial and tem- coliform bacteria abundance, total suspended solid con- poral coverage when compared with traditional centration, and temperature, in addition to chl-a field-based programs (clark et al."
3,2017).
4,808 page 4 of 22 environ monit assess (2020) 192: 808 fig.
4,1 states with hab monitoring programs and information.
4,source: https://www.epa. gov/cyanohabs/state-habs- monitoring-programs-and- resources satellite remote sensing as a complement to traditional frequency of usable images throughout the year.
4,"remote in situ monitoring sensing approaches also require a different set of technical expertise to process and interpret the imagery, although different monitoring approaches provide unique scales of some steps can be automated."
4,"perhaps most importantly, information relevant to managing and understanding algorithms to detect and measure water quality constitu- hab events because of the temporal, spatial, and compo- ents from remote sensing data require in situ measures for sitional variability of hab and nuisance algae."
4,"traditional algorithm development, calibration, and validation. field-based sampling is incorporated into most existing all measurements are subject to error."
4,it is a misnomer water quality monitoring programs.
4,"this field sampling to assume in situ measures contain no error, are a provides measured information for numerous biological “ground-truth,” or a better representation of the environ- and chemical water variables (e.g., nutrient concentra- ment any more than satellite-derived water quality mea- tions), and is currently the only approach that can confirm sures are devoid of error."
4,"models, satellite algorithms, and the presence of toxic compounds in water."
4,"however, in situ measures are all approximate representations of the traditional field-based monitoring programs can be expen- environment (wainwright and mulligan 2013) where sive in terms of labor, travel, and equipment."
4,these pro- fitness for purpose would need to be evaluated for the grams may not be spatially and temporally representative selected approach.
4,"in situ measures may contain signifi- of ambient water quality conditions and results may not be cant error depending on the analysis method, where stan- available in a timeframe that is relevant to protecting dard fluorometric methods generally underestimate chl-a human health and safety (schaeffer et al."
4,2013).
4,more concentrations compared with high-performance liquid frequent sampling over time and space based on satellite chromatographic methods (trees et al.
4,1985).
4,the north remote sensing has the potential to improve the represen- american lake management society (nalms n.d.; tativeness of data that can be provided to water quality https://www.nalms.org/secchidipin/monitoring- managers.
4,remotely sensed data can also improve in situ methods/chlorophyll-analysis/) also clarifies that there is sampling efficiency through targeted allocation of re- little evidence that results derived by different methods sources and subsequent cost savings.
4,"however, the ca- are similar."
4,"in addition to in situ measurement error, there veats to using satellites include a limited number of de- can be significant spatial difference between using single rived water quality variables; issues with the accuracy and point in situ samples versus depth-width integrated in situ precision of measurements; specificity (e.g., sampling approaches and an integrated detection of a pheopigments, accessory pigments with overlapping sorp- satellite pixel over a spatial area and depth of the water tion spectra) may be less than what is encountered in field column."
4,"however, single point in situ sampling is quite and laboratory measurements; and the inability to measure common in lakes and reservoirs."
4,"therefore, in situ and the concentration of toxins caused by habs."
4,the spatial satellite-derived chl-a would rarely fit a perfect one-to-one resolution that generally excludes small waterbodies and regression line.
4,there is still valuable information in the nearshore areas and cloud cover may limit the temporal satellite and in situ measures even if the chl-a are not
5,environ monit assess (2020) 192: 808 page 5 of 22 808 exactly one-to-one.
5,"for example, from a hab perspec- ohio uses a combination of methods to confirm that tive, it has been confirmed that just presence and absence cyanobacteria are present including satellite imagery, information is useful in issuing recreational advisories microscopic examination, and additional screening tools (schaeffer et al. 2018b)."
5,the next level of quantification (state of ohio 2016).
5,"other states like new york also would be categorical, where chl-a is classified into trophic have extensive monitoring and public information sys- categories."
5,"the final level of quantification is concentra- tems that provide weekly updates on monitored tion values, but in situ sampling could likely be improved waterbodies and current hab conditions."
5,most states if depth-width integrated sampling would be utilized. currently rely on visual observations from field staff or seegers et al. (2018) clarified that when considering citizens.
5,"these reports result in field visits to collect satellite algorithm performance, decisions would benefit samples and laboratory analysis to determine whether from not being limited to just accuracy."
5,"instead users a waterbody contains cyanobacteria (as well as some- could consider the impact of the dynamic range of the times measuring the concentrations of toxins) or other data, algorithm stability, spatial coverage, uncertainty, nuisance species (graham et al."
5,2009). and bias.
5,"for example, trend data may be better charac- terized by bias and consistency over accuracy."
5,satellite remote sensing of water quality methods will continue to mature over the coming decade (greb et al. 2018) as new methods approaches continue to be developed such as demonstrat- ed by pahlevan et al.
5,(2020).
5,"this study was limited to free and publicly available data remote sensing and field-based in situ monitoring including land and ocean satellite missions with spatial approaches offer different, but complementary informa- resolutions most appropriate for lakes and reservoirs."
5,the tion.
5,"consequently, there is an opportunity and need to satellite data examined in this study were derived from explore the efficiencies and potential cost savings asso- the landsat-8 operational land imager (oli) mission ciated with a combined approach."
5,(l8) and the european space agency (esa) copernicus some us states have established programs for moni- sentinel-3 ocean and land colour imager (olci) sensor toring nuisance or hab events (fig.
5,these programs (s3).
5,"both l8 and s3 data provide new and improved vary across states with most efforts being focused on event opportunities for monitoring inland water quality because response, but some are more systematic and long-term in of their potential to detect chl-a."
5,"however, it is important nature."
5,"for instance, california has established a statewide, to note that operational delivery of chl-a data for us lake long-term strategic plan to monitor and respond to hab and reservoir water quality management is mostly theo- events, assess risk for future hab events, and provide retical and has only recently been demonstrated in a public education and outreach."
5,"one of the monitoring limited capacity, such as through the cyanobacteria as- options in this strategy is the adoption of satellite imagery sessment network (cyan) using s3 (schaeffer et al. to identify and track habs (anderson-abbs et al."
5,2016).
5,2015).
5,"there has been limited demonstration of the california strategic plan uses satellite imagery to satellite-derived products specific for aquatic environ- conduct historical analysis of habs to assess waterbodies ments at the us scale using l8 or other land imagers, at risk and to prioritize field monitoring, remediation, and such as secchi depth measures for the upper midwestern future management."
5,"california also uses imagery to devel- usa (chipman et al. 2004), surface temperatures op protocols for alerting water quality managers and com- (schaeffer et al. 2018a; https://www.usgs.gov/land- munities as to when and where cyanobacteria blooms are resources/nli/landsat/landsat-surface-temperature), and occurring."
5,"in addition to the use of satellite imagery, provisional aquatic reflectance (franz et al."
5,"2015; california’s plan includes the integration of this data with pahlevan et al. 2017; https://www.usgs.gov/land- existing water quality, watershed, and volunteer field- resources/nli/landsat/landsat-provisional-aquatic- based assessment and ambient monitoring programs. reflectance)."
5,"s3 is well-suited for monitoring chl-a be- however, existing field-based monitoring programs in cause of the required spectral bands and frequent 2- to 3- california are limited by resource constraints and the fact day revisit times, where l8 has a 16-day revisit time, that very few freshwater lakes with substantial recreation higher spatial resolution, but limited spectral band op- activity and drinking water use are monitored regularly tions."
5,the esa sentinel-2 multispectral imager (msi) within the state (anderson-abbs et al.
5,2016). may also provide measures on similar spatial and
