page,p
1,"chapter 10 impacts of geospatial information for decision making francoise pearlman, richard bernknopf, mary ann stewart, and jay s."
1,pearlman geospatial information contributes to decisions by both societal decision-makers and individuals.
1,"investments in geospatial data have become a part of the political and policy debates that are focused on reducing government spending, as well as increasing societal wellbeing."
1,"although many examples in our everyday life come to mind, good benchmarks of the value of geospatial information are missing."
1,"quantifying this value involves comparisons of the decisions that would have been made with and without the information, and what the consequences of those deci- sions would have been."
1,the value of information (voi) is linked to the outcome of choice in uncertain situations.
1,"individuals may be willing to pay for improved infor- mation depending on how uncertain they are, what is at stake, and the degree to which the benefit exceeds the cost of the information (macauley 2006)."
1,"problems with data access, content interpretation (due to obscure file formats, for example) or use of the data all reduce the information value."
1,systematic analysis of the benefits of geospatial information in decisions focuses on the quantitative demonstration of why and how scientific data such as earth observations have economic value.
1,case studies apply the science and technology of geospatial data to inform decisions concerning the costs and benefits of economic and resource development.
1,two cases studies are provided which show net economic value but different approaches f.
1,"pearlman (*) ieee committee on earth observation, ieee, 2241 prescott ave sw, seattle, wa 98126, usa e-mail: jsp@sprintmail.com r."
1,"bernknopf department of economics, the university of new mexico, albuquerque, nm, usa m.a."
1,"stewart stewart engineering llc, lawrence, ks, usa j.s."
1,"pearlman ieee committee on earth observation, ieee, seattle, wa, usa j.l."
1,"drake et al. (eds.), new trends in earth-science outreach and engagement, advances 137 in natural and technological hazards research 38, doi 10.1007/978-3-319-01821-8_10, © springer international publishing switzerland 2014"
2,138 f.
2,pearlman et al.
2,10.1 image of hurricane sandy as observed by the us integrated ocean observing system to assessing the voi.
2,"further steps in refining communication skills, providing a broad acceptance of approaches and a pool of experts to support community needs is envisioned in addressing paths forward."
2,"the idea that information has socioeconomic value in both a statistical and a pragmatic sense dates back at least to the 1950s (personal communication, macauley 2012)."
2,"in recent years, interest in the socioeconomic value of information has taken center stage."
2,"investments in geospatial data have become a part of the political and policy debates that are focused on reducing government spending, as well as increas- ing societal wellbeing."
2,a recent example is that of the east coast storm sandy.
2,the information regarding sandy’s landfall (spinrad 2012) (fig.
2,"10.1), and associated decision to close the new york subways, may have minimized damage to new york’s infrastructure as well as saving many lives (personal communication, spinrad 2012)."
2,"although many examples in our everyday life come to mind, good bench- marks of the value of geospatial information are missing (macauley and shih 2010)."
2,thus there is a need and call for more case studies.
2,"these studies should cover a wide range of topics, methods of analysis, and places where they are undertaken."
2,the case studies should be replicable and a compendium of them be assembled for distribution as guidelines and references for implementation in support of geospa- tial information initiatives (pearlman and bernknopf 2012).
3,10 impacts of geospatial information for decision making 139 the objective of analysis is to reduce the uncertainty in economic decisions and to attribute an economic value of the reduction in uncertainty due to the use of ­geospatial data in applications.
3,geospatial data and information is valuable when it allows individuals and firms to improve their decision-making.
3,"by making such adjustments, efficiency of resource use is improved, profits are increased, and con- sumer wellbeing is enhanced (nelson et al."
3,2006).
3,the approach is to follow accepted analytical principles of benefit – cost analysis (bca).
3,the first step is to establish the decision framework.
3,it represents the marketplace for those who invest in information collection (supply) to better understand the needs of those who use the information (demand).
3,"decision makers face the burden of justifying investment in geospatial data that, in many cases, requires the analysis of the economic benefits of that data."
3,"because socioeconomic benefit information is not normally traded in markets, quantifying its value involves comparisons of the decisions that would have been made with and without the information, and what the consequences of those deci- sions would have been."
3,quantifying the gross value of improved information means subtracting the expected value of actions without the benefit of the information from the value of actions with the information (nelson et al.
3,2006).
3,"quantifying the net value of new information entails subtracting the costs of providing the information from the gross value.1 in this paper, after discussing the technical approaches, two case studies summarize applications of geospatial data that evaluated specific ­societal issues and problems that are based on bca."
3,"10.1  ocioeconomic benefits of earth s observation – a short history as indicated above, quantifying the socioeconomic impacts from improved envi- ronmental information has been under consideration for a number of years."
3,"environment is used here as a term that broadly encompasses areas such as food, water, and energy security, or disaster relief (group on earth observation n.d.) when addressing societal benefits."
3,"impacts need to be addressed at multiple scales (i.e., local, regional, and global levels)."
3,"information includes that captured via remote and in-situ sensing, geographic information, and related systems (gis), and spatial data infrastructures."
3,"the need for understanding environmental dynamics has become more urgent given the recognized issues of climate change, sustainable food sources, and increased need for energy (borzachiello and craglia 2011)."
3,scientists are often being called upon to provide scientific information to support decision-makers.
3,"as recently as january 26, 2013, bill gates wrote about the ­importance of measurements in achieving the millennium development goals (http://mdgs.un.org), and providing examples in public health (gates 2013)."
3,"1 this approach to valuing information has broad theoretical underpinnings in the literature on bayesian decision making (bradford and kelejian 1977, 1978)."
4,140 f.
4,pearlman et al.
4,"in order to make environmental information as useful as possible, it must be pro- vided in a way that is societally relevant, targeted to the needs of the user, and understandable by the broadest constituency."
4,"drawing in social scientists, economists and the public health community, for example, to work with scientists and engineers is necessary for comprehensive and sustainable solutions to the grand challenges of humanity."
4,"the international council for science (icsu), in a recent study, identifies these grand challenges for the global scientific community in moving toward sustainable solutions (icsu 2010): • developing the observation systems needed to manage global and regional envi- ronmental change; • improving the usefulness of forecasts of future environmental conditions and their consequences for people; • recognizing key thresholds or non-linear changes to improve our ability to anticipate, recognize, avoid and adapt to abrupt global environmental change; • determining what institutional, economic, and behavioral responses can enable effective steps toward global sustainability; and • encouraging innovation (coupled with sound mechanisms for evaluation) in devel- oping technological, policy, and social responses to achieve global sustainability."
4,"in addition, there is greater attention to performance of government programs and the societal benefits and impacts of public investments."
4,"pure science is no lon- ger an adequate justification for large, expensive observing systems, such as earth observing satellites."
4,"similarly, gis requires significant resources to be built and maintained."
4,"there are needs for applications and tangible, identifiable near-term uses to help justify the observing and information systems across sectors and stake- holders."
4,"there is a need to discover and demonstrate innovative and practical uses that support policy, business, and management decisions of public and private orga- nizations."
4,"while there have been successful examples of applications, efforts to sub- stantiate the benefits of the examples could be strengthened, particularly for quantitative determination of value and impacts."
4,"10.2 value of information as indicated at the beginning of this chapter, voi studies have a long history, in north america, europe, and other countries such as australia, where government agencies have active groups looking at the impacts and benefits of their primary missions."
4,a number of examples are given below.
4,understanding how to improve decision-making and how to increase the impacts of earth observations has been a continuing theme at nasa.
4,"for example, nasa earth science applications, supported by the applied sciences program of the nasa earth science division (http://appliedsciences.nasa.gov/), focus on agricul- ture, air quality, climate, disasters, ecological forecasting, public health, water resources, and weather and has implemented initial steps for evaluating the benefits and impacts of their projects."
5,"10 impacts of geospatial information for decision making 141 the us geological survey (usgs) provides geophysical, geological, hydrological and biological sciences, geography, and remote sensing geospatial and archival data."
5,"these data are interpreted as high resolution, comprehensive maps and other forms of data and information that can be used to address land use, contamination and other local and regional needs (bristol et al."
5,2012).
5,usgs delivers all of the data and scientific information as public goods that are supplied to all customers for the cost of reproduction such as the national map (halsing et al.
5,2004).
5,several other north american government and private organizations have spon- sored and participated in studies of the voi and associated socioeconomic impacts.
5,"the geospatial information and technology association (gita), the american water works association research foundation, the us federal geographic data committee (fgdc), and geoconnections canada began collaborative work in 2004 to develop return on investment (roi) methodology for financial analysis of geospatial projects (ancel et al."
5,2006).
5,"the methodology was further refined to include multi-agency financial analysis (ancel et al. 2007) and to develop case study examples (stewart 2008, 2010a, b, 2011a, b, c)."
5,these activities are further detailed in the case studies section of this chapter.
