page,p
1,essay assumption-versus data-based approaches to summarizing species’ ranges a.
1,"townsend peterson,∗ ¶ adolfo g."
1,"navarro-sigüenza,† and alejandro gordillo† ∗ biodiversity institute, university of kansas, lawrence, ks 66045, u.s.a."
1,"†facultad de ciencias, universidad nacional autónoma de méxico, mexico, d.f., 04510, mexico abstract: for conservation decision making, species’ geographic distributions are mapped using various approaches."
1,some such efforts have downscaled versions of coarse-resolution extent-of-occurrence maps to fine resolutions for conservation planning.
1,we examined the quality of the extent-of-occurrence maps as range summaries and the utility of refining those maps into fine-resolution distributional hypotheses.
1,"extent- of-occurrence maps tend to be overly simple, omit many known and well-documented populations, and likely frequently include many areas not holding populations."
1,"refinement steps involve typological assumptions about habitat preferences and elevational ranges of species, which can introduce substantial error in es- timates of species’ true areas of distribution."
1,"however, no model-evaluation steps are taken to assess the predictive ability of these models, so model inaccuracies are not noticed."
1,"whereas range summaries derived by these methods may be useful in coarse-grained, global-extent studies, their continued use in on-the-ground conservation applications at fine spatial resolutions is not advisable in light of reliance on assumptions, lack of real spatial resolution, and lack of testing."
1,"in contrast, data-driven techniques that integrate primary data on biodiversity occurrence with remotely sensed data that summarize environmental dimensions (i.e., ecological niche modeling or species distribution modeling) offer data-driven solutions based on a minimum of assumptions that can be evaluated and validated quantitatively to offer a well-founded, widely accepted method for summarizing species’ distributional patterns for conservation applications."
1,"keywords: animals, biogeography, birds, conservation planning, predictive modeling, reserve design suposiciones versus estrategias basadas en datos para resumir la extensión de las especies resumen: para la toma de decisiones de conservación, las distribuciones geográficas de las especies se mapean utilizando diversas estrategias."
1,algunos de esos esfuerzos han reducido la escala de mapas de extensión de presencia con resolución gruesa hasta unos con resolución fina para su uso en la planeación de la conservación.
1,examinamos la calidad de los mapas de área de presencia como resúmenes de la distribución y la utilidad de refinar aquellos mapas en hipótesis de distribución de resolución fina.
1,"los mapas de extensión de presencia tienden a ser demasiado simples, a omitir muchas poblaciones conocidas y bien documentadas, y muy probablemente, con frecuencia incluyen muchas áreas que no contienen poblaciones."
1,"los pasos para la refinación involucran suposiciones tipológicas sobre las preferencias de hábitat y el intervalo de elevación de las especies, lo cual puede introducir un error sustancial en el estimado de las verdaderas áreas de distribución de las especies."
1,"sin embargo, no se toma en cuenta ninguno de los pasos de evaluación de modelos para valorar la habilidad predictiva de estos modelos, ası́ que las imprecisiones de los modelos no se notan."
1,"mientras que los resúmenes de extensión derivados de estos métodos pueden ser útiles en estudios de extensión global con resolución gruesa, su uso continuo en las aplicaciones de la conservación en sitios que requieren resoluciones finas no es aconsejable por la dependencia de las suposiciones, la falta de una verdadera resolución espacial y la falta de pruebas."
1,"en contraste, las técnicas conducidas por datos que integran datos primarios de presencia de la biodiversidad con datos de telemetrı́a que resumieron las dimensiones ambientales (es decir, el modelado del nicho ecológico o el modelado de distribución de especies) ofrecieron soluciones basadas en un mı́nimo de suposiciones que pueden ser evaluadas y validadas cuantitativamente para ofrecer un método ¶email town@ku.edu paper submitted november 14, 2015; revised manuscript accepted june 24, 2016."
1,"568 conservation biology, volume 32, no."
1,"3, 568–575  c 2016 society for conservation biology doi: 10.1111/cobi.12801"
2,"15231739, 2018, 3, downloaded from https://conbio.onlinelibrary.wiley.com/doi/10.1111/cobi.12801 by university of california, wiley online library on [23/11/2024]."
2,see the terms and conditions (https://onlinelibrary.wiley.com/terms-and-conditions) on wiley online library for rules of use; oa articles are governed by the applicable creative commons license peterson et al. 569 bien fundamentado y aceptado ampliamente para el resumen de los patrones de distribución de las especies para su aplicación en la conservación.
2,"palabras clave: mapas de extensión de presencia, patrones de distribución, pruebas de modelos, resolución espacial introduction to mesoamerica (southern mexico and northern central america)."
2,"harris and pimm (2008), to illustrate their the authors of a series of papers used an assumption- method of range estimation, identified the elevational based method to summarize species’ geographic dis- range of this species as 1600–3000 m and its habitat asso- tributions for conservation planning (harris & pimm ciation as “wet forest.”"
2,"in the legend of their figure 1, they 2004; harris & pimm 2008; jenkins et al."
2,2011; schnell appear to cite olson et al. (2001) as a source for habitat- et al.
2,"2013; ocampo-peñuela & pimm 2014; li & pimm association data, although the data set associated with this 2015)."
2,"in particular, the method was applied to verte- source identifies only “montane forest” ecoregions."
2,"thus, brate species for which natural history and general dis- we used montane forest systems within the general range tributional patterns are relatively well known."
2,"other au- area of the species in an attempt to replicate harris and thors (e.g., rondinini et al."
2,2011; ficetola et al.
2,2015) pimm’s (2008) analyses.
2,"their figure 1 shows the triple and initiatives (mapoflife [http://mol.org/]) have used intersection of the iucn and birdlife range outline for such methods in applications outside of conservation. this species, elevations between 1600 and 3000 m, and the approach is based initially on polygon-format range montane forest."
2,"we agree with harris and pimm (2008) summaries produced by the international union for con- that this species’ range is quite fragmented and probably servation of nature (iucn), birdlife international, and is vulnerable to land-use change."
2,natureserve (iucn 2016).
2,"these rather simple extent- our concern, however, is about what is lost with of-occurrence outlines are refined by clipping them to such a simple approach that is based only on expert elevations inhabited by the species and to areas with land- knowledge about extent of occurrence (albeit at a coarse cover types used by the species (harris & pimm 2008). spatial resolution [jetz et al. 2008]) informed to some the result of this 2-way reduction is a picture of the degree by reference to known occurrences of the species distribution of the species that appears quite detailed."
2,"al- (ocampo-peñuela & pimm 2014) and assumptions based though this presentation is considerably more attractive on the frequently incomplete information about species’ and realistic-looking than the initial polygon, the question elevational and land-cover associations."
2,"vast primary bio- is the degree to which the method has merit in fine-scale diversity data (i.e., records that link a species to a place applications to conservation. and a time of occurrence) are now available as digital we evaluated the degree to which this assumption- accessible knowledge (dak) (sousa-baena et al. 2013); based method is appropriate as a means of summarizing that is, data records that are digital, openly available to species’ geographic distributions for conservation."
2,"the all via the internet, and integrated into the broader uni- method is attractive because it offers an approach to verse of such data (i.e., it is integrated knowledge as summarizing species’ distributions that is simple, straight- opposed to individual, isolated data points)."
2,"at present forward, and very light in terms of data requirements."
2,">6.4 × 108 records are available as dak via many sources our concern is that in seeking simplicity, substantial (e.g., http://www.gbif.org, http://www.vertnet.org), in- loss of predictive ability and quantitative rigor ensues. cluding many millions of records for rare bird species, these simple models are based on input data (range out- thanks to legions of citizen scientists (e.g., averaves for lines) and assumptions (e.g., stationary elevational ranges mexico within ebird [http://ebird.org])."
2,"these data, of across the distribution of the species) that are frequently course, are not without problems."
2,"sampling is focused inaccurate; they mistakenly combine spatial information in accessible areas, precision of geographic coordinates at diverse extents and resolutions (modifiable areal unit is not always specified in data records, and identifica- problem [openshaw 1984]); and they cannot account tion errors cannot be detected without voucher informa- for the diversity of distributional ecology across species’ tion."
2,"however, citizen-scientist-generated data represent ranges."
2,"we present a partial, preliminary example com- a fast-growing data resource for documenting present- paring the assumption-based method with a more data- day distributions of species (boakes et al."
2,"2010; peterson driven alternative based on ecological niche modeling. et al. 2015) and can be analyzed and interpreted to create useful, detailed information about species’ occurrences."
2,"for the black-throated jay example, we downloaded case study of black-throated jay gmted 7.5” digital elevation layers to provide topo- graphic information across the region and the olson et al."
2,the black-throated jay (cyanolyca pumilo) is nonmigra- (2001) ecoregions data layer mentioned above.
2,"specimen tory, restricted to humid montane forests, and endemic and observation data for the species were downloaded conservation biology volume 32, no."
2,"3, 2018"
3,"15231739, 2018, 3, downloaded from https://conbio.onlinelibrary.wiley.com/doi/10.1111/cobi.12801 by university of california, wiley online library on [23/11/2024]."
3,"see the terms and conditions (https://onlinelibrary.wiley.com/terms-and-conditions) on wiley online library for rules of use; oa articles are governed by the applicable creative commons license 570 summarizing species’ ranges figure 1. (a) summary of the distribution of the black-throated jay (cyanolyca pumilo) delineated based on international union for conservation of nature range polygons, elevation, and land-cover type and actual occurrences based on specimen records and observations. (b and c) detail maps of portions of map (a). (d) results of a preliminary and exploratory ecological niche modeling analysis of the environmental and geographic distribution of this species."
3,"conservation biology volume 32, no."
3,"3, 2018"
4,"15231739, 2018, 3, downloaded from https://conbio.onlinelibrary.wiley.com/doi/10.1111/cobi.12801 by university of california, wiley online library on [23/11/2024]."
4,see the terms and conditions (https://onlinelibrary.wiley.com/terms-and-conditions) on wiley online library for rules of use; oa articles are governed by the applicable creative commons license peterson et al. 571 from vertnet and the global biodiversity information finer resolution imagery via assumptions about habitat facility.
4,we interpreted these data following harris and preferences.
4,pimm (2008): elevation between 1600 and 3000 m and the details of such data-driven analyses have been de- montane forest only.
4,(neither the satellite-derived habitat tailed in numerous publications on niche modeling and data set mentioned in their methods nor the final distribu- are summarized in peterson et al.
4,(2011).
4,further detail tional estimate that they developed was available to us.) on the use of remote-sensing imagery in such analyses immediately clear was that the elevational profile and is in bodbyl-roels et al.
4,(2011).
4,"we emphasize that this the range outlines coincided broadly, although the latter particular example was developed with rather off-the- showed considerably less detail (fig."
4,"the ecoregions shelf data and tools and without detailed quality control, data layer provided finer resolution than the range out- customization or testing."
4,"were we to develop this exam- line and appeared to distinguish well between interior ple for conservation application, considerably more time slopes (too dry for this species) and those that receive and effort would be devoted to all steps in the process, sufficient moisture input to support cloud forest, but it and the model would be much better documented. remained coarsely resolved (as is expected from a global the result of even this simple data-driven analysis was data set). a striking improvement in detail (fig. 1) relative to the however, the actual occurrence data did not always assumption-based approach."
4,any such models developed coincide well with the assumption-based range summary for real-world application (rather than for illustration (fig.
4,"that is, most known occurrences fell within only) would involve detailed quality control of the in- the extent-of-occurrence polygon."
4,"a notable exception put data, model evaluation, and other steps (peterson is a specimen collected by a."
4,gardner in 1961 (wfvz et al.
4,2011).
4,"the data-driven distributional estimate for 5043, from “tonalá, 9 mi se, 10 mi ne,” which means first the black-throated jay was smaller in extent and more 9 mi se and then 10 mi ne from tonalá, a."
4,"gardner, detailed than that resulting from the assumption-based personal communication)."
4,a record from anywhere near approaches.
4,"such analyses can include elements of both tonalá would extend the species’ known range farther lower suitability and uncertainty in model predictions, west, at least historically, than the extent-of-occurrence and model uncertainty can be illustrated explicitly as well polygon would suggest."
4,"in addition, numerous recent (e.g., peterson et al. 2013), which is not possible with records place the species farther west in the sierra madre the assumption-based approaches."
4,applications for real- of chiapas than the montane forest designations extend world use include considerable experimentation with pa- (fig.
4,"the species also ranges farther south in the sierra rameter settings (warren & seifert 2011), beyond default norte of chiapas than harris and pimm (2008) anticipated settings."
4,such data-driven approaches have been applied (see our fig. 1 relative to their figure 1).
