page,p
1,remote sensing article evaporative fluxes and surface soil moisture retrievals in a mediterranean setting from sentinel-3 and the “simplified triangle” george p.
1,"petropoulos 1, * , ionut sandric 2 , dionissios hristopulos 3 and toby nahum carlson 4 1 school of mineral resources engineering, technical university of crete, 73100 crete, greece 2 faculty of geography, university of bucharest, bd."
1,"bălcescu, 1, 010041 bucharest, romania; ionut.sandric@geo.unibuc.ro 3 school of electrical & computer engineering, technical university of crete, 73100 crete, greece; dionisi@mred.tuc.gr 4 department of meteorology, state college, penn state university, 604 walker building, university park, pa 16802, usa; tnc@psu.edu * correspondence: gpetropoulos1@isc.tuc.gr  received: 21 july 2020; accepted: 25 september 2020; published: 29 september 2020  abstract: earth observation (eo) makes it possible to obtain information on key parameters characterizing interactions among earth’s system components, such as evaporative fraction (ef) and surface soil moisture (ssm)."
1,"notably, techniques utilizing eo data of land surface temperature (ts) and vegetation index (vi) have shown promise in this regard."
1,"the present study investigates, for the first time, the accuracy of one such technique, known as the “simplified triangle”, using sentinel-3 eo data, acquired for 44 days in 2018 at three savannah fluxnet sites in spain."
1,the technique was found to be able to predict both ef and ssm with reasonable accuracy when compared to collocated ground measurements.
1,"comparisons performed for all days together showed relatively low root mean square difference (rmsd) for both ef (0.191) and ssm (0.012 cm3 cm−3 ) and good correlation coefficients (r) of 0.721 and 0.577, respectively."
1,both ef and ssm were also largely in agreement with land cover and seasonal variability.
1,"the present study comprises the first detailed assessment of the “simplified triangle”, in this case, using sentinel-3 data and in a mediterranean setting."
1,"findings, albeit preliminary, are of significant value regarding the use of the investigated technique as a tool of environmental management, and towards ongoing, worldwide efforts aiming at developing operationally relevant products based on the ts/vi feature space and eo data based on new satellites such as sentinel-3."
1,keywords: earth observation; sentinel-3; surface soil moisture; evaporative fraction; simplified triangle; ts/vi domain; carboeurope 1.
1,introduction earth’s natural processes and the relationships between soil-vegetation and the atmosphere components of the earth system are topics of great importance for numerous disciplines covering a range of practical applications and research [1–4].
1,"the need for accurate information on parameters characterizing the environment of the earth system is even more acute today, in light of increased pressure due to climate change and global challenges linked to global food and water security [5]."
1,"recent climate projections, for example, suggest that the mediterranean will be subject to severe climate change, including increased temperatures and reduced precipitation [6]."
1,"in this context, the accurate monitoring of parameters such as evaporative fraction (i.e., the ratio of instantaneous latent heat remote sens. 2020, 12, 3192; doi:10.3390/rs12193192 www.mdpi.com/journal/remotesensing"
2,"remote sens. 2020, 12, 3192 2 of 20 flux (le) to net radiation (rn)) and surface soil moisture (ssm) is of high priority."
2,"both are essential environmental parameters which play instrumental roles in numerous physical processes, and thereby affect the climate directly or indirectly [7–9]."
2,"thus, being able to accurately estimate their changes in both the time and spatial domains is undoubtedly of prime interest for many applications in numerous disciplines [10,11]."
2,"earth observation (eo) has experienced rapid growth over recent decades, providing a pathway towards acquiring both ef and ssm at variable geographical scales with temporally consistent coverage."
2,"a wealth of techniques have been proposed exploiting eo data acquired from across the electromagnetic spectrum to retrieve these parameters (e.g., see reviews by [8,12]."
2,"thermal infrared (tir) remote sensing, despite its requirement for clear sky conditions, has been the preferred option for both ef and ssm retrievals to date because of its fine resolution in the spatial and temporal domains [13]."
2,a specific group of tir-based approaches that rely on the physical relationships implied by eo-derived scatterplots in which the surface temperature (ts) is plotted versus the vegetation index (vi) have shown potential in this respect.
2,"assuming conditions of full variability in vegetation cover in eo-based imagery, a scatterplot is generated with a triangular (or trapezoidal) shape."
2,the emergence of this shape results from the reduced sensitivity that ts has on water content over areas covered by vegetation in comparison to bare soil areas.
2,a detailed description of the ts/vi feature space and of the biophysical properties included within it can be found in [14].
2,"several researchers have already demonstrated how ef and ssm can be derived from the ts/vi feature space utilizing a range of eo data (e.g., [15–23]."
2,"the promising potential of ts/vi techniques is evidenced in the fact that variants are being, or have been, considered by different space agencies in the development of operational eo-based products [24–26]."
2,"a group of these techniques has already demonstrated its ability to provide operational service ssm maps over spain at 1 km pixel size based on data from the smos satellite, integrating the smos brightness temperature values within a multiple regression model, together with ts and vi obtained from the modis data [27]."
2,"recently [28] proposed a new technique for estimating both ssm and ef from the ts/vi domain, named “simplified triangle”."
2,"this approach has a major advantage in comparison to other ts/vi techniques, in that it is based on only a few calculations and does not require for its implementation a mathematical model to simulate physical processes or ancillary data; therefore, it can be easily implemented almost anywhere in the world."
2,"as the technique is easy to use and only depends on eo data, it is a prime candidate for operational use."
2,"nevertheless, more research is required to evaluate its performance in different ecosystems and environmental conditions globally, particularly regarding the use of eo data from new satellites such as those from sentinel-3."
2,the authors of [29] demonstrated the use of the “simplified” triangle approach coupled with crop prediction and climatological water balance models to predict soybean yield using modis data.
2,"yet, to our knowledge, this technique using esa’s sentinels-3 has not yet been implemented."
2,"sentinel-3 provides eo data at a range of resolutions in the spatial, temporal and spectral domains."
2,"thus, such satellite observations may serve in many potential applications [30,31]."
2,"on this basis, the present research study aims at exploring the ability of the “simplified triangle”, used synergistically with sentinel-3 data, to predict the spatio-temporal variability of both ef and ssm."
2,"to our knowledge, in that respect, this is the first study of its kind."
2,the technique was assessed in two regions in spain for which validated collocated ground observations from the fluxnet global in situ monitoring network were available.
2,"the next section provides a description of the study area; section 3 outlines the methods, section 4 the key results and section 5 discusses the obtained results."
2,materials 2.1.
2,study sites and in situ data ground measurements from three spanish sites that belong to the carboeurope in situ measurements network were used in this study.
2,"carboeurope belongs to fluxnet, which is a"
3,collected from the fluxnet individual sites were first measured using standardized instrumentation across the network sites.
3,"then, quality-controls and uniformly applied error correction processing were applied to them before distribution."
3,in situ data is made available at different processing levels and at no cost from the european fluxes database cluster (http://gaia.agraria.unitus.it/).
3,"remote sens. 2020, 12, 3192 3 of 20 herein, the “simplified triangle” technique is evaluated at three carboeurope sites in spain, representative of typical savannah ecosystem types for selected cloud-free days in 2018."
3,"table 1 major ground the summarizes observational networkofthat main characteristics the acquires study sites land andsurface parameter the location of eachdata [32,33]. site is all in illustrated data collected from the fluxnet individual sites were first measured using standardized figure 1."
3,"in total, 44 days from 2018 were chosen to verify the technique."
3,"the target criteria for instrumentation across the network selecting sites. the specific daysthen, quality-controls included and uniformly cloud-free skies, applied the availability of error good correction quality in situprocessing data were applied to them before distribution."
3,"in situ data is made available at different concurrently to the satellite observations and a satisfactory energy balance closure (ebc), which was processing levels and at no cost from the european fluxes database cluster (http://gaia.agraria.unitus.it/). used as an indication of good quality flux measurements (evaluated as per previous studies such as herein, [34,35]). our “simplified in the study, days triangle” technique of sentinel-3 overpass is with evaluated at three poor ebc < 0.750, slopesites (ebrcarboeurope in r < 0.85, spain, 2< representative of typical 0.930) were excluded from savannah ecosystem further analysis, typestofor similarly selected other cloud-free studies [36,37]. days in 2018."
3,table 1 all ground summarizes the mainmeasurements characteristicsused ofin this study were the study obtained sites and from theof the location icos each(integrated carbon in site is illustrated observation figure system) 1.
3,"in total, 44 daysdatabase from 2018 were chosen to verify the technique."
3,"the detailed (http://www.europe-fluxdata.eu/icos/home). information target criteria on for selecting thethe data use specific days policy can be included found onskies, cloud-free the carboeurope the availability website andquality of good data acquisition in situ datainterface."
