page,p
1,tecnología en marcha.
1,"vol. 35, especial."
1,"junio 2022 v encuentro bienal centroamericano y del caribe de investigación y posgrado 5 estudio de la productividad y biomasa arriba del suelo, mediante el uso de índices de vegetación en plantaciones de tectona grandis l."
1,"(teca) ubicadas en guanacaste, costa rica study of productivity and biomass above the ground, using vegetation indices in plantations of tectona grandis l."
1,"(teak) located in guanacaste, costa rica arleth v."
1,"porras-granados1, dagoberto arias-aguilar2, casia soto-montoya3, vinicio ríos-garro4 porras-granados, a."
1,"v; arias-aguilar, d; soto-montoya, c; ríos-garro, v."
1,"estudio de la productividad y biomasa arri- ba del suelo, mediante el uso de índices de vegetación en plantaciones de tectona grandis l."
1,"(teca) ubicadas en guana- caste, costa rica."
1,tecnología en marcha.
1,"vol. 35, especial v encuentro bienal centroamericano y del caribe de investiga- ción y posgrado."
1,"junio, 2022."
1,pág 5-15. https://doi.org/10.18845/tm.v35i6.6229 1 ingeniera forestal.
1,"programa maestría en ciencias forestales, instituto tecno- lógico de costa rica."
1,costa rica.
1,correo electrónico: arporras@estudiantec.cr https://orcid.org/0000-0002-0474-4774 2 ingenier forestal.
1,"laboratorio de ecofisiología forestal y aplicaciones ecosis- témicas (ecoplant), escuela de ingeniería forestal, instituto tecnológico de costa rica."
1,costa rica.
1,correo electrónico: darias@itcr.ac.cr https://orcid.org/0000-0002-3056-9172 3 ingeniera forestal.
1,"escuela de ingeniería forestal, instituto tecnológico de costa rica."
1,costa rica.
1,correo electrónico: csoto@itcr.ac.cr https://orcid.org/0000-0002-2275-7317 4 ingeniero forestal.
1,panamerican woods s.a.
1,costa rica.
1,correo electrónico: vrios@pawcr.com
2,tecnología en marcha.
2,"vol. 35, especial."
2,junio 2022 6 v encuentro bienal centroamericano y del caribe de investigación y posgrado palabras clave ndvi; gndvi; savi; reflectancia espectral; sentinel.
2,"resumen la estimación del volumen de la madera o de la biomasa en plantaciones forestales es una de las variables clave para la toma de decisiones del manejo forestal, para mejorar la productividad y la rentabilidad de los productos y servicios ambientales que ofrecen."
