page,p
1,"remote sensing article a study of autonomous small satellite constellations for disaster management and deep space strategy mohammed irfan rashed * and hyochoong bang korea advanced institute of science and technology (kaist), daejeon 34141, republic of korea * correspondence: irfanrashed@kaist.ac.kr abstract: the complex and dynamic space environment is both exciting and challenging in this newspace era."
1,"in particular, low-earth orbits are being realigned and reinvented for various purposes using suitable technological advancement."
1,this paper is focused on the major parameters that can be analyzed to attain orbit control and autonomy of small-satellite constellations for real- time applications.
1,"by applying industry experience to graduate research, this work addresses the related concerns in a realistic manner."
1,"currently, global small-satellite constellation solutions are too expensive and inaccessible for many nations to help in their data reception requirements."
1,"this issue was addressed, and some of the main aspects relating to low-cost and high-benefit technical synthesis, in addition to utilization for deep-space missions, were also discussed in detail."
1,"in conclusion, this paper demonstrated a strategic approach to optimize the coverage and performance, and reduce the cost of small-satellite constellations, compared with present day constellations, allowing the data to be relayed faster and with precision."
1,"this will benefit the industry in the development of low-cost constellations, and effectively assist in disaster management and deep-space communication relays."
1,autonomous orbit selection and navigation can be established for better path alignment for satellites to efficiently propagate and deliver the required data.
1,"citation: rashed, m.i."
1,"; bang, h."
1,a study of autonomous small satellite keywords: coverage; optimization; constellation; small satellites; deep space constellations for disaster management and deep space strategy.
1,remote sens.
1,"2022, 14, 6148. https://doi.org/10.3390/rs14236148 1."
1,"introduction academic editors: masahiko nagai, the newspace generation has devised new ideas to change the traditional space ariel c."
1,"blanco, viktor lagutov and perspective, which is demanding with respect to resources and cost."
1,"the dynamics of the sarawut ninsawat working potential of the satellites has been redefined, and new norms have been established with higher competence and upgraded satellite architectures."
1,"received: 26 october 2022 small satellites (under 500 kg) offer new potential for the space community, providing accepted: 21 november 2022 enhanced performance, and compact sizes."
1,"in addition to offering greater performance, published: 4 december 2022 these satellites generate confidence in manufacturers and users, thus ensuring their com- publisher’s note: mdpi stays neutral mercial value is retained, in addition to their purpose and durability."
1,"this also implies the with regard to jurisdictional claims in saving of resources and millions of dollars spent each year to obtain the necessary data for published maps and institutional affil- real-time applications, such as disaster management and effective global warming control iations. through continuous monitoring during the rescue and relief efforts."
1,"hence, the creative development of small satellites is needed, with the objective of solving issues on earth, and the vision of applying and utilizing these satellites for deep- space operations."
1,"due to the constraints of basic astrodynamics, the overall compact copyright: © 2022 by the authors. modeling of these satellites is challenging and demanding."
1,"thus, greater innovation and licensee mdpi, basel, switzerland. updated algorithms are required to assist in swift data transfer and attain robust functioning this article is an open access article distributed under the terms and capabilities over time. conditions of the creative commons satellite constellations represent an upgrade from individual small satellites, and attribution (cc by) license (https:// have been launched during the past decade."
1,there has been immeasurable excitement creativecommons.org/licenses/by/ among space enthusiasts with regard to the benefits they provide compared with traditional 4.0/). satellite launches and operations.
1,remote sens.
1,"2022, 14, 6148. https://doi.org/10.3390/rs14236148 https://www.mdpi.com/journal/remotesensing"
2,"remote sens. 2022, 14, 6148 2 of 29 remote sens. 2022, 14, 6148 2 of 29 remote sens. 2022, 14, 6148 2 of 28 among space enthusiasts with regard to the benefits they provide compared with tradi- tional among satellite launches and space enthusiasts withoperations. regard to the benefits they provide compared with tradi- some some of of the the recent recent trends trends tional satellite launches and operations.of thesesmall-satellite of these small-satellite constellations constellations have have been been recorded recorded by the by of the recent trends of these small-satellite constellations have been recorded in newspace thesome newspace webpage webpage and and in in aa previous previous study study given given in in ref."
2,ref. [1] [1] and and portrayed portrayed in figure figure 1.
2,this earlier research considered considered various various parameters by the newspace webpage and in a previous study given in ref. [1] and portrayed in and key records records of of these these commercial commercial figure 1.
2,"this earlierconstellations, satellite satellite constellations, throughout research consideredthroughout variousthe range of range of small theparameters and satellites, small satellites, key records of these the including including the cubesats. cubesats. commercial another another study study satellite was conducted was conducted constellations, by throughout the newspace by thethe newspace webpage webpage range of small representing representing satellites, including the the theform form factors factors of cubesats.of satellites another in in recent satellitesstudy recent years, as years, was conducted as depicted depicted in figure in by the newspace figure 2a, which 2a, webpage which is supported is supported representing by by the the form the data data presented presented factors by by ref. of satellites ref. [2] for [2] in recent the the number foryears,number of of satellites as depicted satellites in figureper constellation constellation per2a, launched launchedby which is supported by major bythemajor companies globally data presented companies in by ref. globally in recent [2] for years, recent the years, as asshown number of satellites shown in infigureper 2b, figure 2b,respectively. constellation launched by major respectively. companies globally in recent years, as shown in figure 2b, respectively."
2,figure figure 1.
2,yearly figure1.
2,yearly yearly trend of the satellite of the constellations. satelliteconstellations. (a) satellite constellation form factors (until 2021) (b) major industry players (satellite constellations) (a) satellite constellation form factors (until 2021) (b) major industry players (satellite constellations) figure 2.
2,satellite constellation statistics in recent years.
2,satellite constellation statistics in figure 2.
2,"satellite constellation statistics in recent figure 2. recent years. years. above-mentioned references theabove-mentioned the referencesare quotedtotohighlight arequoted highlight evolution thethe evolution of small satel- of small satel- lites the in above-mentioned the newspace era. references during the are quoted past decade, to highlight there has been evolutiondemand thesignificant of smallforsatel- lites in the newspace era."
2,"during the past decade, there has been significant demand for the competence to develop, test, and implement the small satellites in constellations to for lites in the newspace era."
2,"during the past decade, there has been significant demand the competence to develop, test, and implement the small satellites in constellations to meet the meetcompetence the necessity develop, to of implement the test, andpredominantly global imagery, forsmall satellites applications in constellations in disaster manage- to the necessity of global imagery, predominantly for applications in disaster management mentthe meet andnecessity to address of global imagery, predominantly key environmental for applications issues."
2,"as a result, in disaster small satellites manage- are urgently and to address key environmental issues."
2,"as a result, small satellites are urgently needed. ment needed.andintoa address key environmental single reference, an earlier study ref.as issues. result, small [1]a provided satellites a clear overvieware ofurgently the in a single reference, an earlier study ref. [1] provided a clear overview of the direction pro- directioninpromoted needed. by the global a single reference, earliercommunity an space study ref.for [1]implementing provided a clear the much-needed overview of the moted by the global space community for implementing the much-needed constellations, constellations, direction in terms promoted of their by the status global space various statistics. andcommunity another study for implementing theref. [2] pre- much-needed in terms of their status and various statistics."
2,"another study ref. [2] presented a survey of sented a survey of the large constellations, in terms of their status and various statistics."
2,"another study ref.in[2] constellations of small satellites, classifying the trends re-pre- the large cent constellations years, not only in small of ofterms satellites, the classifying number of the trends satellites, but inalso recent the years, nottype. satellite only in sentedofa the terms survey numberof theoflarge constellations satellites, but also of small the satellites, satellite classifying(newspace.im) type."
2,"newspace the trends in re- is newspace cent years, (newspace.im) not only in is a statistical terms of the webpage number for of highlights satellites, the but current also trends the in con- satellite type. statistical and astellations webpage for highlights satellites as a whole the current trends and is updated every in constellations few days to months. and satellites as a newspace whole updated everyisfew and is(newspace.im) days to webpage a statistical months. for highlights the current trends in con- stellations and satellites as a whole and is updated every few days to months."
3,"remote sens. 2022, 14, 6148 3 of 28 1.1."
3,"problem definition globally, major concerns exist regarding the major real-time issues faced by the small- satellite constellations during a significant period of their operations."
3,the questions that govern these issues can be framed as below: • how can the relief under the disaster situations be managed with the constellations with fast data rates and optimal travel path?
3,• which optimization technique can significantly reduce the travel path burden for each satellite in a plane or formation in constellation?
3,• how can we achieve autonomy in the newspace constellations to efficiently reduce the human intervention and efforts to maintain the best possible orbit every time it passes through a ground station until its lifecycle?
3,• how can we determine the major role of these constellations (with optimizers) in aligning the artemis and support operations for initial lunar missions and deep- space network?
3,this paper will provide insights on the optimization of the orbit travel period (range) by enhancing its orbital elements significantly by using predominant optimizing solu- tions.
3,"mainly, the inclination and the semi-major axis of each orbit in constellation are of prime importance."
3,the constellations launched globally have their own set of issues and concerns to maintain the quality of the incoming data as well as to maintain their respective orbits without losing them to perturbations or decaying due to leo environmental conditions.
