page,p
1,"reviews reviews reviews 526 remote sensing and site-specific weed management david r shaw weeds typically occur in patches rather than uniformly across a field; however, conventional management practices rely on whole-field management."
1,"site-specific weed management (sswm), applying control mea- sures only where weeds are located at densities greater than those that cause economic losses, has tremendous potential for economic and environmental benefits."
1,current commercially available systems can detect green vegetation and activate a herbicide spray nozzle.
1,"researchers are actively exploring how ground-based, aerial, or satellite sensor systems can be further developed to delineate weeds from crops during the growing season."
1,"aerial and satellite systems can provide large-area coverage on a regular basis, but typically do not have the spatial resolution necessary to detect small weeds among agricultural crops, which is necessary if effective con- trol and minimized crop yield losses are to be achieved."
1,ground-based systems overcome spatial resolution issues and can analyze plant shape characteristics as well as spectral profiles for weed detection.
1,the primary limitation for ground-based sensors is the highly complex computational capabilities and the relatively slow speeds required to allow image processing and sprayer activation in a single operation.
1,"to date, economic and technical limitations for sswm have not favored widespread adoption."
1,"however, as research continues and technology advances, the opportunities for site-specific control of weeds will greatly increase."
1,"front ecol environ 2005; 3(10): 526–532 h umans have long recognized that weeds, “plants out of place”, compete with desirable plants for water, sunlight, nutrients, and space, thereby reducing their pro- effectively, and substantially reduced labor costs (compared to weeding by hand)."
1,"however, these practices can also lead to increased soil erosion and compaction, contamina- ductive capacity."
1,"site-specific weed management (sswm) tion of surface and groundwater with sediment and persis- has been practiced since the beginning of the selective cul- tent herbicides, and unnecessary expenditures in areas ture of specific plants for human or animal consumption. with little or no weed infestation."
1,"in its most fundamental form, humans use sswm to visu- with the emergence of new technologies came the ally detect unwanted plants and use this information to development of methods for applying herbicides only remove them by hand."
1,"however, with the advent of mech- where needed."
1,"one of the earliest of these involved spot- anized agriculture and chemical herbicides, the approach spraying a herbicide solution on weeds growing in a field. has shifted to weed management on a whole-field basis, eg this was accomplished with hand-held pump-up sprayers, plowing or cultivating an entire field or broadcast applica- or later by individuals seated on a platform mounted on the tion of herbicides."
1,this approach has led to increased agri- front of a tractor (figure 1).
1,"typically, this method used a cultural productivity, the ability to manage larger acreages non-selective herbicide such as glyphosate or paraquat, and care was needed to minimize damage to crop plants."
1,"in a nutshell: however, this practice provided effective management of • weed populations vary across agricultural fields, making site- otherwise difficult-to-control weeds."
1,"more recently, the specific management desirable from both an economic and same technique was used to apply expensive selective her- environmental perspective bicides such as fluazifop and sethoxydim on johnsongrass • site-specific weed management (sswm) has become more (sorghum halepense)."
1,"although designed for broadcast feasible as a result of technological advancements over the past few years applications to crop fields, producers found spot-spraying • while there are still a number of impediments to the develop- to be just as effective and much more economical. ment of ground-, fixed-wing-, and satellite-based sensor sys- a more automated version of the same principle was tems, applications for each of these in sswm are emerging the rope-wick applicator (figure 2)."
1,"this application • currently, sswm is not economically viable in most cases, but method relied on a height differential between the crop development and refinement of technologies are changing this, and new conservation policies may promote sswm as an envi- and the weed."
1,"a pipe was fitted with ropes inserted into ronmental conservation practice holes, and the core of the pipe was filled with a concen- trated solution of glyphosate."
1,"the solution was wicked onto the ropes, and the pipe was mounted horizontally on department of plant and soil sciences, mississippi state university, the front of a tractor and operated just above the height mississippi state, ms 39762 (dshaw@gri.msstate.edu) of the crop, brushing tall weeds with the saturated ropes. www.frontiersinecology.org © the ecological society of america"
2,"15409309, 2005, 10, downloaded from https://esajournals.onlinelibrary.wiley.com/doi/10.1890/1540-9295(2005)003[0526:rsaswm]2.0."
2,"co;2 by university of california, wiley online library on [23/11/2024]."
