page,p
1,"remote sensing article on the contribution of satellite altimetry-derived water surface elevation to hydrodynamic model calibration in the han river youjiang shen 1,2 , dedi liu 1,2, *, liguang jiang 3 , jiabo yin 1,2 , karina nielsen 4 , peter bauer-gottwein 3 , shenglian guo 1 and jun wang 1 1 state key laboratory of water resources and hydropower engineering science, wuhan university, wuhan 430072, china; yjshen@whu.edu.cn (y.s.); jboyn@whu.edu.cn (j.y.); slguo@whu.edu.cn (s.g.); wangjwd@whu.edu.cn (j.w.)"
1,"2 hubei province key lab of water system science for sponge city construction, wuhan university, wuhan 430072, china 3 department of environmental engineering, technical university of denmark, 2800 kgs."
1,"lyngby, denmark; ljia@env.dtu.dk (l.j.); pbau@env.dtu.dk (p.b.-g.)"
1,"4 dtu space, national space institute, technical university of denmark, 2800 kgs."
1,"lyngby, denmark; karni@space.dtu.dk * correspondence: dediliu@whu.edu.cn  received: 12 november 2020; accepted: 10 december 2020; published: 14 december 2020  abstract: satellite altimetry can fill the spatial gaps of in-situ gauging networks especially in poorly gauged regions."
1,"although at a generally low temporal resolution, satellite altimetry has been successfully used for water surface elevation (wse) estimation and hydrodynamic modeling."
1,"this study aims to investigate the contribution of wse from both short-repeat and geodetic altimetry to hydrodynamic model calibration, and also explore the contribution of the new sentinel-3 mission."
1,"two types of data sources (i.e., in-situ and satellite altimetry) are investigated together with two roughness cases (i.e., spatially variable and uniform roughness) for calibration of a hydrodynamic model (dhi mike 11) with available bathymetry."
1,a 150 km long reach of han river in china with rich altimetry and in-situ gauging data is selected as a case study.
1,results show that the performances of the model calibrated by satellite altimetry-derived datasets are acceptable in terms of root mean square error (rmse) of simulated wse.
1,sentinel-3a can support hydrodynamic model calibration even though it has a relatively low temporal resolution (27-day repeat cycle).
1,"the cryosat-2 data with a higher spatial resolution (7.5 km at the equator) are proved to be more valuable than the sentinel-3a altimetry data with a low spatial resolution (104 km at the equator) for hydrodynamic model calibration in terms of rmse values of 0.16 and 0.18 m, respectively."
1,"moreover, the spatially variable roughness can also improve the model performance compared to the uniform roughness case, with decreasing rmse values by 2–14%."
1,our finding shows the value of satellite altimetry-derived datasets for hydrodynamic model calibration and therefore supports flood risk assessment and water resources management.
1,keywords: satellite altimetry; hydrodynamic model; sentinel-3a; cryosat-2; roughness parameters 1.
1,"introduction climate change and human activities have altered the river flow regimes and led to more frequent and severe extreme natural disasters, such as floods and droughts [1,2]."
1,"monitoring hydraulic variables and relevant hydrological-hydraulic processes of rivers usually play an essential role in flood risk assessment and water resources management [3,4]."
1,"one of the key hydraulic variables is the water remote sens. 2020, 12, 4087; doi:10.3390/rs12244087 www.mdpi.com/journal/remotesensing"
2,"remote sens. 2020, 12, 4087 2 of 18 surface elevation (wse), which refers to the height of surface water above a given datum (i.e., 1985 national height datum of china for in-situ records, and egm2008 datum for satellite wse) [5]."
2,"reliable and timely estimation of wse is important for flood and water resources management tasks [6,7]."
2,"traditionally, wse measurements relied on in-situ gauging stations and often suffered from insufficient spatial coverage and data access constraints [8,9]."
2,"hydraulic infrastructure and engineering projects are often designed in data sparsely or ungauged river reaches, which hampers the stakeholders to make decisions about river system management [10]."
2,"hence, it is difficult for engineers to find an efficient way for wse estimation along the entire river reach."
2,"currently, a practical way to achieve this goal is the comprehensive estimation of wse and other hydraulic variables on a whole river reach by using hydrodynamic models [4,11]."
2,"a hydrodynamic model is an efficient tool for flood forecasting and water resources management, as it can simulate the spatio-temporal dynamics of hydraulic variables given the boundary and initial conditions [12,13]."
2,observed data including wse is often employed to calibrate the parameters of the hydrodynamic model and thus influences the model performance of simulated hydraulic variables [14].
2,"however, observations from in-situ gauging stations are often sparse, and model parameters (e.g., spatially variable roughness parameters) probably cannot be estimated well from in-situ data through a calibration procedure [15]."
2,"the hydrodynamic model application is constrained in flood and water resources management, especially in ungauged or poorly gauged basins [16–18]."
2,"with the rapid advances in remote sensing sciences and technologies, space-borne sensors have provided valuable estimates of hydrological-hydraulic variables such as river extents and wse [19–22]."
2,"wse can be freely obtained from satellite altimetry missions (e.g., envisat and jason-2/-3), while river extents can be derived from optical or sar (synthetic aperture radar) imagery satellite missions (e.g., landsat and sentinel-1/-2) [23,24]."
2,these data from a satellite mission called satellite observations have been taken as a key supplement to in-situ data for hydrodynamic modeling.
2,there have been many studies focusing on integrating satellite observations in facilitating hydrodynamic modeling.
2,"for example, satellite imagery observations have been adopted to calibrate two-dimensional (2-d) hydrodynamic models [25,26], to validate the efficiency of hydrodynamic models [27,28], and even integrated into model structures for data assimilation [29]."
2,"although promising results have been shown by integrating satellite imagery observations in hydrodynamic modeling, there are also a lot of challenges."
2,"for example, optical imagery data are easily affected by cloud conditions while sar imagery data always suffer the low spatial resolution [30], inundation extents are hard to be interpreted due to the noise of the backscatter and are also unavailable during the flood period."
2,wse characterizes the surface water variations [31].
2,"satellite altimetry-derived wse has been widely used to calibrate hydrodynamic models as an alternative to in-situ records, especially in ungauged areas [32,33]."
2,"for example, short-repeat missions such as envisat and ers-2 have been adopted in calibrating a quasi-two-dimensional hydrodynamic model in italy [30]."
2,"recently, cryosat-2 was used to calibrate a one-dimensional hydrodynamic model in the brahmaputra river [34]."
2,"hydrodynamic models can benefit from satellite altimetry data in model calibration, improving the skills of simulating hydraulic variables such as wse and discharge."
2,"however, the contributions of various altimetry-derived wse datasets to hydrodynamic model calibration are different."
2,the data-quality and sampling density are two potential pivotal factors influencing the contribution of satellite wse on hydrodynamic model calibration.
