page,p
1,"the current issue and full text archive of this journal is available at http://www.emeraldinsight.com/0368-492x.htm kybernetes 31,2 monitoring and early warning systems – a design for human 220 survival lars skyttner department of natural science, university of gavle, s-801 76 gavle, sweden keywords cybernetics, disaster planning, monitoring, deformation abstract technical means now exist to monitor, predict a danger and issue early warnings when something devastating is estimated to happen in the human environment."
1,"in order to adapt such means for the benefit of humanity, existing monitoring methods, basic system design principles and natural short and long environmental transformations were investigated."
1,"finally an integrated automatic system for deformation monitoring and surveying of the chernobyl disaster area, was proposed."
1,the conclusion was that airborne remote sensing including gps and photogrammetry can be considered the optimum solution.
1,introduction in his long history man has constantly been the victim of both short and long term environmental transformations.
1,the possibility to predict and react upon such changes has quite naturally been very limited.
1,"today, in the beginning of the 21th century with advanced satellite system for communication, navigation and observation, this situation has changed."
1,"technical means now exist both to monitor, predict a danger and issue early warnings when something devastating is going to happen in the human environment."
1,"to use such means as survival tools presupposes knowledge of existing monitoring methods, basic system design principles and natural disasters."
1,natural disasters are here seen as short or long term environmental degradation.
1,"starting with the state of the earth’s environment, this paper gives an overview of methods and techniques for monitoring of environmental transformations as well as structural deformations."
1,then design of an integrated systems for monitoring and early warning is presented and exemplified by an application for chernobyl nuclear site.
1,"short term environmental changes a character of short time environmental changes is that they occur suddenly kybernetes, and cause a disaster during a relatively short moment."
1,sometimes it is not vol.
1,"31 no. 2, 2002, pp."
1,"220–245. q mcb up limited, 0368-492x possible to predict its consequences."
1,such phenomena often concern whole doi 10.1108/03684920210417292 populations and are the most devastating of all threats influencing humanity.
2,in shape of natural disasters the examples can be: monitoring and .
2,meteor impacts; early warning .
2,avalanches; systems .
2,forest fires; .
2,flooding; 221 .
2,hurricanes; .
2,cyclones; .
2,tsunamis; .
2,drought; .
2,volcanic eruptions; .
2,landslides; .
2,earthquakes; and .
2,ultraviolet radiation.
2,today the impact of manmade disasters tend to be in parity with big natural disasters.
2,"the biggest possible manmade disaster, the nuclear holocaust, is on a level with a big meteor impact."
2,the most serious items on a list regarding manmade disasters are the following: .
2,nuclear war; .
2,chemical and bacteriological warfare; .
2,radioactive fallout (core meltdown); .
2,release of infectious bacteria and virus; .
2,environmental and climatological influence with failure of the crop; and .
2,dam destruction with flooding.
2,some of the items can also be categorized as failed large industrial buildings and structures.
2,"storms, hurricanes, and cyclones are events which release strong natural forces."
2,"a storm is usually described as a very strong wind which can transport snow, dust, sand or rain."
2,a hurricane is a violent windstorm.
2,a cyclone is a violent wind rotation around a central area.
2,"during the last four decades cyclones have increased markedly in both frequency and magnitude (kerpelman, 1994)."
2,"in an average year there are some 70– 80 tropical cyclones world-wide, with damage estimated to about 1.5 billion dollars."
2,cyclones only form overseas with a surface temperature of above 27 degrees c.
2,"global warming is increasing the frequency and severity of tropical cyclones with an 40 –50 percent increase in their destructive power (bryant, 1991)."
2,in september 1988 a cyclone in the bay of bengal resulted in a
3,"kybernetes storm surge and widespread flooding which affected 48 million bangladeshis, 31,2 destroying at least one million homes."
3,a flood is usually defined as a coming of a great quantity of water in a place that is usually dry.
3,"very often floods are closely associated with other events like storms, cyclones and rainfalls."
3,"during the period 1967– 91 there were about 300,000 deaths only from foods (un department of human affairs 222 1993)."
3,"an intensification of the cyclone system, which is already going on, enhances the risk of coastal flooding."
3,"at the same time, coastal flooding would be aggravated by intensification of the hydrological cycle as well (schlesinger 1993)."
3,"preliminary risk evaluation estimates the total of people at risk of sea-level rise to be 73 million in china, 20 million in india and elsewhere 31 million (myers and kent, 1995)."
3,earthquakes are usually closely related to plate tectonics.
3,"once the friction bond or pressure holding together two ribs of a fault is broken, the elastic strain energy is suddenly released in form of an earthquake."
3,"at the very event, the earth experiences seismic waves."
3,large earthquakes can produce considerable horizontal and vertical movements in the range of metres.
3,"at the 1905 san francisco, california, earthquake, which had an magnitude of 8.3, horizontal movements exceeding 5 metres have been reported."
3,"during the period 1967– 91, there were 600,000 deaths from earthquakes (kempelman, 1994)."
3,"at sea-bottoms, seismic and other events cause long wavelength waves, tsunamis."
3,"approaching shore, these waves can reach a height of more than 50 metres and travel several kilometres into the land destroying everything in their way."
3,volcanism occurs when magma generated in the upper mantle is squeezed upward through cracks in the crust caused by faults or structure weaknesses.
3,"most of today’s active volcanoes are located in three belts: the circum-pacific belt, the ocean ridge systems, and the alpine-himalayan belt."
3,"thermal energy generated by tectonic activities, such as crustal compression or extension, causes the rock to melt."
3,the latter causes volcanism to occur along mid-ocean ridges.
3,hot-spots are the least common type of volcanic activity.
3,"several large industrial buildings and structures like dams, power stations and bridges has collapsed in the past."
3,"notable examples are the catastrophes in rempen 1924, glenau 1932 and stava 1985 in europe and, saint francis 1928 and tenton 1976 in the usa (krakiwsky, 1986)."
3,other examples are the bophal spill of toxic chemicals in india and the chernobyl nuclear reactor accident.
3,"the chernobyl event, with a radioactive fallout of fifty times that of hiroshima and irradiating an area of 200,000 square kilometres, caused 116,000 people to evacuate the area within 30 kilometres of the nuclear station."
3,"regarding chernobyl, it must be kept in mind that there are another sixteen chernobyl- type power stations in western russia and eastern europe, some of them notoriously unstable."
4,long term environmental degradation monitoring and long term environmental degradation are continuous processes which are early warning active during many years.
4,"in the beginning it is sometimes difficult to observe systems their influence, but after an accurate monitoring of environmental parameters it is possible to discover what is going on."
4,"it is, however, often possible to predict the impact on the environment in the future."
4,the most common scenario of changes is that first it is possible to observe only small changes which usually 223 accelerate.
4,"when a threshold of carrying capacity of environment is passed, the result is a mass exodus of people from the risk area."
4,"generally, the following long term environmental degradations are visible: . deforestation and overgrazing with soil erosion and decertification; . garbage accumulation, nuclear radiation, water, soil, and air pollution; . water salinisation, acidification and deficits, decreasing subsoil water, droughts; . decreasing biodiversity and extinction of species; . global warming and shrinking ozone layer with melting of polar ice caps; and . development disruptions."
4,today humans use and waste almost 55 percent of the accessible water.
4,the rest is left for the other species.
4,"in 1993 the total number of water-short people was 335 million and is expected to soar to 1.5 billion in 2010 and 3 billion in 2025 (myers and kent, 1995)."
4,"according to other sources (gleick, 1993) the number of people who experience shortages of renewable water could even grow to the order of 4.4 billion by 2050."
4,"countries enduring absolute water scarcity (defined as 500 cubic metres or less of water per person and year) will be countries like morocco, algeria, burundi etc. with a total population of 250 millions."
4,"quite naturally, this is one of the main problems for agriculture, industry and, household in large urban communities, which in addition run the risk of water-related diseases."
4,about 90 percent of developing-country diseases is due to lack of clean water for domestic use.
4,water shortages could be made worse by increasing droughts in wake of global warming.
