page,p
1,"this is a peer-reviewed, post-print (final draft post-refereeing) version of the following published document, this is the peer reviewed version of the following article: [full cite], which has been published in final form at http://dx.doi.org/10.1111/geoj.12323this article may be used for non-commercial purposes in accordance with wiley terms and conditions for self-archiving. and is licensed under all rights reserved license: smith, katherine, berry, robert orcid: 0000-0002-7714-5211 and clarke, lucy e orcid: 0000-0002-8174-3839 (2020) exploring the potential of google earth as a communication and engagement tool in collaborative natural flood management planning."
1,"geographical journal, 186 (2). pp."
1,171- 185. doi:10.1111/geoj.12323 official url: http://dx.doi.org/10.1111/geoj.12323 doi: http://dx.doi.org/10.1111/geoj.12323 eprint uri: https://eprints.glos.ac.uk/id/eprint/7291 disclaimer the university of gloucestershire has obtained warranties from all depositors as to their title in the material deposited and as to their right to deposit such material.
1,"the university of gloucestershire makes no representation or warranties of commercial utility, title, or fitness for a particular purpose or any other warranty, express or implied in respect of any material deposited."
1,"the university of gloucestershire makes no representation that the use of the materials will not infringe any patent, copyright, trademark or other property or proprietary rights."
1,the university of gloucestershire accepts no liability for any infringement of intellectual property rights in any material deposited but will remove such material from public view pending investigation in the event of an allegation of any such infringement.
1,please scroll down for text.
2,"exploring the potential of google earth as a communication and engagement tool in collaborative natural flood management planning smith, katherine, berry, robert and clarke, lucy e abstract this paper considers the development and evaluation of a google earth ‘virtual globe’ tour for communicating spatial data and engaging stakeholders in the early stages of a natural flood management (nfm) planning scenario, based on a rural uk river catchment that suffered significant flooding in 2007."
2,"with a range of diverse stakeholder interests to consider, early engagement and the development of trust before decision- making is essential for the long-term success of such catchment-wide projects."
2,"a local catchment group was consulted to identify key information requirements, and from this a ‘virtual globe’ tour was created."
2,"the process involved specialist skills and expert leadership, but the end result was accessible to a range of audiences."
2,user evaluation indicated that the ‘virtual globe’ tour was easy to navigate and can be used to stimulate interest and engage stakeholders.
2,participants trusted the content and valued the interactivity of the tour.
2,"it was helpful for communicating and educating participants about the catchment, the issues it faces and the potential to incorporate nfm, particularly for those with little or no prior knowledge."
2,more abstract information was harder to convey and there were limitations in the availability of suitable data for some variables and the quality of satellite imagery.
2,this exploratory research found that a google earth ‘virtual globe’ tour can be a valuable tool in the initial stages of an nfm
3,"project, but there are also opportunities to use this technique in the more advanced stages of the planning process."
