page,p
1,"journal of cleaner production 265 (2020) 121792 contents lists available at sciencedirect journal of cleaner production journal homepage: www.elsevier.com/locate/jclepro grid-scale agricultural land and water management: a remote- sensing-based multiobjective approach yikuan tang a, b, fan zhang a, b, bernard a."
1,"engel c, xiao liu a, b, qiong yue a, b, ping guo a, b, * a center for agricultural water research in china, china agricultural university, beijing, 100083, china b wuwei experimental station for efﬁcient water use in agriculture, ministry of agriculture and rural affairs, wuwei, 733000, china c department of agricultural and biological engineering, purdue university, west lafayette, in, 47907, usa a r t i c l e i n f o a b s t r a c t article history: this paper developed a remote-sensing-based multiobjective (rsm) approach to formulate sustainable received 27 january 2020 agricultural land and water resources management strategies at a grid scale."
1,"to meet the spatial reso- received in revised form lution and accuracy need of agricultural management, downscaled precipitation data sets were obtained 15 april 2020 with the help of global precipitation measurement (gpm) data and other spatial information."
1,"spatial crop accepted 17 april 2020 available online 23 april 2020 water requirement information were obtained via the combination use of the penman-monteith method, remote sensing information (mod16/pet) and virtual water theory."
1,"through integrating these spatial data and considering the impact of different spatial environments on crop growth, a grid-based integer keywords: remote-sensing-based multiobjective multiobjective programming (gimp) model was developed to determine best suitable crop planting approach types at all grids."
1,"gimp can simultaneously consider several conﬂicting objectives: crop growth suit- downscaling ability, crop spatial water requirements, and ecosystem service value."
1,"further, gimp results were agricultural land and water planning inputted into a grid-based nonlinear fractional multiobjective programming (gnfmp) model with three sustainable development of agriculture objectives: maximize economic beneﬁts, maximize water productivity, and minimize blue water utili- zation, to optimize irrigation-water allocation."
1,"to verify the validity of the proposed approach, a real- world application in the middle reaches of heihe river basin, northwest china was conducted."
1,"results show that the proposed method can improve the ecosystem service value by 0.36  108 cny, the eco- nomic beneﬁt by 21.85%, the irrigation-water productivity by 25.92%, and reduce blue water utilization rate by 24.32% comparing with status quo."
1,© 2020 elsevier ltd.
1,all rights reserved.
1,"introduction development of regional agriculture (li et al., 2019b)."
1,"when dealing with real-world problems, some basic parameters, such as precip- global economic development and population growth jointly itation and evapotranspiration (et), have high spatiotemporal deepen the water shortage and environmental crisis, which is an variability (tang et al., 2019), increasing the difﬁculty in modeling. urgent global problem facing humankind."
1,"agriculture is the largest the emergence of remote sensing technology produces more water consumer and one of the major leading sources of environ- spatial information (michaelides et al., 2009), and brings hope to mental degradation (zhang et al., 2019b)."
1,"the limited agricultural solve the above problems (bastiaanssen et al., 2000)."
1,"it is a hot issue land and water resources are the major constraint on agricultural to make full use of remote sensing information in optimizing production, which calls for more efﬁcient resource utilization management of agricultural spatial resources for improving the strategies."
1,mathematical optimization models have been proved as utilization efﬁciency of limited resource.
1,"therefore, a remote- important tools in optimally allocating limited agricultural land sensing-based multiobjective (rsm) approach is necessary for (gui et al., 2016) and water resources (li et al., 2019a), maintaining determining crop planting type and allocating limited irrigation- ecological health (zhang et al., 2019b) and supporting sustainable water to spatial grids (1 km  1 km) with the help of remote sensing information."
1,precipitation and et play a very important role in the manage- ment of agricultural land and water resources.
1,especially for some * corresponding author.
1,"center for agricultural water research in china, china arid and semi-arid regions, there is strong spatial variability and agricultural university, tsinghuadong street no."
1,"17, beijing, 100083, pr china. temporal distribution in precipitation and et, which need to be e-mail address: guop@cau.edu.cn (p."
1,guo). https://doi.org/10.1016/j.jclepro.2020.121792 0959-6526/© 2020 elsevier ltd.
1,all rights reserved.
2,tang et al.
2,"/ journal of cleaner production 265 (2020) 121792 considered in decision-making processes (tang et al., 2019)."
2,"in considered as a possible solution method in dealing with the gimp recent years, the global precipitation measurement (gpm, huffman and gnfmp model. et al., 2019) data with higher spatial resolution (0.1 ), time reso- in this study, a rsm approach was developed to improve the lution (30 min), and higher accuracy in arid and semi-arid regions spatial resolution of agricultural resource management schemes was widely used around the world."
2,"however, spatial resolution and and ensure sustainable agricultural management, which has the accuracy of gpm data is too coarse to meet the requirements of rsm following advantages: 1) some key factors with high spatial vari- approach."
2,"many efforts have been made to downscaling the gpm ability can be obtained based on remote sensing information; 2) the data, and many factors were considered, such as geographic loca- optimal crop planting type can be determined at each grid by the tion information (longitude, latitude) and topographical data gimp model considering resources, efﬁciency and environmental (slope, aspect, elevation, chen et al., 2017)."
2,"agnew and palutikof factors; and 3) the corresponding water-allocation schemes based (2000) attempted to improve the accuracy of precipitation by us- on gimp results can be calculated through gnfmp considering ing multivariate regression with the interpolation of residuals, but conﬂicting objectives. remote sensing data were ignored."
2,previous research developed a downscaling method of spatial sharpening based on multivariate 2.
2,"development of methodology data (immerzeel et al., 2009)."
2,"therefore, this paper attempts to use multivariate linear regression with the residual correction (mlrr) 2.1."
2,"overview of the problem method to obtain down-scaled precipitation data with high accu- racy based on gpm data, terrain factors, and geographic location modern agriculture advocates a green, efﬁcient and sustainable information."
2,"thereafter, the obtained spatial distribution precipi- way to use limited land and water resources."
2,"however, the spatial tation was evaluated by a cross-validation method (goovaerts, resolution of existing research about land and water resources 2000)."
2,"as for another key parameter in agricultural production optimization cannot meet the precise management requirements planning, et information from remote sensing has high noise and in real production."
2,"for example, most previous management uncertainty (velpuri et al., 2013)."
2,"to address this problem, tang schemes cannot determine crop planting type and irrigation-water et al. (2019) developed a new method combining the fao in speciﬁc spatial locations inside a river basin or irrigation area."
2,"in penman-monteith (pm, allen et al., 1998) method with remote order to provide more practical decision support information, river sensing mod16/pet data (mu et al., 2007), to obtain more accurate basin managers urgently need more precise optimization results to spatial reference evapotranspiration (et0)."
2,this study further at- manage agricultural production.
2,"recently, the monitoring devel- tempts to transfer the spatial et0 information to spatial crop water opment of remote sensing in ground precipitation and evapo- requirement (cwr, allan, 1993) and crops virtual water content transpiration provide possible inputs for a rsm approach, but these (vwc, su et al., 2014) through virtual water theory (hoekstra, 2011). spatial data always need to be processed to meet managers’ re- these spatial information can be used to formulate more sustain- quirements."
