page,p
1,"ieee transactions on geoscience and remote sensing, vol."
1,"45, no."
1,"6, june 2007 1595 conceptual case for assimilating interferometric synthetic aperture radar data into the hazus-mh earthquake module david m."
1,"tralli, ronald g."
1,"blom, member, ieee, eric j."
1,"fielding, andrea donnellan, and diane l."
1,evans abstract—the study of the earth as a system is being adopted volumes.
1,these advances are reducing the time necessary to widely by geoscientists.
1,numerical models and simulations are study long-term processes while constraining the models with providing the capability to rapidly test hypotheses and make observational data [1].
1,such capabilities provide a greater un- forecasts of complex geophysical behavior.
1,"international efforts are seeking to integrate existing and emerging earth observation derstanding of events occurring today from the perspective of systems into a global network, with enhanced data distribution, phenomenology (i.e., science) and for assessing impact on life models, and decision support tools."
1,"remote sensing is poised to and property (i.e., loss estimation). fulfill the increasing need for a synoptic framework."
1,"however, the with the increasing attention placed on transitioning re- desire to improve the connection between scientific research and sults of research into practical socioeconomic benefits, the societal benefits has not been matched with resources and tools geosciences—fundamentally comprised of atmospheric, solid required to bridge the gap between research and applications."
1,"natural hazards research and disaster management are a prime earth, and ocean sciences—have broadened their scope to example."
1,"here, we present a conceptual case for how interfero- include such topics as natural disasters, natural resources, metric synthetic aperture radar (insar) data could make a de- biological diversity, climate change, and the solar-terrestrial en- finitive contribution to understanding earthquake processes while vironment."
1,"viewed as a complex interacting system of physical, simultaneously supporting policy- and decision-making."
1,"insar chemical, and biological processes, the geosciences recognize measurements derived from time series of radar observations from the need for earth observations that range from particulate to earth orbit uniquely can provide geographically comprehensive maps of surface deformation."
1,"observing system simulations are global scales, from subdaily to decadal sampling and temporal suggested to evaluate the potential contributions of a future sys- spans, across the electromagnetic spectrum from gamma rays tem."
1,simulations would adopt an open seismic hazard analysis to microwaves.
1,"fig. 1 shows the breadth of measurements, (sha) framework, opensha, recognizing the need for more observations and experiments for tectonic, earthquake and ma- physics-based modeling and computational infrastructure."
1,sha terial processes.
1,"sensors and instruments are being placed on is employed by the hazus-mh earthquake module to estimate the seafloor, on autonomous underwater vehicles, on the ocean losses."
1,"insar measurements of strain accumulation would pro- vide event magnitude recurrence bounds for probabilistic sha, surface, on land and in boreholes, on balloons, unmanned aer- while coseismic insar measurements would add constraints on ial vehicles, and airborne and satellite platforms."
1,observation fault rupture models for deterministic approaches.
1,"moreover, in- venues in addition to traditional low-earth orbits are receiving terferograms would be incorporated graphically as proxy seismic increased consideration in architecture studies for environmen- risk maps for planning and mitigation. tal systems [2] because of the synoptic advantages afforded by index terms—hazus, interferometric synthetic aperture continuous imaging of the total full-disk earth system. radar (insar), observing system simulation experiment however, the desire to improve the connection between (osse), remote sensing, seismic hazard analysis. scientific research and societal benefits has not been matched with resources and tools to bridge the gap between research and i."
1,i ntroduction applications [3].
1,"the process of transitioning research products and knowledge into more effective risk reduction strategies t he study of the earth as a system is being adopted widely by geoscientists, treating the entire earth as a system that evolves from the interactions of its constituents. requires placing scientific queries and outcomes into an engi- neering, socioeconomic, and political context."
1,the u.s.
1,na- tional research council cites that scientists and engineers have this earth system science approach is enabled by the integra- lacked effective organizational and programmatic mechanisms tion of diverse technologies and data types from a multitude to exploit areas of synergy and better understand implementa- of observation venues.
1,earth system computer models rapidly tion issues [3].
1,"relying on advances in earth system computer test hypotheses and provide forecasts of future earth system models, observing system simulations are an effective means behavior over decades."
1,"moreover, advances in computational of assessing the impact and benefit of future data streams on science and numerical simulations allow the study of correlated numerical models and decision support tools."
1,"here, we suggest phenomena and recognition of subtle patterns in large data such simulation experiments for seismic hazard analysis (sha) and loss estimation."
1,"the effort would involve the participation manuscript received may 12, 2006; revised february 26, 2007. of observational system developers, data providers, and disaster the authors are with the earth science and technology directorate, management practitioners toward guiding the end-to-end archi- nasa jet propulsion laboratory, california institute of technology, pasadena, ca 91109 usa. tecture of an enhanced earthquake hazard monitoring and risk digital object identifier 10.1109/tgrs.2007.895848 assessment capability."
1,government work not protected by u.s copyright.
1,authorized licensed use limited to: univ of calif santa barbara.
1,"downloaded on november 23,2024 at 18:48:44 utc from ieee xplore."
1,restrictions apply.
2,"1596 ieee transactions on geoscience and remote sensing, vol."
2,"45, no."
2,"6, june 2007 fig."
2,"representation of the range of spatial and temporal scales of geophysical phenomenology related to tectonic, earthquake, and material processes, with observation domains for laboratory, field, and spaceborne measurements."
2,insar provides needed capabilities over local to regional scales and at time scales that complement seismology and geodesy.
2,(diagram adopted and used with permission from b.
2,minster).
2,"international efforts seek to integrate existing and emerg- motions, groundwater withdrawal, and many other phenomena. ing earth observation capabilities into a global network of a repeat-pass spaceborne insar system measures ground de- measurements, with enhanced data distribution, modeling, and formation by comparing reflected radar signals recorded on decision and policy support."
2,"resources and infrastructure that successive passes of an earth-orbiting satellite from nearly would be coordinated, and augmented and developed to deliver identical positions, enabling measurement of vector displace- improved data, information and model outputs to a broadening ments using pairs of images from multiple locations."
2,"con- community of users, decision- and policy-makers would in turn versely, a single-pass system measures topography, and is support a comprehensive and sustained global capability for comprised of two antennas on a common satellite or platform, integrated scientific measurements at the earth system level. as with the shuttle radar topography mission, or two satel- remote sensing data and derived geospatial information prod- lites flying in formation, as the planned tandem-x mission ucts are recognized to fulfill the increasing requirement for a of the german aerospace center."
2,"current and planned sys- synoptic framework (e.g., [4] and [5])."
2,"fig. 2 is a schematic tems, however, are limited due to inadequate data availability, of diverse measurements, complemented by modeling and sim- the frequency of observations and suboptimal observational ulation, for understanding earthquake risk potential."
2,"in order wavelengths that preclude their routine use for postearthquake to demonstrate an accelerated approach for transitioning these emergency response and systematic long-term measurements of capabilities to disaster management, here a case is offered interseismic strain and strain transients. suggesting conceptually how spaceborne interferometric syn- surface deformation is measured as follows."
2,interferometry thetic aperture radar (insar) measurements of seismically subtracts the phase of the radar waves that return to the anten- prone regions—at localized scales within a regional tectonic nas.
2,"the radar system is coherent, with wavelengths typically framework and at coseismic, postseismic, and interseismic 3–25 cm, so the phase difference of the waves transmitted intervals—could make contributions to phenomenological un- and received can be determined (having accounted for an derstanding while supporting policy and economic decision- unknown number of integer wavelengths) for each synthetic making for risk mitigation strategies, vulnerability reduction, aperture resolution element."
2,"although there are error factors, and emergency response. such as random phase shifts at the point of reflection (i.e., incoherence), topographic effects, satellite orbital errors, and atmospheric variability effects, it is possible to generate phase ii."
2,"i nterferometric s ynthetic change images that map the surface deformation (through a perture r adar the change in distance) along the radar line-of-sight between insar measurements derived from long time series of obser- different times at the same position in space to centimeter- vations uniquely can provide a geographically comprehensive level or better accuracy with a spatial resolution of the order map of surface deformation due to earthquakes, slow tectonic of 10–100 m."
