page,p
1,"remote sensing article depthwise separable convolution neural network for high-speed sar ship detection tianwen zhang *, xiaoling zhang, jun shi and shunjun wei school of information and communication engineering, university of electronic science and technology of china, chengdu 611731, china; xlzhang@uestc.edu.cn (x.z.); shijun@uestc.edu.cn (j.s.); weishunjun@uestc.edu.cn (s.w.)"
1,"* correspondence: twzhang@std.uestc.edu.cn; tel.: +86-17381580825  received: 19 september 2019; accepted: 17 october 2019; published: 24 october 2019  abstract: as an active microwave imaging sensor for the high-resolution earth observation, synthetic aperture radar (sar) has been extensively applied in military, agriculture, geology, ecology, oceanography, etc., due to its prominent advantages of all-weather and all-time working capacity."
1,"especially, in the marine field, sar can provide numerous high-quality services for fishery management, traffic control, sea-ice monitoring, marine environmental protection, etc."
1,"among them, ship detection in sar images has attracted more and more attention on account of the urgent requirements of maritime rescue and military strategy formulation."
1,"nowadays, most researches are focusing on improving the ship detection accuracy, while the detection speed is frequently neglected, regardless of traditional feature extraction methods or modern deep learning (dl) methods."
1,"however, the high-speed sar ship detection is of great practical value, because it can provide real-time maritime disaster rescue and emergency military planning."
1,"therefore, in order to address this problem, we proposed a novel high-speed sar ship detection approach by mainly using depthwise separable convolution neural network (ds-cnn)."
1,"in this approach, we integrated multi-scale detection mechanism, concatenation mechanism and anchor box mechanism to establish a brand-new light-weight network architecture for the high-speed sar ship detection."
1,"we used ds-cnn, which consists of a depthwise convolution (d-conv2d) and a pointwise convolution (p-conv2d), to substitute for the conventional convolution neural network (c-cnn)."
1,"in this way, the number of network parameters gets obviously decreased, and the ship detection speed gets dramatically improved."
1,we experimented on an open sar ship detection dataset (ssdd) to validate the correctness and feasibility of the proposed method.
1,"to verify the strong migration capacity of our method, we also carried out actual ship detection on a wide-region large-size sentinel-1 sar image."
1,"ultimately, under the same hardware platform with nvidia rtx2080ti gpu, the experimental results indicated that the ship detection speed of our proposed method is faster than other methods, meanwhile the detection accuracy is only lightly sacrificed compared with the state-of-art object detectors."
1,our method has great application value in real-time maritime disaster rescue and emergency military planning.
1,keywords: synthetic aperture radar (sar); ship detection; high-speed; convolution neural network (cnn); depthwise separable convolution neural network (ds-cnn); depthwise convolution (d-conv2d); pointwise convolution (p-conv2d) 1.
1,"introduction synthetic aperture radar (sar), an active microwave remote sensing imaging radar capable of observing the earth’s surface all-day and all-weather, has a wide range of applications in military, agriculture, geology, ecology, oceanography, etc."
1,"in particular, since the united states launched the remote sens. 2019, 11, 2483; doi:10.3390/rs11212483 www.mdpi.com/journal/remotesensing"
2,"remote sens. 2019, 11, 2483 2 of 37 first civil sar satellite to carry out ocean exploration in 1978 [1], sar has begun to be constantly used in the marine field, such as fishery management [2], traffic control [3], sea-ice monitoring [4], marine environmental protection [5], ship surveillance [6,7], etc."
2,"among them, in recent years, ship detection in sar images has become a research hotspot for its broad application prospects [8,9]."
2,"on the military side, it is conducive for tactical deployment and ocean defense early warning."
2,"on the civil side, it is also beneficial for maritime transport management and maritime distress rescue."
2,"however, despite of the wide practical value in the military and civil side, up to now, sar ship detection technology is still lagging behind optical images due to their different imaging mechanisms [10]."
2,"therefore, many constructive methods are emerging to solve this problem, which promote the development of sar interpretation technology persistently."
2,"according to our investigation, these multifarious methods can be mainly divided into two categories: (1) traditional feature extraction methods; (2) modern deep learning (dl) methods."
2,the most noteworthy characteristic of the traditional feature extraction methods is the manual feature extraction.
2,"in these ways, ships can be distinguished from ports, islands, etc., through gray level, texture, contrast ratio, geometric size, scattering characteristics, the scale-invariant feature transform (sift) [11], haar-like (haar) [12], histogram of oriented gradient (hog) [13], etc."
2,"among them, the constant false alarm rate (cfar) is one of the typical algorithms."
2,"when performing ship detection, cfar detectors provide a threshold, which needs to avoid noise background clutter and interference as far as possible, to detect the existence of ships."
2,"therefore, it is essential to establish an accurate clutter statistical model for cfar detectors."
2,"among them, some frequently-used clutter statistical models are based on gauss-distribution [14], rayleigh-distribution [15], k-distribution [16], and weibull-distribution [17]."
2,"however, for these cfar detectors, there are still two drawbacks hindering its development and application."
2,"on the one hand, it is bitterly challenging to build an accurate clutter model."
2,"on the other hand, these established models are inevitably vulnerable to sea clutter and ocean currents."
2,"therefore, the application scenarios are limited and the migration capacity is also weak."
2,"even worse, in the practical applications, it takes a lot of time to solve lots of parameters of the above distribution equations, leading to a slower detection speed."
2,"another common traditional method is the template-based detection [18,19]."
2,"this method considers both the characteristics of specific targets and that of backgrounds, which has achieved good detection performance."
2,"however, these detection templates are frequently dependent on the expert experience and deficient in mature theories, which may lead to their poor migration ability."
2,"in addition, the template matching in wide-region sar images is also time-consuming, which undoubtedly declines the detection speed."
2,"in summary, these traditional feature extraction methods are complex in computation, weak in generalization, and troublesome in manual feature extraction."
2,"most importantly, the detection speed of these methods is too slow to satisfy real-time ship detection in the practical application occasion."
2,the most noteworthy characteristic of the modern dl methods is the automatic feature extraction [20].
2,"by this means, it is unnecessary to design features via manual participation, simply and efficiently."
2,"as long as given a labeled dataset, computers can train and learn like human brains to accomplish accurate object detection tasks."
2,"for this reason, nowadays, more and more scholars are following the path of artificial intelligence (ai) to achieve sar ship detection."
2,"generally, there are two main types of object detectors in the dl field [21]: (1) two-stage detectors; (2) one-stage detectors."
2,two-stage detectors usually assign detection tasks into two stages: acquisition of region of interest (roi) and classification of roi.
2,region-convolutional neural network (r-cnn) [22] is the first one to realize object detection via dl methods.
2,"r-cnn used the selective search [23] to generate rois, then extracted the features of rois by cnns, and finally, classified rois by support vector machine (svm) [24]."
2,it made the mean average precision (map) on the pascal voc dataset [25] a great increment compared with previous traditional methods.
2,"however, due to its huge amount of calculation, the detection speed of r-cnn is notoriously slow, leading to impracticability in industry."
2,"to improve the detection speed, a fast region-convolutional neural network (fast r-cnn) was proposed by girshick et al. [26], which draws some experience from spatial pyramid pooling"
3,"remote sens. 2019, 11, 2483 3 of 37 network (spp-net) [27]."
3,"fast r-cnn added an roi pooling layer and realized feature sharing, as a result, its speed is 213 times faster than r-cnn [26]."
3,"however, the roi extraction process still takes up most of the detection time, reducing its detection efficiency."
3,"therefore, faster region-convolutional neural network (faster r-cnn) [28] was proposed to simplify this process by a region proposal network (rpn), as a result, its speed is 10 times faster than fast r-cnn [28]."
3,"so far, faster r-cnn is still one of the mainstream object detection methods in the dl field [29]."
3,"from these emerged methods, we can summarize that the development tendency of two-stage detectors is to improve the detection speed."
3,"nevertheless, two-stage detectors inherently need to obtain region recommendation boxes in advance, leading to their heavy computation."
3,"therefore, there are some intrinsic technical bottlenecks in improving detection speed, so they scarcely meet the real-time requirement."
3,"hence, one-stage detectors emerged to simplify the detection process."
3,one-stage detectors achieve detection tasks directly based on position regression.
3,"redmon et al. [30] proposed the first one-stage detector, called you only look once (yolo), which processes the input image only once."
3,"in this way, the amount of calculation gets decreased further and the detection speed gets improved further, compared with two-stage detectors."
3,"however, its detection performance on neighboring targets and small ones is not ideal, because each grid is responsible for predicting only one target."
3,"therefore, they also proposed an improved version called yolov2 [31] based on anchor box mechanism and feature fusion."
3,"in yolov2, a more robust backbone network darknet-19 [31] was proposed to improve the detection accuracy."
3,"however, the accuracy of yolov2 is still far inferior to two-stage detectors."
3,"finally, yolov3 [32] was proposed to increase the detection accuracy further, by using darknet-53 [32] and multiscale mechanism."
3,"in addition, another two common one-stage detectors are single shot multi-box detector (ssd) proposed by liu et al. [33] and retinanet proposed by lin et al."
3,ssd combined the advantages of yolo and faster r-cnn to achieve a balance between accuracy and speed.
3,"retinanet proposed a focal loss to solve the extreme imbalance between positive and negative sample regions, which can improve accuracy."
3,"however, their detection speed is inferior to yolo."
3,"from these emerged methods, we can summarize that the development tendency of one-stage detectors is to improve the detection accuracy."
3,"from the comparison of two-stage detectors and one-stage detectors, both accuracy and speed are extremely significant for object detection."
3,"however, nowadays, in the sar ship detection field, many types of researches are focusing on improving the ship detection accuracy."
3,"unfortunately, there are few studies on improving the ship detection speed."
3,"however, it definitely cannot be ignored as high-speed sar ship detection is of great practical value, especially in the cases of maritime distress rescue and war emergency scenarios."
3,"therefore, in order to address this problem, in this paper, a novel high-speed sar ship detection approach was proposed by mainly using depthwise separable convolution neural network (ds-cnn)."
3,"a ds-cnn is composed of a depthwise convolution (d-conv2d) and a pointwise convolution (p-conv2d), which substitute for the conventional convolution neural network (c-cnn), by which the number of network parameters get greatly decreased."
3,"consequently, the detection speed gets dramatically improved."
