page,p
1,应用迁移学习的林火烈度初始评估研究 initial assessment of burn severity using the transfer learning model 郑忠;jinfei wang;邹滨;高阳华;杨世琦;王永前 引用本文: 郑忠，jinfei wang，邹滨，高阳华，杨世琦，王永前.2022.
1,应用迁移学习的林火烈度初始评估研究.
1,遥 感学报，26（10）： 2001-2013 doi: 10.11834/jrs.20210156.
1,zheng z，wang j f，zou b，gao y h，yang s q and wang y q.
1,initial assessment of burn severity using the transfer learning model.
1,national remote sensing bulletin， 26（10）：2001-2013 doi: 10.11834/jrs.20210156.
1,在线阅读 view online: http://www.ygxb.ac.cn/thesisdetails?
1,"columnid=10705666 ___________________________________________ 您可能感兴趣的其他文章 articles you may be interested in 基于支持向量机的老挝丰沙里省新开辟刀耕火种遥感监测及其空间特征 freshly-opened swidden mapping using support vector machine （svm） and spatial characteristics in phongsaly province， laos 遥感学报.2022,26(11):2329-2343."
1,"长时间序列1984年—2020年密云水库水面信息遥感监测与分析 spatial-temporal water area monitoring of the miyun reservoir using remote sensing imagery from 1984 to 2020 遥感学报.2023,27(2):335-350."
1,"中国红树林制图的遥感时空概率阈值方法 spatio-temporal probability threshold method of remote sensing for mangroves mapping in china 遥感学报.2022,26(6):1083-1095."
1,"物候窗口和多源中高分辨率影像的稻虾田提取 phenology windows and multi-source medium-/high-resolution image extraction for rice-crayfish paddy fields mapping 遥感学报.2022,26(7):1423-1436. {{relationarticle5.title}} {{relationarticle5.entitle}}"
2,1007-4619（2022）10-2001-13 national remote sensing bulletin 遥感学报 应用迁移学习的林火烈度初始评估研究 郑忠 1，2，3，jinfei wang2，邹滨 4，高阳华 3，杨世琦 3，王永前 1 1.
2,"成都信息工程大学 资源环境学院, 成都 610225; 2."
2,"department of geography, the university of western ontario, london on, n6a 5c2 canada; 3."
2,"重庆市气象科学研究所, 重庆 401147; 4."
2,"中南大学 地球科学与信息物理学院, 长沙 410083 摘 要：林火发生后，开展森林生态系统烈度信息的初始评估，能够为灾后生态修复管理措施的快速实施提供 定量依据。"
2,为了改善传统林火烈度评估模型的时效性，本研究利用历史过火区域的实地调查数据，构建基于迁 移学习的烈度评估模型，并将其应用于 2020 年 3 月 30 日发生的西昌泸山森林大火烈度初始评估研究中。
2,研究结 果表明：迁移学习算法能够将源区域和目标区域的遥感影像光谱转换为多个新的特征变量，在这些新特征变量 构成的投影空间中，源区域和目标区域样本具有相似的特征分布。
2,在此基础上，基于源区域历史实地调查数据 构建的烈度评估模型，能够迁移应用于目标区域的烈度评估。
2,在本研究林火烈度的初始评估中，基于迁移学习 的烈度评估模型精度较高，总体精度为 71.20%，kappa 系数为 0.64。
2,与该模型对比，未进行迁移学习的支持向量 回归模型精度较低，其总体精度为 58.00%，kappa 系数为 0.48。
2,同时，基于 dndvi、dlst 和 dnbr 指数的经验回 归模型精度最低，其总体精度分别为：20.80%、34.8% 和 24.80%，kappa 系数分别为：0.01、0.19 和 0.06。
2,本研 究可为林火灾后管理措施的快速响应，提供一种新的思路和参考。
2,关键词：林火烈度，迁移学习，初始评估，landsat，森林火灾，泸山 引用格式：郑忠，jinfei wang，邹滨，高阳华，杨世琦，王永前 .2022.
2,应用迁移学习的林火烈度初始评估研究 .
2,遥感学报，26（10）： 2001-2013 zheng z，wang j f，zou b，gao y h，yang s q and wang y q.
2,initial assessment of burn severity using the transfer learning model.
2,national remote sensing bulletin，26（10）：2001-2013［doi：10.11834/jrs.20210156］ 1 人工实地调查方法进行定量评估 （keeley，2009）。
2,引 言 这种方法虽然能够获得相对准确的评估结果，但 近年来，受到全球气候变化、人类活动干扰 是需要耗费大量的人力、物力和时间，特别在大 和自然资源开发等因素的影响，森林大火在全球 尺度范围内同步开展评估时，其效率相对较低 范围内频繁爆发，严重破坏森林生态系统的结构 （谭柳霞 等，2016）。
2,因此，基于遥感数据的评估 与功能 （zheng 等，2017；陈兴峰 等，2020；刘 方法，逐渐成为林火烈度评估研究的重要发展方 树 超 等 ， 2020； 唐 尧 等 ， 2021； 徐 奔 奔 等 ， 向 （loboda 等，2013；zheng 等，2016）。
2,2022）。
2,在林火发生后，开展森林生态系统损害程 基于遥感数据的林火烈度评估方法主要包含 度的定量评估，不仅有助于理解林火与森林生态 经验回归模型 （veraverbeke 等，2012） 和物理模 系统相互影响机制，而且能为森林生态系统修复 型 （de santis 和 chuvieco，2009）。
2,其中，用于经 措施的实施提供决策依据 （蒲东川 等，2020；覃 验回归模型构建的经典指标为归一化燃烧指数 先林 等，2020；饶月明 等，2020）。
2,nbr （normalized burn ratio），该指数的计算是基 林火导致森林生态系统的影响/破坏程度，通 于遥感影像中对于过火区域环境因子较为敏感的 常定义为林火烈度 （burn/fire severity），主要采用 近红外波段和短波红外波段 （chen 等，2011）。
2,在 收稿日期：2020⁃05⁃13；预印本：2020⁃09⁃01 基金项目：国家自然科学基金（编号：41801315；41771535）；国家留学基金（编号：201908510029）；重庆市气象局开放式研究基金（编号： kfjj-201705）；成都信息工程大学校引进人才（编号：kytz201742） 第一作者简介：郑忠，研究方向为林火遥感应用及大气污染 gis 环境建模。
2,e-mail：zhengzhong@cuit.edu.cn
3,"2002 national remote sensing bulletin 遥感学报 2022, 26（10） nbr 指数的基础上，顾及林火烈度定义中包含的 似区域的历史调查数据能应用于模型构建，在理 变化量属性特征，key 和 benson （2006） 利用林火 论上能够改善传统林火烈度评估的时效性。"
3,但是， 发生前后的遥感影像，进行差分计算得到差分归 实地调查和烈度评估通常针对不同林火区域，其 一化燃烧指数 dnbr （delta normalized burn ratio）， 遥感数据具有不同的光谱特征。
3,并将其用于林火烈度的定量评估；为了降低林火 目前，相关的研究表明 （pan 等，2011；matasci 发生前稀疏植被覆盖区域对于烈度评估结果的影 等，2015；yan 等，2018），迁移学习算法能够实 响，miller 和 thode （2007） 进一步构建相对差分 现不同区域之间相似特征变量的提取，该算法有 归一化燃烧指数 rdnbr （relative delta normalized 助于构建具有迁移能力的学习模型。
3,因此，借助 burn ratio），用于经验回归模型的构建；在此基础 历史过火区域的实地调查数据，在迁移学习算法 上，parks 等 （2014） 则通过优化 rdnbr 指数中权重 的基础上，构建林火烈度评估模型，并将其应用 的方式，提出了相对化燃烧指数 rbr （relativized 于 2020 年 3 月 30 日发生的四川西昌泸山森林大火 burn ratio）。
3,烈度的初始评估中，以期为该过火区域森林生态 作为新一类的模型构建指标，地表温度也被 修复措施的制定，提供初步的定量依据。
3,用 于 林 火 烈 度 的 定 量 评 估 中 。
3,如 ： lentile 等 （2006） 讨论了地表温度作为烈度评估指标的可能 2 研究区域与数据 性；quintano 等 （2015） 在西班牙西北部的一场林 2.1 研究区域 火中，研究了一年内不同时间段的地表温度指标， 在林火烈度评估方面的性能；zheng 等 （2016） 利 如图 1 所示，选取的目标区域为 2020 年 3 月 用增强型植被指数 evi （enhanced vegetation index） 30 日发生在四川省凉山州西昌市城区附近的泸山 和地表温度综合构建了一种新的指标，并将其应 森林大火。
3,自 3 月以来，泸山森林区域连续 20 日 用于美国西部五场林火的烈度评估研究中。
3,无降水，湿度为 5%—10%，林火发生当日气温高 在物理模型的研究方面，chuvieco 等 （2006） 达 31.2 ℃，风力为 7—8 级。
3,该区域属于中国的亚 综合了 prospect 和 kuusk 辐射传输模型，反演了不 热带高原季风气候，主要树种为云南松，其松节 同烈度等级下植被冠层的光谱响应特征，并以此 油含量高，易于林火的燃烧和蔓延。
3,至 4 月 2 日， 作为林火烈度研究评估的主要依据；de santis 和 该场大火共造成 19 人遇难，过火面积约 10 km2。
3,chuvieco （2007 和 2009） 则在西班牙中部区域一 选取位于美国中西部的 mule 和 bear 林火作为 场林火的烈度定量评估中，针对辐射传输模型和 源区域 （zheng 等，2016），主要基于以下因素： 经验回归模型的精度进行了具体的对比和分析； （1） 与泸山森林地貌属性相似，mule 和 bear 均位 并进一步地结合 prospect 和 geosail 辐射传输模型， 于北半球中纬度地区，且 3 场林火过火区域的地形 评估了地中海区域三场林火的烈度空间分布。
3,均 属 于 高 原 山 地 ；（2） 与 泸 山 森 林 类 型 相 似 ， 另外，穗帽变换模型 （patterson 和 yool，1998）、 mule 和 bear 过火区域的主要树种也属于易燃的常 多端元光谱混合分析模型 （quintano 等，2013） 和 绿针叶林；（3） mule 和 bear 过火区域属于高原山 支持向量回归模型 （zheng 等，2018） 等也被用于 地气候，而泸山森林区域的地理位置靠近于青藏 林火烈度定量评估的相关研究中。
3,高原山地气候区域，相邻的气候区域有利于迁移 实地调查数据 （如 cbi 指数） 是上述模型构建 学习的应用。
3,林火区域及气候特征具体如表 1 与结果评价的基础，但实地调查工作需要耗费大 所示。
3,量的人力、物力和时间。
3,尤其在林火发生以后的 2.2 实地调查数据 初始评估中，过火区域植被可能存在“假死”和 “真死”状态；另外由于难以快速开展实地调查， 在林火发生以后开展实地调查，是基于遥感 基于遥感数据的林火烈度评估时效性降低，限制 数据林火烈度评估模型构建的基础。
3,实地调查数 了遥感技术在林火烈度评估中的高效应用 （zheng 据来源于美国 national park service 和 us geological 等，2020）。
3,survey 资助的 jfsp （joint fire science program） 项 针对目标区域的林火烈度初始评估，如果相 目。
3,mule 和 bear 林火区域的实地调查数据，获取
4,郑忠 等：应用迁移学习的林火烈度初始评估研究 2003 于林火发生后的第一个生长期，具体为 2003 年 5 月 burn index） 方法进行评估，cbi 为 0—3 之间的连 和 9 月，共 110 个样地 （表 2）。
4,在实地调查过程中 续值 （key 和 benson，2006；王晓莉 等，2013）。
4,（图 2）， 具 体 采 用 综 合 燃 烧 指 数 cbi （composite （a）目标区域位置示意图 （b）源区域位置示意图 （a）location of target area （b）location of source area （c）泸山林火发生前 landsat 7 遥感影像 （d）泸山林火发生后 landsat 7 遥感影像 （c）landsat 7 data before lushan fire （d）landsat 7 data after lushan fire （r：band 7，g：band 4，b：band 1） （r：band 7，g：band 4，b：band 1） （e）mule 林火 （f）bear 林火 （e）mule fire （f）bear fire （r：band 7，g：band 4，b：band 1） （r：band 7，g：band 4，b：band 1） 图 1 研究区域及地理位置 fig.
4,1 study area and locations 表1 林火区域及气候特征 table 1 forest fires and regional climate 区域 林火名称 气候类型 年均降水/mm 高程/m 源区域 mule 温带高原山地气候 750—1150 1981—3353 源区域 bear 温带高原山地气候 <300 1700—2740 目标区域 泸山 亚热带高原季风气候 226—1000 1510—2317
5,"2004 national remote sensing bulletin 遥感学报 2022, 26（10） 表2 卫星遥感数据和实地调查数据 table 2 remotely sensed data and field survey data 遥感数据 cbi 调查数据 林火名称 发生时间 传感器 林火发生前影像 林火发生后影像 实地调查时间 数量 mule 2002-07-11 tm/modis 2001-09-21 2003-09-27 2003-09-08 至 2003-09-11 55 bear 2002-06-27 tm/modis 2002-06-13 2003-05-13 2003-05-28 至 2003-05-30 55 泸山 2020-03-30 etm+/modis 2020-03-21 2020-05-08 — — 处理工作：辐射定标、大气校正和裁剪等均在 envi 5.1 软件中完成。"
