title,key,classification_prediction
"Estimation Of Groundwater Volumes Pumped For Irrigation (Haouz Plain, Marrakesh, Morocco). Comparison Of A Statistical And Remote Sensing Methods",aahd_estimationgroundwatervolumespumped_2009,1
"Digital Health For Optimal Supportive Care In Oncology: Benefits, Limits, And Future Perspectives",aapro_digitalhealthoptimalsupportive_2020,0
Can Urbanisation Improve Household Welfare? Evidence From Ethiopia,abay_urbanisationimprovehouseholdwelfare_2023,0
"Global Burden Of 369 Diseases And Injuries In 204 Countries And Territories, 1990–2019: A Systematic Analysis For The Global Burden Of Disease Study 2019",abbafati_globalburden369diseases_2020,0
The Attitudes Toward Extramarital Relations And Some Of Its Related Factors Among Families Of Tabriz,abbaszadeh_attitudesextramaritalrelationsrelated_2019,0
Prediction Changes For Nonstationary Multi-Temporal Satellite Images Using Hmm,abbes_predictionnonstationarymultitemporal_2016,0
"Insar-Based Detection And Mapping Of Seismically Induced Ground Surface Displacement And Damage In Pampanga, Philippines",abcede_insarbaseddetectionmapping_2022,0
Anomaly Detection Of Satellite Telemetry Based On Optimized Extreme Learning Machine,abdelghafar_anomalydetectionsatellitetelemetry_2019,0
"Modeling Urban Dynamics And Carbon Sequestration In Addis Ababa, Ethiopia, Using Satellite Images",abdo_modelingurbandynamicscarbon_2021,0
Explainable Artificial Intelligence (Xai) For Interpreting The Contributing Factors Feed Into The Wildfire Susceptibility Prediction Model,abdollahi_explainableartificialintelligencexai_2023,0
Remote Sensing Capabilities For Observational Drought Assessment,abdollahi_remotesensingcapabilitiesobservational_2023,1
Prediction Of Dominant Forest Tree Species Using Quickbird And Environmental Data,abdollahnejad_predictiondominantforesttree_2017,1
International Partnership In Lunar Missions,abdulkalam_internationalpartnershiplunarmissions_2005,0
Quantifying Landscape Structure Of The Kelantan River Basin Before And After A Major Flood Event Using Landscape Metrics,abdul_quantifyinglandscapestructurekelantan_2021,0
The Satellite Images Matching And Mosaic Techniques,abdulhammed_satelliteimagesmatchingmosaic_2023,1
Satellite Image Recognition Using Ensemble Neural Networks And Difference Gradient Positive-Negative Momentum,abdulkadirov_satelliteimagerecognitionensemble_2024,0
Long-Term Runoff Dynamics Assessment Measured Through Land Use/Cover (Lulc) Changes In A Tropical Complex Catchment,abdulkareem_termrunoffdynamicsassessment_2019,0
"Precision Agriculture Practices From Planting To Postharvest: Scopes, Opportunities, And Challenges Of Innovation In Developing Countries",abdullah_precisionagriculturepracticesplanting_2023,0
Characteristics And Impact Factors Of Evapotranspiration In Ugan And Kuqa Rivers Delta Oasis Based On Sebal Model,abdusalam_characteristicsimpactfactorsevapotranspiration_2018,0
Mineral Potential Mapping In Central Iran Using Fuzzy Ordered Weighted Averaging Method,abedi_mineralpotentialmappingcentral_2015,0
Estimating The Water Budget Components And Their Variability In A Pre-Alpine Basin With Jgrass-Newage,abera_estimatingwaterbudgetcomponents_2017,0
Uncertainties Associated With The Use Of Optical Remote Sensing Technique To Estimate Surface Emissions In Landfill Applications,abichou_uncertaintiesopticalremotesensing_2010,0
"Mangrove Potential Assessment For Determining Ecotourism Attraction And Strengthening Destination Branding And Marketing: ""Gunung Pithing Mangrove Conservation"", Indonesia",abidin_mangrovepotentialassessmentdetermining_2023,0
Earth Observations For Egyptian Coastal Lakes Monitoring And Management,abouelmagd_earthobservationsegyptiancoastal_2019,0
"Tracking The Effects Of Climate Change On The Distribution Of Plecia Nearctica (Diptera, Bibionidae) In The Usa Using Maxent And Gis",aboushaara_trackingeffectsclimatechange_2022,0
New Estimates Of Maternal Mortality And How To Interpret Them: Choice Or Confusion?,abouzahr_estimatesmaternalmortalityinterpret_2011,0
Trials Of Implantable Monitoring Devices In Heart Failure: Which Design Is Optimal?,abraham_trialsimplantablemonitoringdevices_2014,1
Characterizing A Brazilian Sanitary Landfill Using Geophysical Seismic Techniques,abreu_characterizingbraziliansanitarylandfill_2016,0
Treatment Of Ocean Tide Background Model Errors In The Context Of Grace/Grace-Fo Data Processing,abrykosov_treatmentoceantidebackground_2022,0
Change Detection Using Adaptive Fuzzy Neural Networks: Environmental Damage Assessment After The Gulf War,abuelgasim_changedetectionadaptivefuzzy_1999,1
Pan-Tropical Monitoring Of Deforestation,achard_pantropicalmonitoringdeforestation_2007,0
Quantification And Mapping Of Satellite Driven Surface Energy Balance Fluxes In Semi-Arid To Arid Inter-Mountain Region,acharya_quantificationmappingsatellitedriven_2020,0
"Impact Of Land Use And Land Cover Changes On Carbon Stock In Aceh Besar District, Aceh, Indonesia",achmad_impactlandlandcover_2023,0
The Economic And Environmental Benefits Of Weather Forecasts For Salting Operations In Devon,ackerman_economicenvironmentalbenefitsweather_1994,0
Extent Of Intraprotocol And Intersite Variability Of Thoracic Magnetic Resonance Acquisition Times At A Large Quaternary Institution: Mr Technologist Insights As To Its Causes,ackman_extentintraprotocolintersitevariability_2019,0
Expert Knowledge For Translating Land Cover/Use Maps To General Habitat Categories (Ghc),adamo_expertknowledgetranslatingland_2014,0
The Emerging Role Of Remote Sensing Technology In Emergency Management,adams_emergingroleremotesensing_2006,1
Energy Optimization In Extrasolar Planetary Systems: The Transition From Peas-In-A-Pod To Runaway Growth,adams_energyoptimizationextrasolarplanetary_2021,0
A Proposed Planning Concept For Public Open Space Provision In Saudi Arabia: A Study Of Three Saudi Cities,addas_proposedplanningconceptpublic_2020,0
Use Of A Raspberry-Pi Video Camera For Coastal Flooding Vulnerability Assessment: The Case Of Riccione (Italy),addona_raspberrypivideocamera_2022,1
Mapping And Modeling Ecosystem Services In Petroleum-Producing Areas In Nigeria,adedeji_mappingmodelingecosystemservices_2018,0
Precision Agriculture: Applicability And Opportunities For Nigerian Agriculture,adekunle_precisionagricultureapplicabilityopportunities_2013,0
"Environmental Impact Assessment Of Attenda Abattoir, Ogbomoso Southwestern Nigeria On Surface And Groundwater Quality Using Geo-Electrical Imaging And Microbiological Analysis",adelowo_environmentalimpactassessmentattenda_2012,0
Estimating The Phenological Dynamics Of Irrigated Rice Leaf Area Index Using The Combination Of Prosail And Gaussian Process Regression,adeluyi_estimatingphenologicaldynamicsirrigated_2021,0
Reducing Microservices Interference And Deployment Time In Resource-Constrained Cloud Systems,adeppady_reducingmicroservicesinterferencedeployment_2023,0
Investigating Groundwater Potential In Northeastern Basement Complexes: A Pulka Case Study Using Geospatial And Geo-Electrical Techniques,adewumi_investigatinggroundwaterpotentialnortheastern_2023,0
An Economic Analysis Of Earth Orbit Pollution,adilov_economicanalysisearthorbit_2015,1
Sentinel Sar-Optical Fusion For Crop Type Mapping Using Deep Learning And Google Earth Engine,adrian_sentinelsaropticalfusion_2021,1
"Trends And Projections Analysis Of Precipitation And Temperature Data Using Ccsm4 And Gsmap_nrt: Case Study In Sohar, Sultanate Of Oman",afandy_trendsprojectionsanalysisprecipitation_2023,1
"Detection And Impact Of Land Encroachment In El-Beheira Governorate, Egypt",afifi_detectionimpactlandencroachment_2018,0
Cost Effectiveness Analysis Of The East Of England Stroke Telemedicine Service,afolabi_costeffectivenessanalysiseast_2023,0
"Flood Susceptibility Analysis Of The Panjkora Valley Northern Pakistan, Using Frequencyratio Approach",afreen_floodsusceptibilityanalysispanjkora_2022,0
Nocturnal Haemodialysis: An Australian Cost Comparison With Conventional Satellite Haemodialysis,agar_nocturnalhaemodialysisaustraliancost_2005,0
Predicting Poverty Index Using Deep Learning On Remote Sensing And Household Data,agarwal_predictingpovertyindexdeep_2019,1
Multi-Scale Strategies For The Monitoring Of Freshwater Cyanobacteria: Reducing The Sources Of Uncertainty,agha_multiscalestrategiesmonitoring_2012,0
Vector-Raster Server-Side Analysis: A Postgis Benchmark,agosto_vectorrasterserveranalysis_2013,1
Earth Observation And Biodiversity Big Data For Forest Habitat Types Classification And Mapping,agrillo_earthobservationbiodiversitydata_2021,0
Comparison Of Methods For Estimating Carbondioxide Storage By Sacramento’s Urban Forest,aguaron_comparisonmethodsestimatingcarbondioxide_2012,0
Pantropical Modelling Of Canopy Functional Traits Using Sentinel-2 Remote Sensing Data,aguirregutierrez_pantropicalmodellingcanopyfunctional_2021,0
Scenario-Based Pollution Discharge Simulations And Mapping Using Integrated Qual2k-Gis,ahmadkamal_scenariobasedpollutiondischarge_2020,0
"Potential Tree Species Distribution Modelling Using Maxent Model For Resource Partitioning In Azad Jammu And Kashmir (Ajk), Pakistan",ahmad_potentialtreespeciesdistribution_2023,0
"Gis Modeling Of Environmental Parameters For Identification Of Landscape For Expansion Of Biodiversity Conservation, And Greenery Projects (A Case Study For Neom Region, Saudi Arabia)",ahmad_gismodelingenvironmentalparameters_2023,0
"Land Evaluation In Terms Of Agroforestry Suitability, An Approach To Improve Livelihood And Reduce Poverty: A Fao Based Methodology By Geospatial Solution: A Case Study Of Palamu District, Jharkhand, India",ahmad_landevaluationtermsagroforestry_2017,0
Soybean (Glycine Max) Cropland Suitability Analysis In Subtropical Desert Climate Through Gis-Based Multicriteria Analysis And Sentinel-2 Multispectral Imaging,ahmad_soybeanglycinemaxcropland_2023,0
An Intelligent And Blind Dual Color Image Watermarking For Authentication And Copyright Protection,ahmadi_intelligentblinddualcolor_2021,1
An Advanced Deep Learning Predictive Model For Air Quality Index Forecasting With Remote Satellite-Derived Hydro-Climatological Variables,ahmed_advanceddeeplearningpredictive_2024,0
Developing Vehicular Traffic Noise Prediction Model Through Ensemble Machine Learning Algorithms With Gis,ahmed_developingvehiculartrafficnoise_2021,0
