page,p
1,"journal of water resource and protection, 2016, 8, 767-776 published online july 2016 in scires. http://www.scirp.org/journal/jwarp http://dx.doi.org/10.4236/jwarp.2016.88062 an analysis of the value of additional information provided by water quality measurement network françois destandau, amadou pascal diop geste, umr ma 8101 engees-irstea, strasbourg, france received 26 january 2016; accepted 25 june 2016; published 28 june 2016 copyright © 2016 by authors and scientific research publishing inc."
1,this work is licensed under the creative commons attribution international license (cc by). http://creativecommons.org/licenses/by/4.0/ abstract european community policy concerning water is placing increasing demands on the acquisition of information about the quality of aquatic environments.
1,"the cost of this information has led to a reflection on the rationalization of monitoring networks and, therefore, on the economic value of information produced by these networks."
1,the aim of this article is to contribute to this reflection.
1,"to do so, we used the bayesian framework to define the value of additional information in relation to the following three parameters: initial assumptions (prior probabilities) on the states of nature, costs linked to a poor decision (error costs) and accuracy of additional information."
1,"we then ana- lyzed the impact of these parameters on this value, particularly the combined role of prior proba- bilities and error costs that increased or decreased the value of information depending on the ini- tial uncertainty level."
1,we then illustrated the results using a case study of a stream in the bas-rhin department in france.
1,"keywords bayesian decision theory, eutrophication, value of information, water quality monitoring network, water resource management 1."
1,"introduction water quality monitoring can be defined as the acquisition of quantitative and representative information about the physical, chemical and biological characteristics of a water body over time and space [1]."
1,water quality monitoring networks appeared in the 1960s and 70s to assess the overall state of resources.
1,"for many years, the number, location and frequency of monitoring were the results of practical and subjective considerations, with- how to cite this paper: destandau, f. and diop, a.p."
1,(2016) an analysis of the value of additional information provided by water quality measurement network.
1,"journal of water resource and protection, 8, 767-776. http://dx.doi.org/10.4236/jwarp.2016.88062"
2,"destandau, a."
2,"diop out any ex-post evaluation of the soundness of the initial choice [2], leading to the production of data that pro- vided little information [3]."
2,"it has only been in recent decades that a reflection on the design of monitoring net- works has emerged in order to better reflect specific problems such as eutrophication, salinization, acidification and microbial or heavy metal contamination [2]."
2,"this has led to studies that deal, for example, with the optimal location of sampling points [4]-[8]."
2,"other studies have focused on the quantity of information provided by these networks, where information is defined as a reduction of the uncertainty concerning the intensity and transfer of pollutants."
2,"harmanciogluand apaslan [9], for a surface water network, and mogheirand singh [10], for a groundwater network, maximized the quantity of information measured by shannon’s entropy [11], under cost constraint."
2,"even though it has been accepted that information has a value since the 1950s, the interest in the economic value of this information is much more recent [12]."
2,yokota and thomson [13] describe the analysis of the value of information as the assessment of the benefit of collecting additional information to reduce or eliminate uncertainty in a specific decision-making context.
2,the analyst must therefore identify the set of possible actions and their consequences according to all of the possible states of nature and assess them on the basis of a common measurement.
2,"moreover, he must characterize uncer- tainties about the states of nature using probability distributions, as well as information-gathering strategies, their precision and their impact on uncertainties."
2,the bayesian approach makes it possible to calculate the mod- ification of a probability distribution in view of additional information.
2,"this method has been used for different types of additional information and different objectives: information providing the location of a school of fish or the best model to assess their population dynamics [14], information limiting the uncertainty of depollution costs and the impact of non-point sources on eutrophication in china [15] and, more explicitly, the value of information provided by satellite-based observation systems to combat eutro- phication in the north sea [16] or the destruction of the great barrier reef [17]."
2,"concerning the value of information generated by water quality monitoring networks, bouzit, graveline and maton [18] present three case studies to assess the value of new pollution measurement techniques, the first aimed at identifying the origin of the pollution through nitrates in groundwater, the second by defining the con- tribution of two sources to the presence of pesticides in a water table, and the third by detecting accidental toxic pollution in the rhine."
2,"as for khader, rosenberg and mckee [19], they study the value of a monitoring network that makes it possible to assess the risk of contamination due to an excess of nitrates in water."
2,"in this article, we also address the bayesian method to assess the economic value of additional information, as presented by yokota and thomson [13]."
2,"the major contribution of this work is the theoretical modeling of the problem, enabling us to better understand the role of each parameter on the value of information, namely: initial assumptions (prior probabilities) on the states of nature, costs linked to a poor decision (error costs) and accu- racy of additional information."
2,this study was in fact only partially based on prior work that mainly emphasized empirical applications.
2,"in our article, we first define the value of additional information in relation to the para- meters mentioned above in order to deduce their impact on this value."
2,we then illustrate our results using an empirical application aimed at assessing the value of additional information generated by a monitoring station.
2,the primary aim of this monitoring station is to assess the eutrophication risk.
2,this enhanced information will therefore make it possible to choose the best technique for an upstream community wastewater treatment plant.
2,"the theoretical model is presented in section 2, and section 3 is devoted to the empirical illustration of the re- sults."
2,section 4 concludes.
2,theoretical model 2.1.
2,additional information as a decision-making tool let us assume an additional piece of information about the water quality 𝐼𝐼 provided by a monitoring network.
2,"this information can be obtained by adding measurement stations, by positioning them more carefully, by in- creasing the frequency of these measurements and the number of parameters observed, etc."
2,the objective is to define the economic value 𝑉𝑉𝑉𝑉 of this additional information.
2,the aim of improving our knowledge about water quality is to be able to act more effectively upon it.
2,"we can imagine two states of nature, one more unfavorable for the environment, s , and one more favorable, s."
2,"two actions are possible for the decision maker: x and x , each one corresponding to one of the states of 768"
3,"destandau, a."
3,"diop nature, respectively."
3,"given c ( x, s ) , where x is the cost of action in the state of nature s, we have the following equation: c ( x , s ) < c ( x , s ) and c ( x , s ) < c ( x , s ) (1) we designate ε and ε as the costs linked to a poor decision (or error costs) by wrongly choosing x and x , respectively."
3,"this is expressed as: =ε c ( x, s ) − c ( x , s ) =ε c ( x , s ) − c ( x, s ) (2) the two error costs are positive."
3,"therefore, neither of the two actions is preferable, regardless of the state of nature."
3,this justifies our search for additional information about the states of nature to reduce the risk of error.
3,"the additional information can provide two types of messages, i s or i s , indicating that the state of nature “appears” to be s or s ."
3,"the decision maker will rely on this information to implement his action: x if i s , and x if i s ."
3,"never- theless, additional information does not necessarily mean perfect information, and the action may therefore not be the best suited to the situation."
3,"we designate α as this inaccuracy in the additional information, such that: p ( is s ) = p ( i s s ) = ∝ (3) the probability that this additional information will result in a wrong message is the likelihood function in bayesian statistics."
3,decision rule without additional information additional information only has a value if it allows us to modify the a priori decision (the decision made with- out additional information).
3,"this decision was based on prior probabilities on the states of nature, where p is the prior probability that the state of nature is the most unfavorable: p ( s ) = p and p ( s ) = 1 − p (4) more precisely, without additional information, a risk-neutral decision maker chooses the action that mini- mizes the cost expectancy."
3,"therefore, x ( x ) will be chosen if: pc ( x , s ) + (1 − p ) c ( x , s ) < ( > ) pc ( x , s ) + (1 − p ) c ( x , s ) ε ⇔ p > (<) ε +ε ε in the case where p = , the decision maker will be a priori indifferent between the two actions."
3,"a ε +ε higher error cost due to the choice of x can lead to the choice of x , except if the prior probability of being in the state of nature s is itself greater."
3,we already know that this maximal a priori uncertainty context provides a higher value of information [14].
3,some authors have attempted to estimate the prior probabilities in a subjective way [18] by questioning the decision makers [16] [17] or by using monte carlo simulations [19].
3,"as for us, we question the value of infor- mation for all possible prior values."
3,calculation of the economic value of additional information the value of information will depend on the economic utility of modifying the decision in view of additional information.
3,"by designating u x s as the economic utility for choosing a posteriori (in relation to additional in- formation) the action𝑥𝑥in a state of nature s, the value of the additional information as defined by bouma et al. [16] can be expressed as follows (using our notations): =vi p ( i s )  p ( s i s ) ⋅ u x s + p ( s i s ) ⋅ u x s  + p ( i s )  p ( s i s ) ⋅ u x s + p ( s i s ) ⋅ u x s  (5) 769"
4,"destandau, a."
4,diop the value of information is written as the sum of utility expectations weighted by the occurrence probability of potential messages that can provide additional information.
4,"according to bayes’ theorem and our notations (equation (3) and equation (4)), we have: p (1 − ∝ ) (= 1− p) ∝ (1 − p=)(1 − ∝ ) , p s i =p ( s is ) = , p ( s is ) , p ( s is ) p (is ) ( s ) pp i∝ p ( is ) p ( is ) ( s) the values of u x s will depend on a priori decisions."
