page,p
1,australian earth observation community plan 2026 delivering essential information and services for australia’s future.
1,australian earth observation community coordinating group
2,"part one acknowledgements the majority of material in this plan is derived from contributions across the australian earth observation community, including people from government, industry, research and education."
2,the process to develop the plan was coordinated by the australian earth observation community coordinating group (aeoccg) (see appendix 2).
2,"the process to develop this plan was guided by a steering committee of people from across the eo sector, and the committee was also actively involved in writing the plan: prof stuart phinn (aeoccg chair and steering committee chair, university of queensland (uq)), dr arnold dekker (csiro), dr alex held (csiro), agnes lane (bureau of meteorology (bom)), dr benoit legresy (csiro), dr adam lewis (geoscience australia (ga)), a/prof arko lucieer (university of tasmania), dr cindy ong (csiro), dr dipak paudyal (esri australia), chris penning (crc for spatial information (crcsi)), jonathan ross (ga), dr chris rudiger (university of melbourne), craig smith (surveying and spatial sciences institute of australia), ben starkey (ozius australia), jamie treleaven (bom), and stephen ward (symbios)."
2,dr tim malthus (csiro) and dr bek christensen (uq) are also acknowledged for their assistance in writing the plan.
2,"valuable feedback on the draft plan was provided by the following reviewers: prof david antoine (curtin university), tim danaher (office of environment and heritage, nsw), dr gail kelly (aam surveys), prof megan lewis (university of adelaide), dr stefan maier (maitec), sylvia michael (geoimage), dan tindall (department of science, information technology and innovation (dsiti), qld), christian witte (dsiti), and dr peter woodgate (crcsi)."
2,"cover image: himawari-8 image of earth, courtesy of jma and noaa; a composite of australia from nasa's terra-modis sensor, sourced from nasa; world view-2 image of brisbane, copyright digitalglobe inc."
2,australian earth observation community coordinating group 2016 2016 ‘australian earth observation community plan 2026: delivering essential information and services for australia’s future’ is made available under a creative commons attribution 4.0 international license.
2,"to view a copy of this license, visit http://creativecommons.org/licenses/by/4.0/ 3 australian earth observation community plan 2016"
3,"contents 03 executive summary 04 purpose of the plan 05 introduction • earth observation in australia • value of earth observation in australia • barriers for growth and innovation • why this plan, now?"
3,"10 vision for australian earth observation 2026 12 priorities for future success 19 next steps 20 appendices worldview-2 satellite image of wistari reef, great barrier reef."
3,digital globe inc.
4,"a high resolution worldview-2 satellite image of brisbane (digital globe inc.), and a surface cover-type map derived from this and airborne lidar data (queensland government)."
4,data processed by d wu and j knight.
