"id","type_of_work","title","abstract","publication_year","authors","keywords","type_of_reference","journal_name","doi","other_fields","tags","date_screened_t&a","t&a_screened_by","t&a_status","t&a_exclusion_reasons"
6447796,NA,"Measuring the economic benefits of an environmental monitoring satellite project: The value of information approach","This paper reports a first application of contingent valuation method to measure the value of information generated by earth science data from an environmental geostationary satellite payload called Geostationary Environmental Monitoring Satellite. The purpose of the space project is to improve the accuracy of air pollution information by enhancing air pollution monitoring and forecasting system coupled with conventional ground level monitoring stations located throughout South Korea. Estimation results based on a survey data of 1000 households show that most explanatory variables including bid amounts and household income significantly influenced dichotomous choice contingent valuation responses with expected signs. When applied to the whole sample, mean willingness to pay reflecting both use and non-use values was stable at around $3.70 per year for the improvement of air quality information. Present values of total benefits over the lifetime period of the space satellite exceed the cost born by tax payers with a benefit-cost ratio of 2.77. The result of this study clearly suggests that contingent valuation method can be used as an alternative approach in measuring the value of information from a space-derived earth science project.",2013,"{""Eom, Young Sook"",""Hong, Jong Ho""}","{""Air pollution"",""Contingent valuation method"",""Economic benefits"",""Geostationary environmental monitoring satellite"",""Value of information""}","journal","Space Policy","10.1016/j.spacepol.2013.06.003","{""url"": ""https://www.sciencedirect.com/science/article/pii/S0265964613000532"", ""date"": ""2013-08-01"", ""pages"": ""203"", ""end_page"": ""209"", ""access_date"": ""2023-04-17 23:09:26"", ""link_to_pdf"": ""https://www.sciencedirect.com/science/article/pii/S0265964613000532/pdfft?md5=ab7262b4775bcf4eb411af9bec03eb70&pid=1-s2.0-S0265964613000532-main.pdf&isDTMRedir=Y"", ""short_title"": ""Measuring the economic benefits of an environmental monitoring satellite project"", ""link_to_fulltext"": ""https://www.sciencedirect.com/science/article/pii/S0265964613000532"", ""database_provider"": ""ScienceDirect"", ""journal_name_user_abbr_2"": ""Space Policy""}","{benchmark}",NA,NA,NA,NA
6447795,NA,"Value of information for climate observing systems","The Interagency Working Group Memo on the social cost of carbon is used to compute the value of information (VOI) of climate observing systems. A generic decision context is posited in which society switches from a business as usual (BAU) emissions path to a reduced emissions path upon achieving sufficient confidence that a trigger variable exceeds a stipulated critical value. Using assessments of natural variability and uncertainty of measuring instruments, it is possible to compute the time at which the required confidence would be reached under the current and under a new observing system, if indeed the critical value is reached. Economic damages (worldwide) from carbon emissions are computed with an integrated assessment model. The more accurate observing system acquires the required confidence earlier and switches sooner to the reduced emissions path, thereby avoiding more damages which would otherwise be incurred by BAU emissions. The difference in expected net present value of averted damages under the two observing systems is the VOI of the new observing system relative to the existing system. As illustration, the VOI for the proposed space-borne CLARREO system relative to current space-borne systems is computed. Depending on details of the decision context, the VOI ranges from 2 to 30 trillion US dollars.",2014,"{""Cooke, Roger"",""Mlynczak, Martin G."",""Wielicki, Bruce A."",""Young, David F.""}","{CLARREO,""Climate observing system"",DICE,""Social cost of carbon"",""Value of information""}","journal","Environment Systems and Decisions","10.1007/s10669-013-9451-8","{""url"": ""https://doi.org/10.1007/s10669-013-9451-8"", ""date"": ""2014-03-01"", ""pages"": ""98"", ""end_page"": ""109"", ""access_date"": ""2023-04-17 23:11:54"", ""link_to_pdf"": ""https://link.springer.com/content/pdf/10.1007%2Fs10669-013-9451-8.pdf"", ""database_provider"": ""Springer Link"", ""journal_name_user_abbr_2"": ""Environ Syst Decis""}","{benchmark}",NA,NA,NA,NA
6673038,NA,"Estimating The Value Of Near-Real-Time Satellite Information For Monitoring Deforestation In The Brazilian Amazon","We estimate the amount of avoided deforestation due to the use of near-real-time satellite imagery (DETER) to support the Action Plan for the Prevention and Control of Deforestation in the Legal Amazon (PPCDAm), the conservation of indigenous and other protected areas, and compliance with the Brazilian Forest Code (FC). We develop a Directed Acyclical Graph (DAG) that outlines some of the econometric challenges that arise from the role of policy in the estimation of satellite data on deforestation and consider that policy could be a mediator and/or a moderator along this causal chain. We control for policies that were introduced simultaneously with DETER, and allow for changes in the influences of prices, agricultural settlement, and forest conservation policies on deforestation after near-real-time monitoring was introduced. We find both direct impacts of DETER on deforestation, and indirect impacts via changes in the influences of commodity prices on deforestation. In total we estimate the amount of avoided deforestation is approximately 467-471 thousand km2 between 2001-2015, an area that is larger than the state of California, more than twice the amount of deforestation recorded in that region in the same time period, and translates to approximately 12 billion tons of avoided CO2. The net benefits of satellite monitoring range from US\$1-5.4 billion per year when estimated using the WTP to preserve Amazon rainforest and between US\$54 US\$197 billion per year when estimating using the social cost of carbon.",2022,"{""Biggs, Trent"",""Mullan, Katrina"",""Ribeiro, Jime Rodrigues"",""Santiago, Tha{\\'i}s Ottoni"",""Sills, Erin"",""West, Thales A P"",""{Caviglia-Harris}, Jill""}",NA,"TECHREPORT",NA,NA,"{}","{benchmark}",NA,NA,NA,NA
6673031,NA,"Measuring The Economic Benefits Of An Environmental Monitoring Satellite Project: The Value Of Information Approach","This paper reports a first application of contingent valuation method to measure the value of information generated by earth science data from an environmental geostationary satellite payload called Geostationary Environmental Monitoring Satellite. The purpose of the space project is to improve the accuracy of air pollution information by enhancing air pollution monitoring and forecasting system coupled with conventional ground level monitoring stations located throughout South Korea. Estimation results based on a survey data of 1000 households show that most explanatory variables including bid amounts and household income significantly influenced dichotomous choice contingent valuation responses with expected signs. When applied to the whole sample, mean willingness to pay reflecting both use and non-use values was stable at around \$3.70 per year for the improvement of air quality information. Present values of total benefits over the lifetime period of the space satellite exceed the cost born by tax payers with a benefit-cost ratio of 2.77. The result of this study clearly suggests that contingent valuation method can be used as an alternative approach in measuring the value of information from a space-derived earth science project.",2013,"{""Eom, Young Sook"",""Hong, Jong Ho""}","{""Air pollution,Contingent valuation method,Economic benefits,Geostationary environmental monitoring s""}","ARTICLE",NA,"10.1016/j.spacepol.2013.06.003","{}","{benchmark}",NA,NA,NA,NA
6673025,NA,"Earth Observations Can Enable Cost-Effective Conservation Of Eastern North Pacific Blue Whales: A Value Of Information Analysis","We conduct an analysis to estimate the value of information (VOI) of Earth observations for prospective regulation of marine shipping to conserve Eastern North Pacific blue whales in the Exclusive Economic Zone of the United States. Outcomes are driven by differences across two data products that can be used to inform regulations to limit ship strikes. In the reference case, vessel speed limits depend on species distribution data from shipboard surveys. In the counterfactual case, speed limits depend on species distributions predicted by WhaleWatch, a federal data product incorporating information from several remote sensing technologies. The VOI is identified as the difference in costs to marine shipping operators under the reference and counterfactual cases for regulation of vessel speeds. We estimate that the annual VOI of WhaleWatch is US\$21\textendash 332 million, depending on the conservation goals of the modeled regulation. Conserving more blue whales\textemdash averting more ship strikes\textemdash increases the VOI.",2021,"{""Bernknopf, Richard"",""Kuwayama, Yusuke"",""Steinkruger, Andrew""}",NA,"TECHREPORT",NA,NA,"{}","{benchmark}",NA,NA,NA,NA
6447802,NA,"A Conceptual Framework for Assessing the Benefits of a Global Earth Observation System of Systems","The aim of the Global Earth Observation System-ofSystems (GEOSS) is to improve the information available to decision makers, at all levels, relating to human health and safety, protection of the global environment, the reduction of losses from natural disasters, and achieving sustainable development. Speciﬁcally, GEOSS proposes that better international cooperation in the collection, interpretation, and sharing of Earth observation information is an important and cost-effective mechanism for achieving this aim. While there is a widespread intuition that this proposition is correct, at some point the following question needs to be answered: how much additional investment in Earth observation (and speciﬁcally, in its international integration) is enough? This leads directly to some challenging subsidiary questions, such as how can the beneﬁts of Earth observation be assessed? What are the incremental costs of GEOSS? Are there societal beneﬁt areas where the return on investment is higher than in others? The GeoBene Project has developed a “beneﬁt chain” concept as a framework for addressing these questions. The basic idea is that an incremental improvement in the observing system (including its data collection, interpretation and information-sharing aspects) will result in an improvement in the quality of decisions based on that information. In turn, this will lead to better societal outcomes, which have a value. This incremental value must be judged against the incremental cost of the improved observation system. Since in many cases there will be large uncertainties in the estimation of both the costs and the beneﬁts, and it may not be possible to express them in comparable monetary terms, we show how order-of-magnitude approaches and a qualitative understanding of the shape of the cost and beneﬁt curves can help guide rational investment decisions in Earth Observation Systems.",2008,"{""Bouma, J."",""Fritz, S."",""Obersteiner, M."",""Reyers, B."",""Scholes, R.J.""}",NA,"journal","IEEE Systems Journal","10.1109/JSYST.2008.926688","{""url"": ""http://ieeexplore.ieee.org/document/4595696/"", ""date"": ""2008/09//"", ""pages"": ""338"", ""end_page"": ""348"", ""access_date"": ""2023-09-29 20:16:07"", ""link_to_pdf"": ""https://ieeexplore.ieee.org/stampPDF/getPDF.jsp?tp=&arnumber=4595696&ref=aHR0cHM6Ly9pZWVleHBsb3JlLmllZWUub3JnL2RvY3VtZW50LzQ1OTU2OTY="", ""database_provider"": ""DOI.org (Crossref)"", ""journal_name_user_abbr_2"": ""IEEE Systems Journal""}","{benchmark}",NA,NA,NA,NA
6659922,NA,"Earth Observation Satellite Data In Support Of Water Management For Agriculture","The Earth Observation (EO) satellite data provided within the Copernicus Programme supports the monitoring and sustainable management of agriculture. For example, satellite data are useful for agriculture mapping, crop health monitoring, land planning, disease mitigation, crop yields estimation, precise agriculture, and sustainable irrigation water management. The identification of non-authorised water abstractions for irrigation is of high importance since the drought phenomenon is increasingly in the past decades due to climate change. This aspect is addressed by DIANA - ""Detection and Integrated Assessment of Non-authorised water Abstractions using EO"", a project funded by the European Commission in the frame of H2020 (European Union Framework Programme for Research and Innovation). The project will integrate data acquired by the Sentinel missions (Sentinel-1, Sentinel-2 and Sentinel-3) and as well Landsat and MODIS. Other types of data (meteorological, land use/land cover, digital elevation models, soil, etc.) will support the satellite data processing and the generation of value-added products. In addition, the project aims at significantly improve the monitoring and assessment of the water management policies and practices. As the project is in its initial phase, the results presented in this article are preliminary. The project will demonstrate the relevance of EO data for sustainable agriculture management and will bring societal and environmental benefits to the end users.",2017,"{""Badea, Alexandru"",""Moise, Cristian"",""Negula, Iulia Dana"",""Poenaru, Violeta""}","{""Earth Observation satellite data; agriculture; water management; DIANA project; Copernicus Programme""}","ARTICLE",NA,NA,"{}","{cco}",2024-04-11 22:02:52,32501,"included",NA
6447809,NA,"The socio-economic value of satellite earth observations: huge, yet to be measured","Earth-observing satellites provide regular and accurate data that can support evidence-based decisions and public policies in a wide range of domains, potentially bringing huge socio-economic benefits. However, obstacles to effective data exploitation and poor awareness about their impacts risk hindering this potentiality and threaten the investments. Leveraging on the case of the Copernicus Programme, we review the challenges related to the full exploitation of free environmental space data and to the measurement of the related impacts. We then discuss the need for empirical approaches based on value-chain analysis with the objective to stimulate further societal and economic research.",2020,"{""Tassa, Alessandra""}","{""Socio-economic benefits"",""impact assessment"",""open environmental geospatial data"",""policy making"",""satellite-based earth observations""}","journal","Journal of Economic Policy Reform","10.1080/17487870.2019.1601565","{""url"": ""https://doi.org/10.1080/17487870.2019.1601565"", ""date"": ""2020-01-02"", ""pages"": ""34"", ""end_page"": ""48"", ""access_date"": ""2023-11-14 22:45:01"", ""link_to_pdf"": ""https://www.tandfonline.com/doi/pdf/10.1080/17487870.2019.1601565"", ""short_title"": ""The socio-economic value of satellite earth observations"", ""database_provider"": ""Taylor and Francis+NEJM""}","{benchmark}",NA,NA,NA,NA
6673029,NA,"Assessing The Value Of Earth Observation For Managing Coral Reefs: An Example From The Great Barrier Reef","The Integrated Global Observing Strategy (IGOS, 2003) argues that further investments in Earth Observation information are required to improve coral reef protection worldwide. The IGOS Strategy does not specify what levels of investments are needed nor does it quantify the benefits associated with better-protected reefs. Evaluating costs and benefits is important for determining optimal investment levels and for convincing policy-makers that investments are required indeed. Few studies have quantitatively assessed the economic benefits of Earth Observation information or evaluated the economic value of information for environmental management. This paper uses an expert elicitation approach based on Bayesian Decision Theory to estimate the possible contribution of global Earth Observation to the management of the Great Barrier Reef. The Great Barrier Reef including its lagoon is a World Heritage Area affected by anthropogenic changes in land-use as well as climate change resulting in increased flows of sediments, nutrients and carbon to the GBR lagoon. Since European settlement, nutrient and sediment loads having increased 5\textendash 10 times and the change in water quality is causing damages to the reef. Earth Observation information from ocean and coastal color satellite sensors can provide spatially and temporally dense information on sediment flows. We hypothesize that Earth Observation improves decision-making by enabling better-targeted run-off reduction measures and we assess the benefits (cost savings) of this improved targeting by optimizing run-off reductions under different states of the world. The analysis suggests that the benefits of Earth Observation can indeed be substantial, depending on the perceived accuracy of the information and on the prior beliefs of decision-makers. The results indicate that increasing informational accuracy is the most effective way for developers of Earth Observation information to increase the added value of Earth Observation for managing coral reefs.",2011,"{""Bouma, Jetske A."",""Dekker, Arnold G."",""Kuik, Onno""}","{""Bayesian decision theory,Coral reef protection,Cost-effectiveness analysis,Earth Observation,Marine ""}","ARTICLE",NA,"10.1016/j.scitotenv.2011.07.023","{}","{benchmark}",NA,NA,NA,NA
6447793,NA,"Monetising the savings of remotely sensed data and information in Burn Area Emergency Response (BAER) wildfire assessment","We used a value of information approach to demonstrate the cost-effectiveness of using satellite imagery as part of the Burn Area Emergency Response (BAER), a US federal program that identifies imminent post-wildfire threats to human life and safety, property and critical natural or cultural resources. We compared the costs associated with producing a Burn Area Reflectance Classification map and implementing a BAER when imagery from satellites (either Landsat or a commercial satellite) was available to when the response team relied on information collected solely by aerial reconnaissance. The case study included two evaluations with and without Burn Area Reflectance Classification products: (a) savings of up to US$51 000 for the Elk Complex wildfire incident request and (b) savings of a multi-incident map production program. Landsat is the most cost-effective way to input burn severity information into the BAER program, with savings of up to US$35 million over a 5-year period.",2020,"{""Bernknopf, Richard"",""Bernknopf, Richard"",""Blakely, Jessica"",""Blakely, Jessica"",""Clifford, T. J."",""Clifford, T. J."",""Epting, Justin"",""Epting, Justin"",""Gibson, Reily"",""Gibson, Reily"",""Goodrich, David"",""Goodrich, David"",""Hardy, Terry"",""Hardy, Terry"",""Kuwayama, Yusuke"",""Kuwayama, Yusuke"",""Mabee, Bethany"",""Mabee, Bethany"",""Quayle, Brad"",""Quayle, Brad""}",NA,"journal","International Journal of Wildland Fire","10.1071/WF19209","{""url"": ""https://www.publish.csiro.au/wf/WF19209"", ""date"": ""2020-10-22"", ""pages"": ""18"", ""end_page"": ""29"", ""access_date"": ""2023-04-17 23:28:33"", ""link_to_pdf"": ""https://www.publish.csiro.au/wf/pdf/WF19209"", ""database_provider"": ""www.publish.csiro.au"", ""journal_name_user_abbr_2"": ""Int. J. Wildland Fire""}","{benchmark}",NA,NA,NA,NA
