title,author,abstract,journal,year,doi,screening_status,pub_year,keywords
"On-Going European Space Agency Activities on Measuring the Benefits of Earth Observations to Society: Challenges, Achievements and Next Steps","Tassa, Alessandra","Understanding the Earth system and its physical and societal processes is crucial for helping humankind develop in a sustainable way, and for designing effective policies across a wide range of applications that include mitigating the effects of climate change, the sustainable management of natural resources, food security and public health. Earth observation (EO) satellites provide regular and accurate observations of the entire planet that can greatly support improvements in such understanding. The European Space Agency (ESA) is committed to supporting international efforts to decipher the processes and phenomena that regulate life on Earth, by building world class EO space missions and making data available to scientists and citizens across the world. How successful is ESA in this endeavour? Given the variable and dynamic nature of EO data use, it is difficult to answer the question through established figures. Yet, it is crucial that ESA be able to discriminate and assess the benefits brought by the use of its EO missions, in order to demonstrate its achievements, to keep improving its systems, to better design and plan future missions, and to promote further uptake. In this article, after recalling its commitments in support of Earth system sciences, ESA’s attempts to conduct valuations of the impact of its own space missions are described. In particular, the challenges encountered in measuring such impacts and the solutions pursued by the Agency to improve its assessment capabilities are detailed, together with the open issues and the current lines of work.",Frontiers in Environmental Science,2022,https://doi.org/10.3389/fenvs.2022.788843,included,2022,satellite Earth Observations|socio-economic impacts|impacts assessment|indicators|Value of Informati
Landsat Data Ecosystem Case Study: Actor Perceptions of the Use and Value of Landsat,"Molder, Edmund","It is well-known that Earth observation (EO) data plays a critical role in scientific understanding about the global environment. There is also growing support for the use of EO data to provide context-specific insights, with significant implications for their use in decision support systems. Technological development over recent years, including cloud computing infrastructure, machine learning techniques, and rapid expansion of the velocity, volume, and variety of space-borne data sources, offer huge potential to provide solutions to the myriad environmental problems facing society and the planet. The USGS/NASA Landsat Program, the longest continuously gathered source of land surface data, has played a central role in our understanding of environmental change, particularly for its contribution of longitudinal products that offer greater context for present research and decision support activities. The challenge facing the Landsat and EO data community, however, now lies in moving beyond context-specific knowledge generation to translating such knowledge into tangible value for society. Drawing from an open data ecosystem framework and qualitative social science methods, we map the Landsat data ecosystem (LDE) and the relationships linking multiple actors responsible for processing, indexing, analyzing, synthesizing, and translating raw Landsat data into information that is useful, useable, and used by end users in particular social-environmental contexts. Both the role of Big Data and associated technologies are discussed as they relate to the ultimate use of Landsat-derived information products to guide decision-making, and key data ecosystem characteristics that shape the likelihood of these products’ use are highlighted.",Frontiers in Environmental Science,2022,https://doi.org/10.3389/fenvs.2021.805174,included,2022,Landsat|data ecosystem|values|decision support|societal benefits|qualitative|remote sensing|Earth ob
Using Data from Earth Observation to Support Sustainable Development Indicators: An Analysis of the Literature and Challenges for the Future,"Andries, Ana","The Sustainable Development Goals (SDG) framework aims to end poverty, improve health and education, reduce inequality, design sustainable cities, support economic growth, tackle climate change and leave no one behind. To monitor and report the progress on the 231 unique SDGs indicators in all signatory countries, data play a key role. Here, we reviewed the data challenges and costs associated with obtaining traditional data and satellite data (particularly for developing countries), emphasizing the benefits of using satellite data, alongside their portal and platforms in data access. We then assessed, under the maturity matrix framework (MMF 2.0), the current potential of satellite data applications on the SDG indicators that were classified into the sustainability pillars. Despite the SDG framework having more focus on socio-economic aspects of sustainability, there has been a rapidly growing literature in the last few years giving practical examples in using earth observation (EO) to monitor both environmental and socio-economic SDG indicators; there is a potential to populate 108 indicators by using EO data. EO also has a wider potential to support the SDGs beyond the existing indicators.",Sustainability,2022,https://doi.org/10.3390/su14031191,included,2022,earth observation|SDGs|indicator type|data challenges
As Seen From Space: Tele-Epidemiological Data as Pandemic Memory,"Gleason, Louis","In the modern world, data is instrumental in historical storytelling. The magnitude of events, who they impacted, and the degree to which the events were managed are all, very often, told through the lens of data. The COVID-19 pandemic is a prime example of such data-driven history, where statistics on infections, death, vaccination, and average mobility are used to tell the story of how the pandemic unfolded in a given locale. While such statistical history is useful, it can also efface the histories of locations that lack access to the proper surveillance infrastructure, or are otherwise unable to deploy it. This produces an erasure of pandemic memory in healthcare-challenged areas, as deaths and infections go unrecorded and undocumented. This paper proposes the use of satellites to correct this, using Earth observation technologies to track viral vectors and find and document mass burial sites to produce a fuller picture of pandemic history, with an emphasis on filling the statistical gaps between the developed and developing world.",Oracle: The History Journal of Boston College,2022,https://ejournals.bc.edu/index.php/orac/article/view/15255,included,2022,Pandemics|Tele-Epidemiology|The Spanish Flu|ele-Epidemiology|Healthcare Studies
Geographic microtargeting of social assistance with high-resolution poverty maps,"Smythe, Isabella","Hundreds of millions of poor families receive some form of targeted social assistance. Many of these antipoverty programs involve some degree of geographic targeting, where aid is prioritized to the poorest regions of the country. However, policy makers in many low-resource settings lack the disaggregated poverty data required to make effective geographic targeting decisions. Using several independent datasets from Nigeria, this paper shows that high-resolution poverty maps, constructed by applying machine learning algorithms to satellite imagery and other nontraditional geospatial data, can improve the targeting of government cash transfers to poor families. Specifically, we find that geographic targeting relying on machine learning–based poverty maps can reduce errors of exclusion and inclusion relative to geographic targeting based on recent nationally representative survey data. This result holds for antipoverty programs that target both the poor and the extreme poor and for initiatives of varying sizes. We also find no evidence that machine learning–based maps increase targeting disparities by demographic groups, such as gender or religion. Based in part on these findings, the Government of Nigeria used this approach to geographically target emergency cash transfers in response to the COVID-19 pandemic.",The Proceedings of the National Academy of Sciences,2022,https://doi.org/10.1073/pnas.2120025119,included,2022,poverty|targeting|satellite imagery|Nigeria
Earth observations can enable cost-effective conservation of eastern north pacific blue whales: a value of information analysis,"Bernknopf, Richard","We conduct an analysis to estimate the value of information (VOI) of Earth observations for prospective regulation of marine shipping to conserve Eastern North Pacific blue whales in the Exclusive Economic Zone of the United States. Outcomes are driven by differences across two data products that can be used to inform regulations to limit ship strikes. In the reference case, vessel speed limits depend on species distribution data from shipboard surveys. In the counterfactual case, speed limits depend on species distributions predicted by WhaleWatch, a federal data product incorporating information from several remote sensing technologies. The VOI is identified as the difference in costs to marine shipping operators under the reference and counterfactual cases for regulation of vessel speeds. We estimate that the annual VOI of WhaleWatch is US $21–332 million, depending on the conservation goals of the modeled regulation. Conserving more blue whales—averting more ship strikes—increases the VOI.",NA,2021,https://media.rff.org/documents/Earth_Observations_can_enable_cost-effective_conservation_of._bm_RB_LD.pdf,included,2021,NA
Enhancing Access and Usage of Earth Observations in Environmental Decision-Making in Eastern and Southern Africa Through Capacity Building,"Shukla, Shraddhanand","Major strides have been made in the development of remote sensing, reanalysis, and model-based earth observations (EOs), which can be used for long-term climate variability mapping, as well as real-time environmental monitoring and forecasting. Such EOs are particularly valuable for environmental decision-making (e.g., for environmental resources management and disaster mitigation) in the Eastern and Southern Africa (E & SA) region, where ground-based EOs are sparse. Nonetheless, operational application of those EOs to inform decision-making in the region remains limited. This paper reports on a recently concluded (as of June 2019) NASA SERVIR-supported Applied Science Team project that contributed to the uptake of EO applications to inform decision-making in this region. This project was conducted in close collaboration with the Regional Center for Mapping of Resources for Development (RCMRD)—the NASA SERVIR regional hub in E & SA. The capacity-building efforts leveraged RCMRD’s existing environmental service capacity, their long experience in capacity building in the region, and their extensive network of regional partners, with the goal of increasing RCMRD and their regional partners’ ability to uptake EOs to enhance their environmental services and, hence, improve the environmental decision-making process. The project focused on: (1) Transfer of technology—Transition and implementation of web-based tools to RCMRD to allow easy processing and visualization of EOs and (2) Capacity training—training of representatives from regional and national environmental service agencies in EO application based on targeted case studies. Here, we describe these capacity-building efforts, provide specific examples to demonstrate the benefits of those efforts in terms of enhanced uptake of EOs, and provide recommendations for furthering the uptake of EOs in the region and beyond.",Frontiers in Sustainable Food Systems,2021,https://doi.org/10.3389/fsufs.2021.504063,included,2021,earth observation|capacity building|Eastern Africa|Southern Africa|environmental services|decision-m
Economic Potential of Oil Palm Plantation Using Remote Sensing-Based Technology in Indonesia,"Diana, Shinta","The productivity of Indonesia's palm oil was considered low when referring to the 14.6 million ha land area in 2019, with the production of national palm oil only reaching 3.2 tons of CPO/ha/year. The uses of remote sensing technology as a means of monitoring and supervising, were expected to increase oil palm production in line with productivity. The purpose of this study was to determine the economic potential based on oil palm plantation productivity, with and without using remote sensing-based technology, as well as other variables likely to affect productivity. Primary and secondary data collection methods were also used in this research. There were three quantitative methods being used in this study, namely (i) Multiple regression model with panel data, (ii) Data Envelopment Analysis (DEA) tool, and (iii) Multinomial logistic regression technique. The results showed that the generated economic potential from the utilization of the remote sensing model, had efficient opportunity value of 10.48, which was higher than the non-usage of the technology. Therefore, the main variables that affected productivity in this study, were fertilizer and labour.",The Asian Journal of Technology Management,2021,http://dx.doi.org/10.12695/ajtm.2021.14.1.2,included,2021,Efficiency|oil-palm|remote sensing (spot 6)|policy|binomial logistic
Monetising the savings of remotely sensed data and information in burn area emergency response (BAER) wildfire assessment,"Bernknopf, R.","We used a value of information approach to demonstrate the cost-effectiveness of using satellite imagery as part ofthe Burn Area Emergency Response (BAER), a US federal program that identifies imminent post-wildfire threats to human life and safety, property and critical natural or cultural resources. Wecompared the costs associated with producing a Burn Area Reflectance Classification map and implementing a BAER when imagery from satellites (either Landsat or a commercial satellite) was available to when the response team relied on information collected solely by aerial reconnaissance. The case study included two evaluations with and without Burn Area Reflectance Classification products: (a) savings of up to US$51,000 for the Elk Complex wildfire incident request and (b) savings of a multi-incident map production program. Landsat is the most cost-effective way to input burn severity information into the BAER program, with savings of up to US$35 million over a 5-year period.",International Journal of Wildland Fire,2021,https://doi.org/10.1071/WF19209,included,2021,cost effectiveness|fire economics|fire severity|policy|remote sensing
A Scalable Earth Observations-Based Decision Support System for Hydropower Planning in Africa,"Koppa, Akash","Hydropower is a key part of the increasing shift in power production from nonrenewables to renewable energy. In regions such as Africa, hydropower reservoirs are vital for achieving several sustainable development goals, including clean water, energy, and poverty elimination. However, the operations of hydropower reservoirs are often suboptimal due to the lack of hydrologic data for generating reliable inflow forecasts. Here, we present a decision support system (DSS) framework for hydropower planning at daily to seasonal time scales by combining data from earth observation satellites (EOS) with ensemble climate forecasts from dynamical models and hydrologic modeling. The large uncertainty inherent in satellite-based datasets is overcome by using a data validation framework which does not require ground-based measurements. In addition, an EOS evapotranspiration product is used as a proxy for streamflow in calibrating hydrologic models. Compared to a DSS forced with a climatological forecast (zero-skill), the hydropower production with the new DSS increased by 20%. The study highlights the advantage of using data from EOS in overcoming the issue of data scarcity in water resources applications, particularly in developing regions of the world such as Africa.",Journal of the American Water Resources Association,2021,https://doi.org/10.1111/1752-1688.12914,included,2021,hydropower|decision support system|remote sensing|water resources
