"id","title","authors","publication_year","tags","t&a_status","t&a_exclusion_reasons"
6691672,"Progress Report on the Implementation of the Global Observing System for Climate in Support of the UNFCCC 2004-2008 5","{""Global Climate Observing System""}",2009,"{}","excluded","{""Data is not valued""}"
6691558,"Enabling stakeholder decision-making with Earth observation and modeling data using Tethys platform","{""Nelson, James""}",2019,"{}","excluded","{""No societal value context"",""Value is not measured"",""Data is not valued""}"
6691702,"Geographic Information: Value, Pricing, Production, and Consumption","{""Longhorn, Roger""}",2007,"{maybe}","excluded","{""No societal value context""}"
6668327,"Evaluation Of Characteristics On The Indoor Dwelling Environments Of Traditional Villages In Hehuang Area Of China Based On Basic Environmental Parameters Under Remote Sensing Technology","{""Hu, A."",""Jing, C."",""Ma, H."",""Ma, L.""}",2024,"{cco}","excluded","{""Data is not valued""}"
6668327,"Evaluation Of Characteristics On The Indoor Dwelling Environments Of Traditional Villages In Hehuang Area Of China Based On Basic Environmental Parameters Under Remote Sensing Technology","{""Hu, A."",""Jing, C."",""Ma, H."",""Ma, L.""}",2024,"{cco}","excluded","{""Data is not valued""}"
6447820,"Conserving ecosystem services and biodiversity: Measuring the tradeoffs involved in splitting conservation budgets","{""Galford, Gillian L."",""Ricketts, Taylor H."",""Sonter, Laura J."",""Watson, Keri B.""}",2020,"{}",NA,NA
6662042,"Effects Of Farm Management Practices And Environmental Factors On Bulk Tank Milk Antibodies Against Gastrointestinal Nematodes In Dairy Farms Across Canada","{""Conboy, Gary"",""Dohoo, Ian"",""Sanchez, Javier"",""Vanderstichel, Raphael""}",2012,"{cco}","excluded","{""ESI data not used""}"
6691580,"Assessing the value of seasonal climate forecasts for decision-making","{""Bruno Soares, Marta""}",2018,"{maybe}","excluded","{""Valued data is not ESI""}"
6691646,"Willingness to pay for soil information derived by digital maps: a choice experiment approach","{""Diafas, Iason""}",2012,"{}","excluded","{""Valued data is not ESI""}"
6691610,"Linking Earth Observation and mobile Technologies for improved Decision-Support in Case of Droughts and related Food Insecurity","{""Enenkel, Markus""}",2015,"{}","excluded","{""Data is not valued""}"
