title,author,year,doi,notes,phase,screening_decision,reason_for_exclusion,quick_notes,soc_method,societal_benefit,value_units,eo_data,applied_science_theme
Land Use Change And Environmental Sustainability: The Case Of Lagos Metropolis,"Nwokoro, I. I. C. and Dekolo, S. O.",2011,10.2495/sc120141,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
Application Of High-Resolution Stereo Satellite Images To Detailed Landslide Hazard Assessment,"Nichol, J. E. and Shaker, A. and Wong, M. S.",2006,10.1016/j.geomorph.2005.10.001,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
The Value Of Remotely Sensed Vs. Field-Surveyed Habitat Structure For Predicting Bird Abundance: A Case Study In Traditional Orchards,"Chaparro, Laura and Schmieder, Klaus and Schurr, Frank M.",2022,10.1007/s10336-022-01970-9,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
Evaluation Of Earth Observation Systems For Estimating Environmental Determinants Of Microbial Contamination In Recreational Waters,"Kotchi, S. O. and Brazeau, S. and Turgeon, P. and Pelcat, Y. and Legare, J. and Lavigne, M. P. and Essono, F. N. and Fournier, R. A. and Michel, P.",2015,10.1109/jstars.2015.2426138,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
Integrating Drone Imagery With Existing Rangeland Monitoring Programs,"Gillan, J. K. and Karl, J. W. and van Leeuwen, W. J. D.",2020,10.1007/s10661-020-8216-3,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
Remote Sensing Of Soil And Water Quality In Agroecosystems,"De Paul Obade, V. and Lal, R. and Chen, J.",2013,10.1007/s11270-013-1658-2,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
Mapping Landscape-Scale Peatland Degradation Using Airborne Lidar And Multispectral Data,"Carless, D. and Luscombe, D. J. and Gatis, N. and Anderson, K. and Brazier, R. E.",2019,10.1007/s10980-019-00844-5,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
Where's Woolly? An Integrative Use Of Remote Sensing To Improve Predictions Of The Spatial Distribution Of An Invasive Forest Pest The Hemlock Woolly Adelgid,"Jones, Chris and Song, Conghe and Moody, Aaron",2015,10.1016/j.foreco.2015.09.013,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
Review Of The Driving Forces And Impacts Of Land Use/Cover Change In The Yangtze River Basin,"Yuan, X. and Wang, C. and Li, B. and Wang, W. and Chen, N.",2023,10.13203/j.whugis20210368,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
Possibility Investigation Of Tree Diversity Mapping Using Landsat Etm+ Data In The Hyrcanian Forests Of Iran,"Mohammadi, J. and Shataee, S.",2010,10.1016/j.rse.2010.02.004,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
Understanding The Spatio-Temporal Behaviour Of The Sunflower Crop For Subfield Areas Delineation Using Sentinel-2 Ndvi Time-Series Images In An Organic Farming System,"Marino, Stefano",2023,10.1016/j.heliyon.2023.e19507,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
Use And Benefits Of Nasa's Recover For Post-Fire Decision Support,"Toombs, William and Weber, Keith and Stegner, Tesa and Schnase, John L. and Lindquist, Eric and Lippitt, Frances",2018,10.1071/wf18010,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
Monitoring And Diagnosis System For Wheat Growth With Remote Sensing And Sensor Technology,"Zhang, Q. and Huang, W. and Xu, T. and Yang, X. and Sun, P.",2011,10.3969/j.issn.1002-6819.2011.12.022,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
Deep Learning–Based Monitoring Sustainable Decision Support System For Energy Building To Smart Cities With Remote Sensing Techniques,"Yue, W. and Yu, C. and Antonidoss, A. and Anbarasan, M.",2022,10.14358/pers.22-00010r2,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
Using Copernicus Sentinel-2 And Sentinel-3 Data To Monitor Harmful Algal Blooms In Southern Chile During The Covid-19 Lockdown,"Rodríguez-Benito, C. V. and Navarro, G. and Caballero, I.",2020,10.1016/j.marpolbul.2020.111722,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
Ecological Environment Dynamic Monitoring And Driving Force Analysis Of Karst World Heritage Sites Based On Remote-Sensing: A Case Study Of Shibing Karst,"Zhang, Ning and Xiong, Kangning and Xiao, Hua and Zhang, Juan and Shen, Chuhong",2023,10.3390/land12010184,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
"Active Fire Monitoring Of Thailand And Upper Asean By Earth Observation Data: Benefits, Lessons Learned, And What Still Needs To Be Known","Tanpipat, V. and McCarty, J. L. and Davies, D. and Schroeder, W. and Elvidge, C.",2023,10.1007/978-3-031-29916-2_9,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
Automatic Parameter Optimization For Support Vector Regression For Land And Sea Surface Temperature Estimation From Remote Sensing Data,"Moser, Gabriele and Serpico, Sebastiano B.",2009,10.1109/tgrs.2008.2005993,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
Can Remote Sensing Fill The United States' Monitoring Gap For Watershed Management?,"Sridharan, Vamsi Krishna and Kumar, Saurav and Kumar, Swetha Madhur",2022,10.3390/w14131985,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
The Role Of Satellite And Decentralized Strategies In Water Resources Management,"Gikas, Petros and Tchobanoglous, George",2009,10.1016/j.jenvman.2007.08.016,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
