title,author,year,doi,notes,phase,screening_decision,reason_for_exclusion,quick_notes,soc_method,societal_benefit,value_units,eo_data,applied_science_theme
Small Drones For Community-Based Forest Monitoring: An Assessment Of Their Feasibility And Potential In Tropical Areas,"Paneque-Galvez, Jaime and McCall, Michael K. and Napoletano, Brian M. and Wich, Serge A. and Koh, Lian Pin",2014,10.3390/f5061481,NA,classifier round 1,NA,NA,NA,NA,NA,NA,NA,NA
Landscape Design As A Tool To Reduce Soil Salinization: The Study Case Of Keriya Oasis (Nw China),"Seydehmet, Jumeniyaz and Lv, Guang-Hui and Abliz, Abdugheni",2019,10.3390/su11092578,NA,classifier round 1,NA,NA,NA,NA,NA,NA,NA,NA
Determining The Optimal Phenological Stage For Predicting Common Dry Bean (Phaseolus Vulgaris) Yield Using Field Spectroscopy,"Rajah, P. and Odindi, J. and Abdel-Rahman, E. and Mutanga, O.",2017,10.1080/02571862.2017.1317854,NA,classifier round 1,NA,NA,NA,NA,NA,NA,NA,NA
Forest Fire Risk Zone Mapping Of Eravikulam National Park In India: A Comparison Between Frequency Ratio And Analytic Hierarchy Process Methods,"Pradeep, G. S. and Danumah, Jean Homian and Nikhil, S. and Prasad, Megha K. and Patel, Nilanchal and Mammen, Pratheesh C. and Rajaneesh, A. and Oniga, Valeria-Ersilia and Ajin, R. S. and Kuriakose, Sekhar L.",2022,10.5552/crojfe.2022.1137,NA,classifier round 1,NA,NA,NA,NA,NA,NA,NA,NA
Multi-Decadal Assessment Of Soil Loss In A Mediterranean Region Characterized By Contrasting Local Climates,"Samela, Caterina and Imbrenda, Vito and Coluzzi, Rosa and Pace, Letizia and Simoniello, Tiziana and Lanfredi, Maria",2022,10.3390/land11071010,NA,classifier round 1,NA,NA,NA,NA,NA,NA,NA,NA
"On The Future Of Argo: A Global, Full-Depth, Multi-Disciplinary Array","Roemmich, Dean and Alford, Matthew H. and Claustre, Herve and Johnson, Kenneth and King, Brian and Moum, James and Oke, Peter and Owens, W. Brechner and Pouliquen, Sylvie and Purkey, Sarah and Scanderbeg, Megan and Suga, Toshio and Wijffels, Susan and Zilberman, Nathalie and Bakker, Dorothee and Baringer, Molly and Belbeoch, Mathieu and Bittig, Henry C. and Boss, Emmanuel and Calil, Paulo and Carse, Fiona and Carval, Thierry and Chai, Fei and Conchubhair, Diarmuid O. and d'Ortenzio, Fabrizio and Dall'Olmo, Giorgio and Desbruyeres, Damien and Fennel, Katja and Fer, Ilker and Ferrari, Raffaele and Forget, Gael and Freeland, Howard and Fujiki, Tetsuichi and Gehlen, Marion and Greenan, Blair and Hallberg, Robert and Hibiya, Toshiyuki and Hosoda, Shigeki and Jayne, Steven and Jochum, Markus and Johnson, Gregory C. and Kang, KiRyong and Kolodziejczyk, Nicolas and Kortzinger, Arne and Le Traon, Pierre-Yves and Lenn, Yueng-Djern and Maze, Guillaume and Mork, Kjell Arne and Morris, Tamaryn and Nagai, Takeyoshi and Nash, Jonathan and Garabato, Alberto Naveira and Olsen, Are and Pattabhi, Rama Rao and Prakash, Satya and Riser, Stephen and Schmechtig, Catherine and Schmid, Claudia and Shroyer, Emily and Sterl, Andreas and Sutton, Philip and Talley, Lynne and Tanhua, Toste and Thierry, Virginie and Thomalla, Sandy and Toole, John and Troisi, Ariel and Trull, Thomas W. and Turton, Jon and Velez-Belchi, Pedro Joaquin and Walczowski, Waldemar and Wang, Haili and Wanninkhof, Rik and Waterhouse, Amy F. and Waterman, Stephanie and Watson, Andrew and Wilson, Cara and Wong, Annie P. S. and Xu, Jianping and Yasuda, Ichiro",2019,10.3389/fmars.2019.00439,NA,classifier round 1,NA,NA,NA,NA,NA,NA,NA,NA
Avhrr Data For Real-Time Operational Flood Forecasting In Malaysia,"Billa, L. and Mansor, S. and Mahmud, A. R. and Ghazali, A. H.",2005,10.1007/3-540-27468-5_93,NA,classifier round 1,NA,NA,NA,NA,NA,NA,NA,NA
Integration Of Lidar And Pleiades Data In Identifying The Potential Of Hazardous Trees,"Suhaizad, L. S. and Khalid, N. and Tahar, K. N.",2022,10.52939/ijg.v18i4.2253,NA,classifier round 1,NA,NA,NA,NA,NA,NA,NA,NA
Using Bioacoustics To Enhance The Efficiency Of Spotted Owl Surveys And Facilitate Forest Restoration,"Kramer, H. A. and Kelly, K. G. and Whitmore, S. A. and Berigan, W. J. and Reid, D. S. and Wood, C. M. and Klinck, H. and Kahl, S. and Manley, P. N. and Sawyer, S. C. and Peery, M. Z.",2024,10.1002/jwmg.22533,NA,classifier round 1,NA,NA,NA,NA,NA,NA,NA,NA
Design Of Terrace Drainage Networks Using Uav-Based High-Resolution Topographic Data,"Pijl, Anton and Tosoni, Michele and Roder, Giulia and Sofia, Giulia and Tarolli, Paolo",2019,10.3390/w11040814,NA,classifier round 1,NA,NA,NA,NA,NA,NA,NA,NA
