title,author,year,key,screening_decision,reason_for_exclusion,quick_notes,econ_method,societal_benefit,value_units,eo_data,applied_science_theme,notes
Potential of Virtual Earth Observation Constellations in Archaeological Research,"Agapiou, Athos and Alexakis, Dimitrios D. and Hadjimitsis, Diofantos G.",2019,agapiou_potentialvirtualearthobservation_2019,exclude,calibration/validation,,,,,,,
Cooperation in Earth Observation Missions in Africa: A Role for Afrigeoss,"Agbaje, Ganiy I. and John, Olusoji N.",2018,agbaje_cooperationearthobservationmissions_2018,exclude,data not valued,Like a policy roadmap for cooperation among African nations with space resources,,,,,,
"Monitoring Forest Canopy Cover Change with Icesat-2 Data in Fire-Prone Areas: A Case Study in Antalya, T\""urkiye","Akturk, E.",2023,akturk_monitoringforestcanopycover_2023,exclude,calibration/validation,"""The results contribute to more informed decision-making in forest management and conservation efforts."" but left as aspirational",,,,,,
A Global Vision for Monitoring Ecosystem Services with Satellite Sensors,"Alcaraz-Segura}, D. and Di Bella, C. M.",2013,alcarazsegura_globalvisionmonitoringecosystem_2013,exclude,review,"intro to a book, overview of chapters",,,,,,
The Efficacy of Tm Satellite Imagery for Rapid Assessment of Chihuahuan Xeric Habitat Intactness for Ecoregion-Scale Conservation Planning,"Allnutt, {\relax TF} and Wettengel, {\relax WW} and Reyna, {\relax JV} and Garcia, {\relax RCD} and Elias, {\relax EEI} and Olson, {\relax DM",2002,allnutt_efficacytmsatelliteimagery_2002,exclude,calibration/validation,"""For these reasons, predicting the relative intactness of large desert areas through a rapid classification of Landsat TM data does not appear to be a cost-effective tool for conservation planning.""  But no actual cost-benefit analysis",,,,,,
An Evaluation of Public Servant Awareness and Use of Gis/Remote Sensing in Africa-Nigeria,"Asiyanbola, Raimi Abidemi",2018,asiyanbola_evaluationpublicservantawareness_2018,include,,"Survey of Nigerian public servants - ""Table 3 shows that most of the respondents were aware of the direct benefits of GIS/remote sensing such as increased effectiveness (faster provision of information, [65%], information more readily available [65%], up-to-date information available [58%]), savings (less space required for, e.g., map storage [67%], time savings for routine and repetitive tasks [56%]) and new products (new range of output – maps, tables, etc. [36%], better quality output [55%]). Also, most of the respondents were aware of the indirect benefits of GIS/remote sensing such as justification for the decision made (59%), better-informed decision making (55%), and greater analysis and understanding of problems (51%). Generally, the results shows that respondents were more aware of the direct benefits of GIS/remote sensing (53%) compared to their awareness of the indirect benefits (45%).""",stated preference/survey,multiple,multiple,GIS/remote sensing,environmental planning or management,"Costs/benefits, also diffusion of knowledge/practice of GIS/remote sensing in Nigerian public sector"
May Smart Technologies Reduce the Environmental Impact of Nitrogen Fertilization? A Case Study for Paddy Rice,"Bacenetti, Jacopo and Paleari, Livia and Tartarini, Sofia and Vesely, Fosco M. and Foi, Marco and Movedi, Ermes and Ravasi, Riccardo A. and Bellopede, Valeria and Durello, Stefano and Ceravolo, Carlo and Amicizia, Francesca and Confalonieri, Roberto",2020,bacenetti_smarttechnologiesreduceenvironmental_2020,include,,,"life cycle assessment, counterfactual","reduced carbon emissions, efficient N application, improved yield",various,Sentinel,agriculture; climate,Variable rate N application (based on remote sensing data) compared to fixed-rate - reduction in environmental impact
An Ecosystem Model and Content Research of the Satellite Information Utilization Business,"Baik, Seungkuk and Roh, Jinhwa and Shim, Hyounjoo and Zhu, Xuanning",2023,baik_ecosystemmodelcontentresearch_2023,exclude,not in English,,,,,,,
Remote Sensing Products and Services in Support of Agricultural Public Policies in Africa: Overview and Challenges,"Begue, Agnes and Leroux, Louise and Soumare, Mamy and Faure, Jean-Francois and Diouf, Abdoul Aziz and Augusseau, Xavier and Toure, Labaly and Tonneau, Jean-Philippe",2020,begue_remotesensingproductsservices_2020,exclude,review,"""Based on this review, the authors conclude that to benefit from this technological advancement and bridge the gap between technical analysts and policy makers, some key points are fundamental: capacity building, political will and institutional commitment, public-private partnership, and proofs of concept.""",,,,,,
Estimating the Benefits of Land Imagery in Environmental Applications: A Case Study in Nonpoint Source Pollution of Groundwater,"Bernknopf, R. L. and Forney, W. M. and Raunikar, R. P. and Mishra, S. K.",2012,bernknopf_estimatingbenefitslandimagery_2012,include,,,voi,land use reallocation and water quality,dollars,"Landsat, GRACE",agriculture; water resources,
Agricultural Case Studies for Measuring the Value of Information of Earth Observation and Other Geospatial Information for Decisions,"Bernknopf, R.",2017,bernknopf_agriculturalstudiesmeasuringinformation_2017,include,,,voi,groundwater quality,dollars,"Landsat, AWiFS (India)",agriculture; water resources,also compares VOI based on two different satellite missions - Landsat vs. an Indian satellite
Earth Observations into Action: The Systemic Integration of Earth Observation Applications into National Risk Reduction Decision Structures,"Borges, D. E. and Ramage, S. and Green, D. and Justice, C. and Nakalembe, C. and Whitcraft, A. and Barker, B. and {Becker-Reshef}, I. and Balagizi, C. and Salvi, S. and Ambrosia, V. and {San-Miguel-Ayanz}, J. and Boschetti, L. and Field, R. and Giglio, L. and Kuhle, L. and Low, F. and Kettner, A. and Schumann, G. and Brakenridge, G. R. and Adler, R. and Kontoes, H. and De Boissezon, H. and Eddy, A. and Kirschbaum, D. and Emberson, R. and Cooley, S. and Lloyd, S. and Blake, C. and Reichenbach, K.",2023,borges_earthobservationsactionsystemic_2023,exclude,review,"""The unique perspective of EOs provide unrealized value to decision-makers addressing DRR. This paper highlights tangible methods and practices that leverage free and open source EO insights that can benefit all DRR practitioners.""  Several case studies referenced, though not performed in this study",,,,,,
