title,author,year,doi,key,phase,screening_decision,reason_for_exclusion,quick_notes,soc_method,societal_benefit,value_units,eo_data,applied_science_theme,notes
Disaster Management And Virtual Globes: A High Potential For Developing Countries,"Zeug, Gunter and Brunner, Dominik",2013,10.4018/978-1-4666-2038-4.ch095,zeug_disastermanagementvirtualglobes_2013,classifier round 2a,NA,NA,NA,NA,NA,NA,NA,NA,NA
The Utility Of Airborne Hyperspectral And Satellite Multispectral Images In Identifying Natura 2000 Non-Forest Habitats For Conservation Purposes,"Jarocinska, Anna and Kopec, Dominik and Niedzielko, Jan and Wylazlowska, Justyna and Halladin-Dabrowska, Anna and Charyton, Jakub and Piernik, Agnieszka and Kaminski, Dariusz",2023,10.1038/s41598-023-31705-6,jarocinska_utilityairbornehyperspectralsatellite_2023,classifier round 2a,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mapping Of Environmental Sensitivity Index To Oil Spill From Landsat Tm Images: ""A Study Case On The Amazon Coastal Plain""","Rodrigues, S. W. P. and Souza-Filho, P. W. M.",2013,10.22564/rbgf.v30i4.240,rodrigues_mappingenvironmentalsensitivityindex_2013,classifier round 2a,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Study Of Productivity And Biomass Above The Ground, Using Vegetation Indices In Plantations Of Tectona Grandis L. (Teak) Located In Guanacaste, Costa Rica","Porras-Granados, V, Arleth and Arias-Aguilar, Dagoberto and Soto-Montoya, Casia and Rios-Garro, Vinicio",2022,10.18845/tm.v35i6.6229,porrasgranados_studyproductivitybiomassground_2022,classifier round 2a,NA,NA,NA,NA,NA,NA,NA,NA,NA
Use Of Remote Sensing And Gis For Identifying Tanks And Rehabilitation Benefits To The Rural Areas,"Anand, S. and Kakumanu, K. R. and Amarasinghe, U. A.",2019,10.25175/jrd/2019/v38/i1/121801,anand_remotesensinggisidentifying_2019,classifier round 2a,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Trends And Projections Analysis Of Precipitation And Temperature Data Using Ccsm4 And Gsmap_nrt: Case Study In Sohar, Sultanate Of Oman","Afandy, M. and Alamrani, A. and Ibrahim, O. and Maghawry, S. A.",2023,10.13189/eer.2023.110411,afandy_trendsprojectionsanalysisprecipitation_2023,classifier round 2a,NA,NA,NA,NA,NA,NA,NA,NA,NA
Monitoring And Early Warning Systems - A Design For Human Survival,"Skyttner, L",2002,10.1108/03684920210417292,skyttner_monitoringwarningsystemsdesign_2002,classifier round 2a,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advances In Remote Sensing Of Coastal Wetlands: Lidar, Sar, And Object-Oriented Case Studies From North Carolina","Allen, T. R.",2014,10.1007/978-3-319-06326-3_17,allen_advancesremotesensingcoastal_2014,classifier round 2a,NA,NA,NA,NA,NA,NA,NA,NA,NA
The Rocky Road From Research To Operations For Satellite Ocean-Colour Data In Fishery Management,"Wilson, Cara",2011,10.1093/icesjms/fsq168,wilson_rockyroadresearchoperations_2011,classifier round 2a,NA,NA,NA,NA,NA,NA,NA,NA,NA
Challenges And Opportunities Of Digital Technology In Soil Quality And Land Management Research,"de Paul Obade, V. and Gaya, C. and Obade, P. T.",2021,10.1007/978-3-030-71571-7_9,depaulobade_challengesopportunitiesdigitaltechnology_2021,classifier round 2a,NA,NA,NA,NA,NA,NA,NA,NA,NA
Initial Assessment Of Burn Severity Using Transfer Learning Model,"Zheng, Z. and Wang, J. and Zou, B. and Gao, Y. and Yang, S. and Wang, Y.",2022,10.11834/jrs.20210156,zheng_initialassessmentburnseverity_2022,classifier round 2a,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nasa?S Global Precipitation Measurement Mission: Leveraging Stakeholder Engagement \& Applications Activities To Inform Decision-Making,"Portier, Andrea and Kirschbaum, Dalia and Gebremichael, Mekonnen and Kemp, Eric and Kumar, Sujay and Llabres, Iker and Snodgrass, Eric and Wegiel, Jerry",2023,10.1016/j.rsase.2022.100853,portier_nasaglobalprecipitationmeasurement_2023,classifier round 2a,NA,NA,NA,NA,NA,NA,NA,NA,NA
Contribution Of Remote Sensing For Crop And Water Monitoring,"Courault, D. and Demarez, V. and Guérif, M. and Le Page, M. and Simonneaux, V. and Ferrant, S. and Veloso, A.",2016,10.1016/b978-1-78548-103-1.50004-2,courault_contributionremotesensingcrop_2016,classifier round 2a,NA,NA,NA,NA,NA,NA,NA,NA,NA
Predicting Poverty Index Using Deep Learning On Remote Sensing And Household Data,"Agarwal, P. and Garg, N. and Singh, P.",2019,10.35940/ijrte.c3918.098319,agarwal_predictingpovertyindexdeep_2019,classifier round 2a,NA,NA,NA,NA,NA,NA,NA,NA,NA
