title,author,year,doi,key,phase,screening_decision,reason_for_exclusion,quick_notes,soc_method,societal_benefit,value_units,eo_data,applied_science_theme,notes
Use Of Earth Observation Satellite Data To Guide The Implementation Of Integrated Pest And Pollinator Management (Ippm) Technologies In An Avocado Production System,"Adan, Marian and Abdel-Rahman, Elfatih M. and Gachoki, Stella and Muriithi, Beatrice W. and Lattorff, H. Michael G. and Kerubo, Vivian and Landmann, Tobias and Mohamed, Samira A. and Tonnang, Henri E. Z. and Dubois, Thomas",2021,10.1016/j.rsase.2021.100566,adan_earthobservationsatellitedata_2021,classifier excludes,exclude,data not valued,NDVI used to categorize land but not compared against any other info source,,,,,,
Evaluating The Compliance Of Sea Turtle Light Ordinances In Florida Using Remote Sensing,"Anderson, Sharolyn J. and Nuernberger, Sarah and Yamamoto, Kristina H. and Sutton, Paul C.",2013,10.1111/gec3.12088,anderson_evaluatingcomplianceseaturtle_2013,classifier excludes,exclude,calibration/validation,"data used to see whether beaches complied with light regulations; no decisions made, no value assessed",,,,,,
Satellite Data And Geographic Information Systems For Fire And Resource Management In The Canadian Arctic,"Epp, H. and Lanoville, R.",1996,10.1080/10106049609354537,epp_satellitedatageographicinformation_1996,classifier excludes,exclude,data not valued,,,,,,,
Influence Of The Resolution Of Forest Cover Maps In Evaluating Fragmentation And Connectivity To Assess Habitat Conservation Status,"Hernando, A. and Velázquez, J. and Valbuena, R. and Legrand, M. and García-Abril, A.",2017,10.1016/j.ecolind.2017.04.031,hernando_influenceresolutionforestcover_2017,classifier excludes,exclude,data not valued,analyzes connectivity but doesn't calculate value of improved connectivity knowledge,,,,,,
"Reef Cover, A Coral Reef Classification For Global Habitat Mapping From Remote Sensing","Kennedy, Emma V. and Roelfsema, Chris M. and Lyons, Mitchell B. and Kovacs, Eva M. and Borrego-Acevedo, Rodney and Roe, Meredith and Phinn, Stuart R. and Larsen, Kirk and Murray, Nicholas J. and Yuwono, Doddy and Wolff, Jeremy and Tudman, Paul",2021,10.1038/s41597-021-00958-z,kennedy_reefcovercoralreef_2021,classifier excludes,exclude,data not valued,"perhaps, but very tenuous; suggestions at future planning efforts, and some limited feedback from users, but not a systematic valuation",,,,,,
Evidence-Based Alignment Of Conservation Policies With Remote Sensing-Enabled Essential Biodiversity Variables,"Lock, M. C. and Skidmore, A. K. and van Duren, I and Mucher, C. A.",2021,10.1016/j.ecolind.2021.108272,lock_evidencebasedalignmentconservation_2021,classifier excludes,exclude,data not valued,"""RS-enabled EBVs have added value in monitoring of biodiversity, especially when looking at ecosystem functioning. Information on ecosystem functioning and structure provides evidence needed as input for policydevelopment and management of biodiversity."" - but focuses on making a case for using RS data for indicators, doesn't actually use them",,,,,,
From The Cloud To The Ground: Converting Satellite Data Into Conservation Decisions,"Pintea, L. and Jantz, S. M. and Wich, S. A.",2021,10.1093/oso/9780198850243.003.0002,pintea_cloudgroundconvertingsatellite_2021,classifier excludes,exclude,unavailable,,,,,,,
Using Remotely Sensed Indicators Of Primary Productivity To Improve Prioritization Of Conservation Areas For Top Predators,"Regos, Adrian and Arenas-Castro, Salvador and Tapia, Luis and Dominguez, Jesus and Honrado, Joao P.",2021,10.1016/j.ecolind.2021.107503,regos_remotelysensedindicatorsprimary_2021,classifier excludes,exclude,data not valued,"""Incorporating interannual dynamics of primary productivity in habitat modelling supports raptor conservation prioritization by informing about adequacy, stability and legacy of raptor conservation areas"" but doesn't compare value of satellite data to some other info source",,,,,,
Mangrove Plantation Suitability Mapping By Integrating Multi Criteria Decision Making Geospatial Approach And Remote Sensing Data,"Sahraei, Roya and Ghorbanian, Arsalan and Kanani-Sadat, Yousef and Jamali, Sadegh and Homayouni, Saeid",2023,10.1080/10095020.2023.2167615,sahraei_mangroveplantationsuitabilitymapping_2023,classifier excludes,exclude,calibration/validation,"""The obtained values can elucidate the path for decision-makers and managers for better conservation and plantation planning.""",,,,,,
Remote Sensing For The Analysis Of Anthropogenic Geomorphology: Potential Responses To Sediment Dynamics In The Agricultural Landscapes,"Tarolli, P. and Sofia, G.",2020,10.1016/b978-0-444-64177-9.00009-6,tarolli_remotesensinganalysisanthropogenic_2020,classifier excludes,exclude,data not valued,,,,,,,
The Application Of Geographic Information Systems And Remotely Sensed Data To The Conservation Of Heathland Fragments,"Veitch, N. and Webb, N. R. and Wyatt, B. K.",1995,10.1016/0006-3207(94)00070-7,veitch_applicationgeographicinformationsystems_1995,classifier excludes,exclude,unavailable,,,,,,,
No Pixel Left Behind: Toward Integrating Earth Observations For Agriculture Into The United Nations Sustainable Development Goals Framework,"Whitcraft, Alyssa K. and Becker-Reshef, Inbal and Justice, Christopher O. and Gifford, Lauren and Kavvada, Argyro and Jarvis, Ian",2019,10.1016/j.rse.2019.111470,whitcraft_pixelleftintegratingearth_2019,classifier excludes,exclude,data not valued,"""Satellite EO provide a source of measurements beyond traditional census data collection and statistical reporting. In this vein, this overview paper describes the current and potential uses of EO data and tools that can support the SDGs, particularly highlighting the activities of the Group on Earth Observations Global Agricultural Monitoring (GEOGLAM) Initiative"" but doesn't measure value relative to other information state...",,,,,,
Spatial Water Footprint Optimization Of Crop Planting: A Fuzzy Multiobjective Optimal Approach Based On Mod16 Evapotranspiration Products,"Zhang, Fan and Cai, Yanpeng and Tan, Qian and Wang, Xuan",2021,10.1016/j.agwat.2021.107096,zhang_spatialwaterfootprintoptimization_2021,classifier excludes,exclude,data not valued,"""Results show that (1) the remote sensing data can effectively improve the accuracy of water footprint estimation, and identify crop planting advantage distribution in spatial; (2) the planting area of crops with high evapotranspiration should be increased in irrigation districts near the upstream with high precipitation, which can improve economic benefit, increase utilization rate of green water, and fairness of allocation; (3) through optimization, the average total, blue, and gray water footprint among IDs are drop while green water utilization rates is raised comparing with status quo"" - but ESI data is just used as input; looks like it is valuing a model/algorithm instead",,,,,,
