page,p
1,the asian journal of technology management vol.
1,14 no.
1,"1 (2021): 19-34 economic potential of oil palm plantation using remote sensing-based technology in indonesia shinta rahma diana and farida center for aerospace policy studies, national institute of aeronautics and space (lapan), indonesia faculty of economics and business, upi yai, indonesia abstract."
1,"the productivity of indonesia's palm oil was considered low when referring to the 14.6 million ha land area in 2019, with the production of national palm oil only reaching 3.2 tons of cpo/ha/year."
1,"the uses of remote sensing technology as a means of monitoring and supervising, were expected to increase oil palm production in line with productivity."
1,"the purpose of this study was to determine the economic potential based on oil palm plantation productivity, with and without using remote sensing-based technology, as well as other variables likely to affect productivity."
1,primary and secondary data collection methods were also used in this research.
1,"there were three quantitative methods being used in this study, namely (i) multiple regression model with panel data, (ii) data envelopment analysis (dea) tool, and (iii) multinomial logistic regression technique."
1,"the results showed that the generated economic potential from the utilization of the remote sensing model, had efficient opportunity value of 10.48, which was higher than the non-usage of the technology."
1,"therefore, the main variables that affected productivity in this study, were fertilizer and labour."
1,"keywords: efficiency, oil-palm, remote sensing (spot 6), policy, binomial logistic 1."
1,"introduction indonesia is a nation with the biggest oil-palm the plantation sector contributed about 429 production around the world, yet its trillion rupiah to indonesia's gdp in 2016. productivity values are low, with estimations this contribution was greater than the oil and showing a 12.9% increase (48.42 million tons) gas sector, which contributed only 365 trillion in 2019, compared to 2018 (bps, 2019). rupiah."
1,"in the total plantation sector, the however, productivity of national oil-palm largest contribution came from oil palm remained very low, as regards the 14.6 million production, amounting to 260 trillion rupiah ha land area that produced 3.2 tons cpo/ha (bpdpks, 2018)."
1,"this shows that oil-palm per -year, in 2019, with the production level plantations are one of strategic industries for not showing a significant progress within 10 the nation."
1,"however, the expansion and years."
1,"according to rosdiana (2009), the development of oil palm plantations should productivity of public plantation in 2008, was protect the ecosystem's rich biodiversity, around 2.52 ton cpo/ha per year, in which is supported by government regulations indonesia."
1,"meanwhile, other nations with and public interventions, caring for the smaller plantation area have higher environment (vijay, pimm, jenkins, & smith, productivity values, which are about 8-10 2016), with the oil product generating food tons/ha per year."
1,even though indonesia has and energy as well.
1,"also, many negative issues a high economic potential from oil palm threatened the oil-palm commodity, part of plantation sector, its implementation is yet to which is the low rate of productivity value. be optimized, and needs serious improvement."
1,*corresponding author.
1,"email: shinta.rahmadiana@gmail.com received: november 24th, 2020; revised: december 9th, 2020; accepted: march 14th, 2020 doi: http://dx.doi.org/10.12695/ajtm.2021.14.1.2 print issn: 1978-6956; online issn: 2089-791x."
1,copyright@2021.
1,published by unit research and knowledge school of business and management-institut teknologi bandung 19
2,"diana and farida / economic potential of oil palm plantation using remote sensing-based technology in indonesia most studies stated that the utilization of one of the remote sensing satellites used for technology is likely to increase productivity oil palm monitoring, is the sensory data of (mcguckin, streitwieser, & doms, 2006; spot."
2,"moreover, the utilization of high sounder, 1989), as it is becoming one of the spatial resolution, spot 6 & 7 imagery, production factors of an economic unit."
2,"an provides information related to vegetation example of technology utilization is the objects, which possesses special remote sensing, which plays a role in characteristics, such as coconut, sago, and oil agricultural and oil palm plantation activities. palm trees."
2,"due to the implementation of also, the existence of high-level satellite multispectral classification method, the use of images, such as spectral, spatial, and temporal, spot-6 imagery for oil palm plants, have increased the use of remote sensing in possessed an accuracy of 96.9%."
2,"the ndvi agriculture, such as yield predictions, crops (normalized different vegetation index), and nutrition monitoring, irrigation msavi2 (second modified soil adjusted management, with diseases and pests control vegetation index), and panndvi (sishodia, ray, & singh, 2020)."
2,"(panchromatic normalized different vegetation index) transformation methods, moreover, remote sensing is used to ease also had accuracy values of 83.3%, 78.0%, and observation performance and productivity 80.74%, respectively (setyowati and murti bs, development in oil palm plantations."
2,"a high- 2015). resolution remote sensing generates data precision and useful information, which helps based on diana et al. (2019a), this study in observing the condition of oil palm reviews the possibility of economic potential plantations."
2,"also, previous studies from generated from oil palm plantations sector, wiratmoko, hartono, & murti (2016) and through the use of spot."
2,"the application of carolita, sitorus, manalu, & wiratmoko. the remote sensing technology in this research (2015), stated that remote sensing utilization was spot-6 (diana et al. 2019a), to help in estimating production value through plant generate the potential of oil palm plantations age, had quite a high accuracy level."
2,"therefore, productivity level."
2,"also, remote sensing there is a potential in utilizing remote sensing technology is utilized as a tool, to observe or technology, in order to assist monitoring monitor oil palm plantations."
2,"diana et al. activity in public and national plantation (2019a), focused on spot technical sector of sectors."
2,"also, the other benefits of remote data utilization for oil palm monitoring, while sensing in agricultural sector, especially this manuscript is on the economical aspect. plantation, is identification of the most suitable plant for a certain season (sharma, this study was conducted in ptpn iv, north liu, yang, & shi, 2017)."
2,"besides that, it also sumatera, which is the second province provides a high accuracy level of description contributing to the great production of oil in the agricultural sector, through the use of palms in indonesia, at 5.76 million tons, with repetitive frequency and real time monitoring riau in first position at 8.7 million tons."
2,"the tools (shanmugapriya, rathika, ramesh, & production location of oil palms in north janaki, 2019)."
2,"sumatera include labuhan batu, asahan, langkat, and simalungun districts."
2,"also, the the effectivity of using remote sensing data to area of oil palm plantations is around estimate productivity, is considered to be an 1,201,452.5 ha, which produces economic potential value of technology, in 15,832,922.56 tons of bff (bunch of fresh order to increase production rate."
2,this fruit).
2,"bff grows in bunches at the crown of overcomes the issue stated by bappenas the tree, and are very rich in oil."
2,"however, the (2010), which explained that one of the bff productivity owned by north sumatera problems in developing oil palm plantations people is still considered to be very low, with in indonesia was due to technological factor. estimations between 7 – 10 tons bff/ha per year."
2,"also, the potential of bff production, 20"
3,the asian journal of technology management vol.
3,"14 no. 1 (2021): 19-34 both to the government and private the commonly used production function is companies, are up to 20 or 25 tons/ha per the cobb-douglas equation (nuryartono, year (lpei, 2018), indicating the need for pasaribu, & panggabean, 2016)."
3,this cobb- massive improvements.
3,"furthermore, north douglas equation is a function involving two sumatera is the first region where oil palm is or more variables, which most times are both developed in indonesia (lpei, 2018)."
3,"in this dependent and independent (vilcu, 2011). supply chain structures, an oil palm research the input from the cobb-douglas centre has a role in pt."
3,"perkebunan nasional production function as an independent (ptpn) iv, which entails making production variable, varies in each industry, such as innovation into major priority."
3,"also, ptpn (saraswati, sari, & hapsari, 2019) the use of iv is one of the national oil palm plantations spare parts, rather than manpower."
3,"the producing bff, which potentially becomes cobb-douglas model is a production raw material for palm oil (cpo)."
3,"therefore, function developed in the end of 1920s, and the production potential of oil palm through mathematically represented as follow the use of a remote sensing technology in a (hossain & al-amri, 2010), company, is expected to increase productivity and the efficiency of input utilization, in order q = akαlβu (1) to maximize the output."
3,"where, the main objective of this research is to q = output, determine the efficiency potential, based on k = input for capital, the productivity value of oil palm plantations, l = labour, with and without using remote sensing a = constant, technology (spot-6), and the variables α and β = positive parameters, affecting it. u = the disturbance term."
3,"by transforming into a log, both sides 2."
3,literature study/ becomes a multiple linear regression.
3,"the hypotheses development function further explained that the bigger the a, the more advanced the technology."
3,"economic potential of oil palm sector moreover, α measures the increase of the economic potential of oil palm are shown percentage in q, due to 1% increment of l, from income and manpower aspects with k being constant."
3,"also, β measures the (christiani, mara, & naenggolan, 2013)."
3,"in increase of precentage in q, due to 1% economics, production is regarded as a increment of k, while l remains constant. combination process of input utilization into an output (case and fair, 2004)."
3,"this input a previous study (ardana and kariyasa, 2016) refers to the use of land resource, manpower, used seeds, labour, fertilizer, and pesticide to and more, such as, tools and machine, in a observe the impact on total production, with production process, with output being multiple ways by which the opportunity of classified into products and services."
3,the adopting technology is to be utilized.
3,"the management use of inputs are used to evaluate development of the cobb-douglas output performances, in terms of decision- production function is represented as follows, making, with mathematical relationship also explained in a production function."
3,"according y = a0sa1la2fa3pa4 e (2) to gordon and vaughan (2011), production function explained the basis of technology where, relation or production factors (input), with the y = production total, ton per hectare, generated output."
3,"s = seeds, rp per hectare, l = labour, rp per hectare, f = fertilizer, kg per hectare, 21"
4,"diana and farida / economic potential of oil palm plantation using remote sensing-based technology in indonesia p = pesticide, rp per hectare, remote-sensing had strong legal a0 = intercept from regression function, arrangements in indonesia, which were aj (j =1, 2, 3, 4) = slope parameters from regulated in, regression function, e = error term. (i) presidential instruction (inpres) no. 6 year 2012, regarding procurement, utilization, however, productivity function was affected quality control, high resolution remote by the price of bff, the use of fertilizer input, sensing satellite data processing and labour, and numbers of oil palm trees."
4,distribution.
4,"therefore, all those variables except the (ii) law of republic of indonesia, no."
4,"21 year product price, are the production factors that 2013, regarding space in chapter ii part first, determine productivity of oil palm plantation on article 7 paragraph 1 b and e, regarding (bakir, 2007)."
4,"space activity and part third, article 15 to 23."
4,"furthermore, another study regarding input (iii) presidential decree of republic of of agricultural production factors are seed, indonesia, number 45 year 2017, regarding climate, soil, fertilizer, and management space management master plan, year 2016 – (ppks, 2016a)."
4,"however, the soil element is 2040. observed from the nutrients on the leaves. (iv) governmental decree of republic of the materials needed to assess agricultural indonesia, number 11 year 2018, on productivity were the measurement from effectuation procedure of remote sensing aggregate output and input of its economic activity. value (alston, babcock, & pardey, 2010)."
4,"also, productivity inequality between varieties remote-sensing was defined as an potential and plantation realization have many information collected on an object, without causative factors, such as the use of fertilizer, having physical contact with the exact entity non-fertilizer technical culture (pruning, with (elachi & van zyl, 2006)."
4,"another definition weeds & harvest management), plants was expressed as the measurement of an compositions, and efficiency of yield (saragih, object, through the use of a recording device, 2017)."
4,"moreover, the research of ismiasih with no direct physical contact with the (2018), also observed the factors affecting the phenomenon being studied (howard, 1996). technical efficiency (te) of oil palm also, a digital remote sensing image refers to plantation productivity in west kalimantan, a visual representation being obtained, saved, which includes numbers of plant ages, manipulated, and shown in a base binary logic productive trees, fertilizers (urea, npk, and (danoedoro, 2012)."
4,"sp36), labour, and artificial pesticide."
4,"moreover, remote sensing satellites spot 6 2.2."
4,"remote sensing & 7 are the most recent generations of ot remote sensing activity has already started for sensory system with similar specifications, as quite some times in indonesia, and also the only difference are their launching confirmed to provide a very high economical periods."
