page,p
1,an economic value of remote-sensing information— application to agricultural production and maintaining groundwater quality professional paper 1796 u.s.
1,department of the interior u.s.
1,geological survey
2,"front cover this image shows a rendition of the next satellite in the landsat program, the landsat data continuity mission, which is scheduled to launch in february 2013."
2,the landsat program is a series of earth-observing satellite missions jointly managed by the u.s.
2,geological survey and nasa.
2,"since 1972, landsat satellites have col- lected information about earth from space."
2,"this science, known as remote sensing, has matured with the landsat program."
2,"landsat satellites have taken specialized digital photographs of earth’s continents and surrounding coastal regions for more than three decades, enabling people to study many aspects of our planet and to evaluate the dynamic changes caused by both natural processes and human practices."
2,(modified nasa image.)
2,"back cover image sources: image of landsat 7, landsat image of iowa study region, and photograph of iowa cornfield (u.s."
2,"geological survey); waverly, iowa, water tower (iowa department of natural resources /prior and others, 2003)."
3,an economic value of remote-sensing information—application to agricultural production and maintaining groundwater quality by william m.
3,"forney, ronald p."
3,"raunikar, richard l."
3,"bernknopf, and shruti k."
3,mishra professional paper 1796 u.s.
3,department of the interior u.s.
3,geological survey
4,"department of the interior ken salazar, secretary u.s."
4,geological survey marcia k.
4,"mcnutt, director u.s."
4,"geological survey, reston, virginia: 2012 for an overview of usgs information products, including maps, imagery, and publications, visit http://www.usgs.gov/pubprod for more information on the usgs—the federal source for science about the earth, its natural and living resources, natural hazards, and the environment, visit http://www.usgs.gov or call 1-888-ask-usgs (1-888-275-8747)."
4,"to order this and other usgs information products, visit http://store.usgs.gov any use of trade, firm, or product names is for descriptive purposes only and does not imply endorsement by the u.s."
4,government.
4,"although this information product, for the most part, is in the public domain, it also may contain copyrighted materials as noted in the text."
4,permission to reproduce any copyrighted items must be secured from the copyright owner.
4,"suggested citation: forney, w.m., raunikar, r.p., bernknopf, r.l., and mishra, s.k., 2012, an economic value of remote-sensing infor- mation—application to agricultural production and maintaining groundwater quality: u.s."
4,"geological survey profes- sional paper 1796, 60 p."
5,"iii contents abstract............................................................................................................................................................1 introduction.....................................................................................................................................................1 background........................................................................................................................................2 conceptual framework and economic model...........................................................................................3 value of information theory............................................................................................................5 empirical application and methods............................................................................................................6 agricultural production....................................................................................................................7 nitrate contamination of aquifers..................................................................................................7 dynamic nitrate pollution.......................................................................................................10 capture-zone delineation.................................................................................................12 crop-area calculation using mrli.................................................................................13 nitrogen-leaching estimation.........................................................................................13 hazard function and groundwater survival........................................................................15 value of information estimation....................................................................................................18 without mrli case..................................................................................................................18 with mrli case: enhanced landscape configuration.....................................................18 materials and data.......................................................................................................................................19 northeastern iowa study region.................................................................................................21 mrli: cropland data layer............................................................................................................21 crop price data...............................................................................................................................24 wells..................................................................................................................................................25 hydrogeologic characteristics.....................................................................................................26 soil characteristics.........................................................................................................................28 slope, depressions, and topographic position..........................................................................28 rivers, watersheds, and hydrologic response units...............................................................30 results and discussion................................................................................................................................30 agricultural production..................................................................................................................30 nitrate contamination of aquifers................................................................................................30 dynamic nitrate pollution.......................................................................................................30 leachate estimation................................................................................................................32 groundwater vulnerability......................................................................................................37 value of information results.........................................................................................................39 additional discussion.....................................................................................................................43 future research..............................................................................................................................43 summary and conclusions..........................................................................................................................47 acknowledgments........................................................................................................................................47 references cited..........................................................................................................................................48 appendixes....................................................................................................................................................54 appendix 1—integrated assessment approach’s assumptions and their types..............55 appendix 2—nitrogen cycle........................................................................................................56 appendix 3—kriging of hydraulic conductivity........................................................................57"
6,iv figures 1.
6,diagram showing conceptual framework for the integrated assessment approach.
6,adapted from antle and just (1991)...............................................................................................................4 2.
6,diagram showing production possibilities frontiers (ppf) for crop production and the survivability of potable groundwater.............................................................................................6 3.
6,diagram showing conceptual factors of the decisionmakers’ framework across space and time for the empirical application of the integrated assessment approach...........................8 4.
6,diagram showing conceptual schematic for models and biophysical drivers of the empirical application of the integrated assessment approach..................................................................9 5.
6,"graph showing trends in corn and soybeans in the 35-county northeastern iowa study region, 2001–2010............................................................................................................................10 6."
6,diagram showing the nitrogen cycle.................................................................................................11 7.
6,map showing arcaem/split model output and capture zone result on the national agricultural statistics service’s 2007 cropland data layer.....................................................14 8.
6,"map showing watersheds, rivers, and digital elevation model for the study region in northeastern iowa."
6,these geospatial datasets are also used as arcswat inputs............15 9.
6,diagram illustrating arbitrarily interval-censored data used for the proportional hazards model.................................................................................................................................................18 10.
6,map showing case study location in reference to the full extent of national agricultural statistics service’s 2007 cropland data layer for the midwest ............................................20 11.
6,"map showing the distribution of capture zones (czs) delineated using arcaem/split for the northeastern iowa study area, which includes 35 counties....................................................22 12."
6,"map showing crop rotation patterns with the national agricultural statistics service’s 2007 cropland data layer in a small part of the northeastern iowa study region, which includes the city of waterloo, 2000–2010....................................................................................23 13."
6,graph showing average annual real prices received for corn grain and soybeans by u.s. producers.
6,"the data are derived from the monthly agricultural prices reports of the national agricultural statistics service, agricultural statistics board, u.s."
6,department of agriculture........................................................................................................................................25 14.
6,"map of iowa showing a sample of national water quality assessment program (nawqa) wells in silurian, devonian, and ordovician aquifers and cities in the northeastern iowa study region .....................................................................................................................................26 15."
6,map showing interpolated well depths for the 35-county northeastern iowa study region....27 16.
6,map showing derived silurian and devonian aquifer thicknesses in the northeastern iowa study region.
6,source is iowa department of natural resources...........................................28 17.
6,map showing shaded relief of topography for the 35-county northeastern iowa study region............................................................................................................................29 18.
6,"subbasin-level yield maps for combined corn and soybean production estimated from arcswat for the northeastern iowa study region, 2001 to 2010.............................................33 19."
6,"maps showing subbasin-level nitrate leaching associated with corn and soybean production estimated from arcswat for the northeastern iowa study region, 2001 to 2010."
6,"avg., average; kg, kilograms................................................................................................38 20."
6,graph showing groundwater-survival probability curves of three subbasins in the 35-county northeastern iowa study region...................................................................................................39 21.
6,map showing groundwater failure and subbasin probability of survival for the northeastern iowa study region............................................................................................................................40 22.
6,bar graph showing annual flow of benefits with and without moderate-resolution land imagery (mrli) for the 35-county northeastern iowa study region.......................................41
7,map showing the net present value estimates for the value of information (voi) calculations at the subbasin-level that overlap the 35-counties in the northeastern iowa study region...................................................................................................42 24.
7,"image of regression kriging without residuals, using hydraulic conductivity for the 35-county northeastern iowa study region as an example........................................................................58 25."
7,"image of kriging regression residuals, using hydraulic conductivity for the 35-county northeastern iowa study region as an example........................................................................59 26."
7,"image of final regression kriged layer, using hydraulic conductivity for the 35-county northeastern iowa study region as an example........................................................................60 tables 1."
7,description of data used for estimation of economic value of remote-sensing information in the northeastern iowa study region........................................................................................17 2.
7,"shifting imaging sensors, accuracies, and metrics of the national agricultural statistics service’s cropland data layer, 2000–2010..................................................................................24 3."
7,"crop yield estimates and area calculations for four land-use/land-cover (lulc) types of the northeastern iowa study region, 2001–2010........................................................................31 4."
7,summary statistics for cumulative nitrate indicator (cni) data..............................................34 5.
7,ordinary-least-square estimates for cumulative nitrate indicator equations......................35 6.
7,arrelano-bond dynamic panel-data estimation results for cumulative nitrate indicator equations..........................................................................................................................................35 7.
7,arrelano-bond dynamic panel-data estimations using three categories of thickness for quaternary deposits.......................................................................................................................36 8.
7,"average nitrate leaching rates and total leached amount estimated from arcswat for the northeastern iowa study region, 2001–2010........................................................................37 9."
7,proportional hazards model estimated effects of explanatory factors on probablitly of well survival (equation 20).............................................................................................................37 10.
7,"united states corn and soybean production estimates and projections, 2000 to 2026, from food and agricultural policy research institue (2012).............................................................44 11."
7,"natural resources conservation service (nrcs) land conservation programs summary for the 35-county northeastern iowa study region, 2003 to 2011............................................45 12."
7,"united states biofuels production and feedstock source estimates and projections, 2005 to 2025, from food and agricultural policy research institue (2012).....................................46 13."
7,log-log regression equation for kriging of hydraulic conductivity in devonian and silurian aquifers in the northeastern iowa study region..........................................................57
8,vi acronyms and abbreviations aem analytic element method arcgis® esri™ geographic information systems software arcswat soil and water assessment tool for use with arcgis awifs advance wide field sensor cdl cropland data layer cni cumulative nitrate indicator clu common land unit cpi-u consumer price index for all urban consumers cz capture zone dem digital elevation model dss decision support system eai equivalent annual income epa environmental protection agency fapri food and agricultural policy research institute gmm generalized method of moments hc hydraulic conductivity hru hydrologic response unit huc hydrologic unit code iaa integrated assessment approach idnr iowa department of natural resources jas june agricultural survey lcdm landsat data continuity mission l/min.
8,liters per minute lulc land use/land cover mcl maximum contamination level mpd meters per day modis moderate-resolution imaging spectroradiometer mrli moderate-resolution land imagery nass national agricultural statistics service nawqa national water quality assessment program n2 nitrogen gas nh3 ammonia n2o nitrous oxide no3 - nitrate nhd national hydrography dataset npv net present value nrcs natural resources conservation service
9,"vii ok ordinary kriging ols ordinary least squares ppf production possibility frontier rats estima, inc., regression analysis of time series software rfs renewable fuel standard rk regression kriging stata statacorp lp statistical software usda u.s."
9,department of agriculture usgs u.s.
9,geological survey voi value of information wgsc western geographic science center
10,this page intentionally left blank.
11,an economic value of remote-sensing information— application to agricultural production and maintaining groundwater quality by william m.
11,"forney1, ronald p."
11,"raunikar1, richard l."
11,"bernknopf2, and shruti k."
11,"mishra3 mrli voi (in 2010 dollars) is $858 million ± $197 million abstract annualized, which corresponds to a net present value of $38.1 billion ± $8.8 billion for that flow of benefits in perpetuity."
11,"does remote-sensing information provide economic given that these economic estimates are derived from one benefits to society, and can a value be assigned to those case study in a part of only one state, the estimates provide benefits?"
11,can resource management and policy decisions be a lower estimate related to the potential value of the landsat better informed by coupling past and present earth obser- data continuity mission. vations with groundwater nitrate measurements?
11,"using an integrated assessment approach, the u.s."
11,"geological survey (usgs) applied an established conceptual framework to introduction answer these questions, as well as to estimate the value of information (voi) for remote-sensing imagery."
11,the approach this study demonstrates the value of information (voi) uses moderate-resolution land-imagery (mrli) data from the of moderate-resolution land imagery (mrli)—which mostly landsat and advanced wide field sensor satellites that has includes landsat imagery—using a case study of agricultural been classified by the national agricultural statistics service production and preservation of groundwater resources in the into the cropland data layer (cdl).
11,within the constraint agricultural state of iowa.
11,the mrli is used widely in several of the u.s.
11,"environmental protection agency’s public health sectors; however, the societal value of the operational applica- threshold for potable groundwater resources, the usgs mod- tion of the scientific information provided by mrli has not eled the relation between a population of the cdl’s land uses been quantified."
11,"in the analysis here, we use an integrated and dynamic nitrate (no3-) contamination of aquifers in a assessment approach (iaa) in the context of public health to case study region in northeastern iowa."
11,employing various estimate the value of mrli.
11,"our research has concentrated multiscaled, multitemporal geospatial datasets with mrli to on documenting changes in two ecosystem services and the maximize the value of agricultural production, the approach economic tradeoffs and impacts of those changes."
