page,p
1,coastal management issn: 0892-0753 (print) 1521-0421 (online) journal homepage: www.tandfonline.com/journals/ucmg20 potential benefits of coastal ocean observing systems to alaskan commercial fisheries katharine f.
1,wellman & marcus hartley to cite this article: katharine f.
1,"wellman & marcus hartley (2008) potential benefits of coastal ocean observing systems to alaskan commercial fisheries, coastal management, 36:2, 193-207, doi: 10.1080/08920750701868051 to link to this article: https://doi.org/10.1080/08920750701868051 published online: 03 mar 2008."
1,submit your article to this journal article views: 99 view related articles full terms & conditions of access and use can be found at https://www.tandfonline.com/action/journalinformation?
1,journalcode=ucmg20
2,"coastal management, 36:193–207, 2008 copyright © taylor & francis group, llc issn: 0892-0753 print / 1521-0421 online doi: 10.1080/08920750701868051 potential benefits of coastal ocean observing systems to alaskan commercial fisheries katharine f."
2,"wellman and marcus hartley northern economics, inc., anchorage, alaska, usa in this article we attempt to illustrate the potential benefits to alaskan commercial fisheries expected from enhancements to the alaska ocean observing system (aoos) through changes in fishery management strategies."
2,"in particular we show how the use of improved aoos data in research, stock assessment, and ultimately fisheries management has the potential to result in significant benefits in the bering sea and gulf of alaska groundfish and kodiak king crab fisheries."
2,we show through a case study approach that information such as might be provided by an enhanced aoos could conceivably contribute over $600 million in additional annual revenue in alaska’s groundfish fishery.
2,in addition we estimate that had the information from such a system been available in the 1970s and 1980s the kodiak king crab stock collapse could have been avoided and $60 million in annual revenues generated.
2,benefit estimates (as measured by revenue increases) are based on the assumptions that when better data is delivered those data will be integrated into stock assessment models; when better data are integrated into the models the new data will actually improve the reliability of the models; and when the reliability of the models is improved predictions will be accepted by managers or industry members.
2,"keywords alaska fisheries, coastal observing systems, economic benefits, value of information introduction this article describes an assessment of the potential value of information from an enhanced alaska ocean observation system (aoos) to select alaskan commercial fisheries."
2,the value of information is measured as a change in revenue resulting from increased harvest rates and avoidance of overfishing as dictated by fishery management strategies.
2,"because the current and potential use of aoos data in research, stock assessment and ultimately fisheries management varies considerably from fishery to fishery we chose a case study approach to the assess the value of improved coastal ocean observing systems to the commercial fisheries of the alaska region."
2,the case studies include: (1) bering sea and gulf of alaska groundfish; and (2) kodiak king crab fisheries.
2,"these case studies offer a qualitative discussion of the current and optimal coastal ocean observation systems information scenarios, decision- making and physical outcomes and a quantitative analysis of economic outcomes based address correspondence to katharine f."
2,"wellman, ph.d., 3642 west lawton st., seattle, wa, 98199, usa."
2,e-mail: kfwellman@comcast.net 193
3,194 k.
3,wellman and m.
3,hartley on plausible scenarios.
3,all assumptions and limitations to the economic assessment of the value of an improved aoos are stated explicitly in the third section.
3,"the analysis and final conclusions of this report were generated using information provided through interviews with directors of the alaska ocean observing system (aoos) and northwest association of networked ocean observing systems (nanoos) and over 25 biologists, oceanographers, fisheries managers, and fishers."
3,"we also relied on scientific studies, north pacific fisheries management council stock assessment fishery evaluation reports, and relevant secondary literature."
3,"background alaska ocean observation system the alaska ocean observing system (aoos) is part of a growing national network of integrated ocean observing systems that has the potential to improve the ability to rapidly detect changes in marine ecosystems and living resources, and predict future changes and their consequences for the public good (http://www.aoos.org)."
3,"while aoos is just in its developmental stage the system covers three zones, including (1) the gulf of alaska/southeastern alaska; (2) the aleutian islands/bering sea; (3) the artic ocean/beaufort sea/chukchi sea."
3,"currently data collected in these zones by various institutions and programs include atmospheric measurements (doppler radars, wind profilers, meteorological stations, faa weathercams, and satellite), oceanic measurement (noaa buoys, uaf buoys, codar, tide gauges, nos/ndbc water temps, and satellite), and river, soil and snow measurements (usda snotel met stations, toolik lake research station, usgs streamflow data, usda scan met stations, nws/usgs river stage and flow data, and nws/usgs snow data sites)."
3,"related programs include doe/atmospheric radiation measurement program pwssc nowcast/forecast project, gem project, salmon project, globtec, and the alaska sea life center research."
3,the types of measurement and level of coverage varies across the three alaskan zones (http://www.ims.uaf.edu:8000/caos/zone 1.html; zone 2.html; zone 3.html).
3,aoos represents a partnership that has been formed to develop a regional program in alaska.
3,"partners include the state of alaska; federal agencies such as the national oceanic and atmospheric administration and the department of interior; academic institutions including the university of alaska and university of washington; research organizations such as the north pacific research board, the alaska sealife center, the prince william sound science center, and the barrow artic science consortium; and industry groups including fisheries and aquaculture associations."
