title,author,year,pdf_out,csv_out
Investigating the Global Socio-Economic Benefits of Satellite Industry and Remote Sensing Applications,"Alvino, Letizia and Marino, Stefano and Ahmad, Uzair and Alvino, Arturo",2020,_data/societal_benefits/pdf/alvino_2020_investigating_the_global_socio.pdf,_data/societal_benefits/csv/alvino_2020_investigating_the_global_socio.csv
Earth Observation in Service of the 2030 Agenda for Sustainable Development,"Anderson, Katherine and Ryan, Barbara and Sonntag, William and Kavvada, Argyro and Friedl, Lawrence",2017,_data/societal_benefits/pdf/anderson_2017_earth_observation_in_service.pdf,_data/societal_benefits/csv/anderson_2017_earth_observation_in_service.csv
Using Data from Earth Observation to Support Sustainable Development Indicators: An Analysis of the Literature and Challenges for the Future,"Andries, Ana and Morse, Stephen and Murphy, Richard J. and Lynch, Jim and Woolliams, Emma R.",2022,_data/societal_benefits/pdf/andries_2022_using_data_from_earth.pdf,_data/societal_benefits/csv/andries_2022_using_data_from_earth.csv
Valuing User Preferences for Geospatial Fire Monitoring in Guatemala,"Berenter, Jared and Morrison, Isaac and Mueller, Julie M.",2021,_data/societal_benefits/pdf/berenter_2021_valuing_user_preferences_for.pdf,_data/societal_benefits/csv/berenter_2021_valuing_user_preferences_for.csv
Earth Observations Can Enable Cost-Effective Conservation of Eastern North Pacific Blue Whales: A Value of Information Analysis,"Bernknopf, Richard and Steinkruger, Andrew and Kuwayama, Yusuke",2021,_data/societal_benefits/pdf/bernknopf_2021_earth_observations_can_enable.pdf,_data/societal_benefits/csv/bernknopf_2021_earth_observations_can_enable.csv
Economic Assessment of the Use Value of Geospatial Information,"Bernknopf, Richard and Shapiro, Carl",2015,_data/societal_benefits/pdf/bernknopf_2015_economic_assessment_of_the.pdf,_data/societal_benefits/csv/bernknopf_2015_economic_assessment_of_the.csv
Monetising the Savings of Remotely Sensed Data and Information in Burn Area Emergency Response (BAER) Wildfire Assessment,"Bernknopf, Richard and Kuwayama, Yusuke and Gibson, Reily and Blakely, Jessica and Mabee, Bethany and Clifford, T. J. and Quayle, Brad and Epting, Justin and Hardy, Terry and Goodrich, David",2021,_data/societal_benefits/pdf/bernknopf_2021_monetising_the_savings_of.pdf,_data/societal_benefits/csv/bernknopf_2021_monetising_the_savings_of.csv
The Value of Remotely Sensed Information: The Case of a GRACE-Enhanced Drought Severity Index,"Bernknopf, Richard and Brookshire, David and Kuwayama, Yusuke and Macauley, Molly and Rodell, Matthew and Thompson, Alexandra and Vail, Peter and Zaitchik, Benjamin",2018,_data/societal_benefits/pdf/bernknopf_2018_the_value_of_remotely.pdf,_data/societal_benefits/csv/bernknopf_2018_the_value_of_remotely.csv
Socio-Economic Benefits from the Use of Earth Observation,"Borzacchiello, Maria Teresa and Craglia, Massimo",2011,_data/societal_benefits/pdf/borzacchiello_2011_socio_economic_benefits_from.pdf,_data/societal_benefits/csv/borzacchiello_2011_socio_economic_benefits_from.csv
Assessing the Value of Information for Water Quality Management in the North Sea,"Bouma, J. A. and {van der Woerd}, H. J. and Kuik, O. J.",2009,_data/societal_benefits/pdf/bouma_2009_assessing_the_value_of.pdf,_data/societal_benefits/csv/bouma_2009_assessing_the_value_of.csv
Assessing the Value of Earth Observation for Managing Coral Reefs: An Example from the Great Barrier Reef,"Bouma, Jetske A. and Kuik, Onno and Dekker, Arnold G.",2011,_data/societal_benefits/pdf/bouma_2011_assessing_the_value_of.pdf,_data/societal_benefits/csv/bouma_2011_assessing_the_value_of.csv
The Value of Earth Observation for Managing the Great Barrier Reef,"Bouma, Jetske and Kuik, Onno and Dekker, Arnold",NA,_data/societal_benefits/pdf/bouma_the_value_of_earth.pdf,_data/societal_benefits/csv/bouma_the_value_of_earth.csv
The Value of Earth Observation for Marine Water Quality Management,"Bouma, J. A. and Kuik, O. J. and {van der Woerd}, H. J. and Dekker, A. G.",2009,_data/societal_benefits/pdf/bouma_2009_the_value_of_earth.pdf,_data/societal_benefits/csv/bouma_2009_the_value_of_earth.csv
Bayesian Framework for Assessing the Value of Scientific Space Systems: Value of Information Approach with Application to Earth Science Spacecraft,"Brathwaite, Joy and Saleh, Joseph H.",2013,_data/societal_benefits/pdf/brathwaite_2013_bayesian_framework_for_assessing.pdf,_data/societal_benefits/csv/brathwaite_2013_bayesian_framework_for_assessing.csv
