topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15,topic16,topic17,topic18,topic19,topic20,doc_id
2.782319262394553e-7,2.7823192698389057e-7,2.7823192742534985e-7,2.782319259574901e-7,2.7823192833768035e-7,2.7823192774984494e-7,2.782319255798767e-7,2.7823192468628977e-7,0.999994713593401,2.782319256356303e-7,2.7823192574970316e-7,2.782319267899078e-7,2.7823192454792345e-7,2.7823192477424123e-7,2.7823192468569e-7,2.782319268353839e-7,2.7823192660470124e-7,2.782319257156635e-7,2.782319272025177e-7,2.7823192749146876e-7,text1
3.4799400420821327e-6,3.479940042309595e-6,3.4799400421319856e-6,3.479940042048574e-6,3.479940042303486e-6,3.4799400421866358e-6,3.479940042129e-6,3.4799400422177613e-6,3.479940042348039e-6,3.4799400421194373e-6,0.12911429247049216,3.479940042404369e-6,3.4799400421090696e-6,3.4799400418856126e-6,3.4799400419655873e-6,3.479940042189827e-6,3.479940042141892e-6,3.479940042204124e-6,0.8708230686087489,3.4799400421630497e-6,text10
1.4674921572331121e-06,1.4674921551397542e-6,1.4674921546893693e-6,1.467492154742528e-6,1.4674921544428155e-6,1.4674921573295773e-6,1.4674921567815084e-6,1.4674921546338964e-6,0.003013591521651222,1.4674921555155167e-6,0.005217602114228081,1.4674921548800349e-6,1.4674921557861645e-6,1.4674921545769733e-6,0.0012861882121153294,1.467492157185284e-6,1.4674921574434981e-6,0.9904591382775143,1.4674921560755827e-6,1.4674921546638342e-6,text11
4.46885661947043e-6,4.468856619998923e-6,4.468856619903923e-6,4.468856619232969e-6,4.468856619905797e-6,4.4688566199091e-6,0.05158684574522515,0.33888338287926667,4.4688566195638774e-6,4.468856619879705e-6,4.468856619595214e-6,4.468856619483034e-6,4.4688566192119225e-6,0.0042538606097166365,0.4550886946805622,0.02031615543400005,4.468856619909049e-6,0.12980849665855362,4.468856619688789e-6,4.468856619948923e-6,text12
9.790609996020487e-6,9.790609996061425e-6,9.790609996012906e-6,9.790609996149227e-6,9.79060999615336e-6,9.790609996050588e-6,9.790609995908382e-6,0.7080846110358743,9.790609996103872e-6,9.79060999614309e-6,9.790609996118309e-6,9.790609996053548e-6,9.790609996012165e-6,9.790609996211282e-6,0.2500905332834915,9.790609996049316e-6,9.79060999610056e-6,0.04165841531070091,9.79060999597386e-6,9.790609996155485e-6,text13
4.400205330861252e-6,4.400205331227238e-6,4.400205331207125e-6,4.400205330484336e-6,4.400205330856531e-6,4.4002053312411314e-06,4.400205331120802e-6,0.9966788370510754,4.400205330813625e-6,4.4002053311035995e-6,4.40020533101241e-6,4.400205330807029e-6,4.400205330524093e-6,4.400205330451522e-6,4.400205330858096e-6,4.400205331236448e-6,4.4002053311616586e-6,0.003241959252967428,4.400205331164758e-6,4.400205331059466e-6,text14
4.31846382701279e-6,4.3184638275807575e-06,4.31846382756489e-6,4.318463826690129e-6,4.318463826982647e-6,4.318463827311952e-6,4.318463827313432e-6,0.9974578841925535,4.318463827087027e-6,4.318463827312034e-6,4.318463827210775e-6,4.318463827241417e-6,4.3184638268850165e-6,4.318463826652323e-6,4.3184638271443535e-6,4.3184638274513335e-6,4.318463827494549e-6,0.002464383458556719,4.3184638273001355e-6,4.318463827462418e-6,text15
3.5753484276451205e-6,3.575348427967001e-6,3.575348427795403e-6,3.5753484275519935e-6,3.5753484275900558e-6,3.5753484278352684e-6,3.5753484278312924e-6,3.5753484276757014e-6,3.5753484277330574e-6,3.575348427671379e-6,3.5753484278223673e-06,3.5753484276682665e-6,0.9999320683798733,3.575348427500161e-6,3.575348427611105e-6,3.5753484277049837e-6,3.57534842778186e-6,3.5753484277695344e-6,3.575348427694512e-6,3.5753484280265128e-6,text16
7.0838725725078565e-6,0.9998654064211253,7.08387257262807e-6,7.083872572645388e-6,7.08387257263253e-6,7.083872571325053e-6,7.083872572460918e-6,7.083872572503502e-6,7.083872572504974e-6,7.0838725709680615e-6,7.083872572525336e-6,7.083872572440867e-6,7.083872572514894e-6,7.08387257268536e-6,7.083872572639355e-6,7.083872572606695e-6,7.0838725725395965e-6,7.0838725713013665e-6,7.083872572518369e-6,7.083872572720816e-6,text17
3.9987228192653325e-6,3.998722819520345e-6,3.998722819208168e-6,3.998722818995318e-6,3.998722819326085e-6,3.99872281932075e-6,3.998722819553049e-6,3.998722818935425e-6,3.998722819061421e-6,3.998722819054322e-6,3.998722819095059e-6,3.998722819130905e-6,0.9999240242664355,3.998722818958599e-6,3.99872281899342e-6,3.998722819265045e-6,3.998722818919083e-6,3.998722819240481e-6,3.998722819337769e-6,3.9987228193200804e-6,text18
