Reference,ESI source,Valuation method(s),Decision context,Value type(s)
"R. M. Adams, et al., The benefits to Mexican agriculture of an El Niño-southern oscillation (ENSO) early warning system. Agricultural and Forest Meteorology 115, 183–194 (2003).",ENSO early warning system (hypothetical),Value of information; Bayesian decision analysis,Agriculture,Instrumental (monetary)
"R. M. Adams, et al., Value of Improved Long-Range Weather Information. Contemporary Economic Policy 13, 10–19 (1995).",ENSO early warning system (hypothetical),Value of information; Bayesian decision analysis,Agriculture,Instrumental (monetary)
"A. Altamirano, et al., Landscape disturbance gradients: The importance of the type of scene when evaluating landscape preferences and perceptions. Land (2020). https://doi.org/10.3390/land9090306.",aerial images,Surveys of preference assessments,Other,Instrumental (non-monetary); Relational
"C. J. Amegnaglo, K. A. Anaman, A. Mensah-Bonsu, E. E. Onumah, F. Amoussouga Gero, Contingent valuation study of the benefits of seasonal climate forecasts for maize farmers in the Republic of Benin, West Africa. Climate Services 6, 1–11 (2017).",Seasonal forecasts (hypothetical),Stated preference; Surveys of preference assessments,Agriculture,Instrumental (monetary)
"R. A. Asiyanbola, An evaluation of public servant awareness and use of gis/remote sensing in africa-nigeria. South African Journal Of Geomatics (2018). https://doi.org/10.4314/sajg.v7i1.3.",remote sensing (hypothetical),Surveys of preference assessments,Capacity Building,Instrumental (monetary)
"H. Awada, et al., Assessing the performance of a large-scale irrigation system by estimations of actual evapotranspiration obtained by landsat satellite images resampled with cubic convolution. International Journal Of Applied Earth Observation And Geoinformation (2019). https://doi.org/10.1016/j.jag.2018.10.016.",Landsat,Value of information,Agriculture; Water Resources,Instrumental (monetary)
"B. A. Babcock, The Value of Weather Information in Market Equilibrium. American J Agri Economics 72, 63–72 (1990).",seasonal forecast (hypothetical),Value of information; Bayesian decision analysis,Agriculture,Instrumental (monetary)
"J. Bacenetti, et al., May smart technologies reduce the environmental impact of nitrogen fertilization? A case study for paddy rice. Science Of The Total Environment (2020). https://doi.org/10.1016/j.scitotenv.2020.136956.",Sentinel,Value of information,Agriculture; Climate & Resilience,Instrumental (monetary); Instrumental (non-monetary)
"J. F. Bard, A. Watkins, Improved rangeland management with an earth resource survey system. Technological Forecasting And Social Change (1983). https://doi.org/10.1016/0040-1625(83)90003-3.",Earth Resource Survey system,Value of information; Cost-benefit analysis,Agriculture,Instrumental (monetary); Instrumental (non-monetary)
"J. Berenter, I. Morrison, J. M. Mueller, Valuing User Preferences for Geospatial Fire Monitoring in Guatemala. Sustainability 13, 12077 (2021).",SIGMA-I,Stated preference,Wildland Fires,Instrumental (monetary)
"E. Bergseng, H. O. Ørka, E. Næsset, T. Gobakken, Assessing forest inventory information obtained from different inventory approaches and remote sensing data sources. Annals Of Forest Science (2015). https://doi.org/10.1007/s13595-014-0389-x.",airborne laser scanning,Value of information,Agriculture,Instrumental (monetary)
"R. Bernknopf, Agricultural case studies for measuring the value of information of earth observation and other geospatial information for decisions. Geovalue: The Socioeconomic Value Of Geospatial Information (2017). https://doi.org/10.1201/b20712.",Landsat;MODIS;AWiFS;GRACE,Value of information; Econometric analysis,Agriculture; Water Resources,Instrumental (monetary)
"R. L. Bernknopf, W. M. Forney, R. P. Raunikar, S. K. Mishra, Estimating the benefits of land imagery in environmental applications: a case study in nonpoint source pollution of groundwater. The Value Of Information: Methodological Frontiers And New Applications In Environment And Health (2012). https://doi.org/10.1007/978-94-007-4839-2_10.",MRLI (Landsat),Value of information,Water Resources; Agriculture,Instrumental (monetary)
"R. Bernknopf, et al., The Value of Remotely Sensed Information: The Case of a GRACE-Enhanced Drought Severity Index. Weather, Climate, and Society 10, 187–203 (2018).",GRACE,Bayesian decision analysis,Climate & Resilience,Instrumental (monetary)
"R. Bernknopf, D. S. Brookshire, P. T. Ganderton, “The Role Of Geoscience Information In Reducing Catastrophic Loss Using A Web-Based Economics Experiment” (2003).",Simulated,Stated preference,Disasters,Instrumental (monetary)
"R. L. Bernknopf, D. S. Brookshire, M. McKee, D. R. Soller, Estimating the Social Value of Geologic Map Information: A Regulatory Application. Journal of Environmental Economics and Management 32, 204–218 (1997).",geologic map,Bayesian decision analysis,Various,Instrumental (monetary)
"R. Bernknopf, C. Shapiro, Economic Assessment of the Use Value of Geospatial Information. IJGI 4, 1142–1165 (2015).",MRLI (Landsat),Value of information,Agriculture; Water Resources,Instrumental (monetary)
"R. Bernknopf, A. Steinkruger, Y. Kuwayama, “Earth Observations Can Enable Cost-Effective Conservation of Eastern North Pacific Blue Whales: A Value of Information Analysis” (Resources for the Future, 2021).",Remotely sensed data and information,Value of information,Ecological Conservation,Instrumental (monetary); Instrumental (non-monetary)
"P. Bettinger, et al., Stakeholder perceptions on the need for updated tree species distribution maps. Forests (2021). https://doi.org/10.3390/f12101367.",remote sensing,Surveys of preference assessments,Agriculture,Instrumental (monetary)
"I. Bobojonov, A. Aw-Hassan, R. Sommer, Index-based insurance for climate risk management and rural development in syria. Climate And Development (2014). https://doi.org/10.1080/17565529.2013.844676.",MODIS,Econometric analysis,Agriculture; Climate & Resilience,Instrumental (monetary)
"M. Borowitz, J. Zhou, K. Azelton, I.-Y. Nassar, Examining the value of satellite data in halting transmission of polio in Nigeria: A socioeconomic analysis. Data & Policy 5, e16 (2023).",DigitalGlobe,Value of information,Health & Air Quality; Capacity Building,Instrumental (monetary); Instrumental (non-monetary)
"S.-A. Boukabara, R. N. Hoffman, Optimizing observing systems using aspen: An analysis tool to assess the benefit and cost effectiveness of observations to earth system applications. Bulletin Of The American Meteorological Society (2022). https://doi.org/10.1175/bams-d-22-0004.1.",various,Cost-benefit analysis,Various,Instrumental (monetary)
"J. A. Bouma, O. J. Kuik, H. J. van der Woerd, A. G. Dekker, The value of Earth Observation for marine water quality management in Remote Sensing of Environment, (2009), pp. 1–4.",EO data,Bayesian decision analysis; Surveys of preference assessments,Agriculture; Ecological Conservation,Instrumental (monetary)
"J. A. Bouma, H. J. van der Woerd, O. J. Kuik, Assessing the value of information for water quality management in the North Sea. Journal of Environmental Management 90, 1280–1288 (2009).",Global Earth Observation (hypothetical),Bayesian decision analysis; Surveys of preference assessments,Ecological Conservation; Agriculture,Instrumental (monetary); Instrumental (non-monetary)
"J. A. Bouma, O. Kuik, A. G. Dekker, Assessing the value of Earth Observation for managing coral reefs: An example from the Great Barrier Reef. Science of The Total Environment 409, 4497–4503 (2011).",Ocean color satellite data (hypothetical),Bayesian decision analysis; Surveys of preference assessments,Ecological Conservation,Instrumental (monetary); Instrumental (non-monetary)
"J. Bouma, O. Kuik, A. Dekker, The Value of Earth Observation for Managing the Great Barrier Reef. (2009).",Ocean color satellite data (hypothetical),Bayesian decision analysis; Surveys of preference assessments,Ecological Conservation,Instrumental (monetary); Instrumental (non-monetary)
"A. Bounfour, E. Lambin, How valuable is remotely sensed information? The case of tropical deforestation modelling. Space Policy (1999). https://doi.org/10.1016/s0265-9646(99)00025-9.",Landsat,Cost-benefit analysis,Ecological Conservation,Instrumental (monetary)
"D. S. Boyd, et al., Citizen science for earth observation (citzens4eo): Understanding current use in the uk. International Journal Of Remote Sensing (2022). https://doi.org/10.1080/01431161.2022.2076574.",Maxar WorldView imagery,Semi-structured and in-depth interviews; Surveys of preference assessments,Various; Capacity Building,Instrumental (monetary); Instrumental (non-monetary); Relational
"J. Brathwaite, J. H. Saleh, Bayesian framework for assessing the value of scientific space systems: Value of information approach with application to earth science spacecraft. Acta Astronautica 84, 24–35 (2013).",Hypothetical hurricane forecast,Bayesian decision analysis,Climate & Resilience,Instrumental (monetary)
"D. J. Bridges, et al., Accuracy and impact of spatial aids based upon satellite enumeration to improve indoor residual spraying spatial coverage. Malaria Journal (2018). https://doi.org/10.1186/s12936-018-2236-2.",Satellite imagery,Econometric analysis,Health & Air Quality,Instrumental (non-monetary)
"M. Bruno Soares, Assessing the usability and potential value of seasonal climate forecasts in land management decisions in the southwest UK: challenges and reflections. Adv. Sci. Res. 14, 175–180 (2017).",seasonal climate forecast,Focus groups; Semi-structured and in-depth interviews,Agriculture,Instrumental (monetary)
"A. Burgin, Compliance with european union environmental law: An analysis of digitalization effects on institutional capacities. Environmental Policy And Governance (2020). https://doi.org/10.1002/eet.1877.",Copernicus;satellite;digitalization,Semi-structured and in-depth interviews,Capacity Building,Instrumental (monetary)
"V. E. Cabrera, D. Letson, G. Podestá, The value of climate information when farm programs matter. Agricultural Systems 93, 25–42 (2007).",ENSO forecasts,Value of information,Agriculture,Instrumental (monetary)
"A. Chamuah, R. Singh, Securing sustainability in indian agriculture through civilian uav: a responsible innovation perspective. Sn Applied Sciences (2020). https://doi.org/10.1007/s42452-019-1901-6.",UAV,Semi-structured and in-depth interviews,Agriculture,Instrumental (monetary); Instrumental (non-monetary); Relational
"C.-C. Chen, B. McCarl, H. Hill, Agricultural Value of ENSO Information under Alternative Phase Definition. Climatic Change 54, 305–325 (2002).",ENSO forecasts,Value of information,Agriculture; Climate & Resilience,Instrumental (monetary)
"B. R. Christensen, Use of UAV or remotely piloted aircraft and forward-looking infrared in forest, rural and wildland fire management: evaluation using simple economic analysis. N.Z. j. of For. Sci. 45, 16 (2015).",UAV,Surveys of preference assessments; Cost-benefit analysis,Disasters; Wildland Fires,Instrumental (monetary)
"F. Collard, C. Haritchabalet, Valuing satellite systems to support fishing in a dynamic competitive model. Applied Economics (2012). https://doi.org/10.1080/00036846.2010.526581.",hypothetical satellite system to detect fish (For example Collecte Localisation Satellites (http://www.cls.fr/) and Orbimage (http://www.orbimage.com/) have both developed satellite system tracking tuna shoals over the world.),Value of information,Agriculture,Instrumental (monetary)
"M. Colloredo-Mansfeld, F. J. Laso, J. Arce-Nazario, Drone-based participatory mapping: Examining local agricultural knowledge in the galapagos. Drones (2020). https://doi.org/10.3390/drones4040062.",UAV,Semi-structured and in-depth interviews; Surveys of preference assessments,Agriculture; Ecological Conservation,Instrumental (monetary); Instrumental (non-monetary); Relational
"R. Cooke, et al., Using the social cost of carbon to value earth observing systems. Climate Policy (2017). https://doi.org/10.1080/14693062.2015.1110109%2520and%2520ce%2520and%2520real%2520option%2520value%2520and%2520social%2520cost%2520of%2520carbon%2520and%2520value%2520of%2520information%2520and%2520united%2520states%2520and%2520carbon%2520emission%2520and%2520decision%2520making%2520and%2520emission%2520control%2520and%2520environmental%2520economics%2520and%2520environmental%2520policy.",CLARREO,Value of information; Real options analysis,Climate & Resilience,Instrumental (monetary)
"R. Cooke, A. Golub, Market-based methods for monetizing uncertainty reduction. Environ Syst Decis 40, 3–13 (2020).",SMAP,Real options analysis; Value of information,Agriculture,Instrumental (monetary)
"R. Cooke, B. A. Wielicki, D. F. Young, M. G. Mlynczak, Value of information for climate observing systems. Environ Syst Decis 34, 98–109 (2014).",CLARREO,Value of information,Climate & Resilience,Instrumental (monetary)
"C. J. Costello, R. M. Adams, S. Polasky, The Value of El Niño Forecasts in the Management of Salmon: A Stochastic Dynamic Assessment. American J Agri Economics 80, 765–777 (1998).",ENSO forecasts,Value of information,Agriculture; Ecological Conservation,Instrumental (monetary)
"L. Cristini, et al., Cost and value of multidisciplinary fixed-point ocean observatories. Marine Policy 71, 138–146 (2016).",FixO3 ocean observatory network,Cost-benefit analysis,Climate & Resilience; Ecological Conservation,Instrumental (monetary)
