topic,term,prob
topic 1,classification,0.017174648908098642
topic 1,accuracy,0.014606270924502932
topic 1,method,0.013664880673637109
topic 1,images,0.012600455145088249
topic 1,based,0.01258939568063341
topic 1,image,0.011068198150726485
topic 1,data,0.010745220076703144
topic 1,results,0.00931510570606325
topic 1,sensing,0.009032849475773822
topic 1,remote,0.008686576278987593
topic 1,water,0.008091691135815026
topic 1,proposed,0.008047906898998685
topic 1,mapping,0.007918816817907641
topic 1,algorithm,0.007529821501154035
topic 1,monitoring,0.006659290795019337
topic 1,resolution,0.006585056326994774
topic 1,model,0.00638017213624034
topic 1,time,0.006241481091266693
topic 1,detection,0.006156172326331561
topic 1,spectral,0.006118149331068505
topic 1,methods,0.0058756084152781765
topic 1,spatial,0.005759641052937854
topic 1,study,0.00527414877506653
topic 1,information,0.005136076093718293
topic 1,features,0.005000869578718614
topic 1,satellite,0.004921509814173776
topic 1,imagery,0.004752976755273633
topic 1,sentinel,0.004648176797287281
topic 1,approach,0.004497688920109384
topic 1,landsat,0.004420038197671295
topic 1,index,0.004309819886498166
topic 1,pixel,0.004286721392938362
topic 1,network,0.004130631055825163
topic 1,map,0.0037213679538085774
topic 1,sar,0.0036739721353067096
topic 1,multi,0.0035483859027027106
topic 1,environmental,0.0034458793501742956
topic 1,algorithms,0.003372920823917581
topic 1,machine,0.003353056263972157
topic 1,management,0.003339746957669818
topic 1,compared,0.0033340223069223216
topic 1,performance,0.0032608779727118925
topic 1,kappa,0.00315437114787577
topic 1,learning,0.00314457972369784
topic 1,land,0.003144540060627157
topic 1,feature,0.0030788043659289634
topic 1,object,0.0030028108993588967
topic 1,extraction,0.002951371272413172
topic 1,optical,0.0029243244394821614
topic 1,maps,0.0029056253177998357
topic 1,accurate,0.0028667302091098636
topic 1,paper,0.0028262464683005595
topic 1,classes,0.0027630545866014432
topic 1,level,0.002644145901576199
topic 1,support,0.0025876873541581047
topic 1,vector,0.002457541558777769
topic 1,temporal,0.002448116992659002
topic 1,scale,0.0024429532762105005
topic 1,improved,0.002386233972362053
