topic,term,prob
topic 1,ecosystem,0.061240448257703264
topic 1,land,0.03722401838407551
topic 1,services,0.03432721609330692
topic 1,esv,0.025317748489427326
topic 1,service,0.023016507243193755
topic 1,study,0.013997174272397455
topic 1,million,0.012183967189381447
topic 1,ecological,0.010913979320307026
topic 1,results,0.009325998893591281
topic 1,total,0.009258064780798757
topic 1,development,0.008497697100891686
topic 1,water,0.007633512077580457
topic 1,values,0.007355210158346969
topic 1,change,0.0072764468401216005
topic 1,sustainable,0.005944683542811961
topic 1,increased,0.005876749208571356
topic 1,esvs,0.005393505317296538
topic 1,grassland,0.0052752171400826465
topic 1,china,0.005099759070347576
topic 1,decreased,0.004967824054219672
topic 1,ess,0.004632068939866526
topic 1,based,0.00451826552912007
topic 1,regulation,0.004420191690469061
topic 1,usd,0.004260319088318169
topic 1,protection,0.004191926074322154
topic 1,billion,0.004156305732129488
topic 1,provide,0.004086902098564046
topic 1,spatial,0.004065081757899246
topic 1,ecosystems,0.003985557961957814
topic 1,method,0.0038880890357499307
topic 1,remote,0.003838716433143821
topic 1,construction,0.003801151242926175
topic 1,sensing,0.0037794772300760826
topic 1,functions,0.0037693508645348386
topic 1,cultivated,0.003697500941790494
topic 1,cropland,0.0036943801972266093
topic 1,coefficients,0.0036556319443204937
topic 1,economic,0.003545734245575035
topic 1,impact,0.0034600074438447294
topic 1,natural,0.0034065305621016986
topic 1,cover,0.0034060388458571835
topic 1,analysis,0.003363285017217362
topic 1,data,0.0032582679758157485
topic 1,yuan,0.0032422822688461302
topic 1,images,0.0031232543387822212
topic 1,expansion,0.0030733499037872538
topic 1,landscape,0.003035332760797038
topic 1,province,0.00294596059097777
topic 1,types,0.002926385765022292
topic 1,management,0.0028906474496690057
topic 1,loss,0.002871702573792592
topic 1,urbanization,0.0028457093272173852
topic 1,estimated,0.0028402371198307046
topic 1,region,0.002817285209161369
topic 1,forest,0.0027668770721070925
topic 1,resources,0.0026152097794610737
topic 1,regional,0.002604728718788794
topic 1,significant,0.0025896593006244292
topic 1,conservation,0.0025876696737397982
topic 1,low,0.0025512899991411613
topic 1,period,0.002509048151036208
topic 1,increase,0.002500441510158426
topic 1,caused,0.002479123592714977
topic 1,decrease,0.0024631842767629543
topic 1,due,0.002423898140472253
topic 1,landsat,0.002417281808249805
topic 1,cny,0.0024112141418502204
topic 1,human,0.0024098329323511787
topic 1,farmland,0.0023673130662516806
topic 1,lucc,0.002365428944321486
topic 1,analyzed,0.0023435109777228086
topic 1,function,0.002335730394766717
topic 1,policy,0.0022421933905883975
