topic,term,prob
topic 1,land,0.1459955499743467
topic 1,cover,0.03531373099489239
topic 1,change,0.027450170801169356
topic 1,study,0.02112870565954823
topic 1,lulc,0.020353266575201385
topic 1,esv,0.016370532986467675
topic 1,landscape,0.01447905011326629
topic 1,increased,0.014210170754167094
topic 1,forest,0.009741732948171739
topic 1,decreased,0.00890336085784276
topic 1,results,0.008639833767685809
topic 1,period,0.008443649442114358
topic 1,increase,0.008043207137540689
topic 1,cultivated,0.007861890393558661
topic 1,total,0.007758529172140977
topic 1,grassland,0.007521086151277794
topic 1,types,0.0073509682445923085
topic 1,landsat,0.00720612870835461
topic 1,water,0.006779780301036568
topic 1,development,0.006761511945865234
topic 10,grassland,0.03288392646856003
topic 10,management,0.018862343012540545
topic 10,vegetation,0.017462145400782742
topic 10,grasslands,0.01582190006761515
topic 10,grazing,0.013888422968704609
topic 10,pasture,0.011461600262803155
topic 10,grass,0.011081561265438805
topic 10,cover,0.010419472115123564
topic 10,livestock,0.010378321808215185
topic 10,rangeland,0.008782232814736064
topic 10,conservation,0.00763305414472398
topic 10,forage,0.006666421993830155
topic 10,biomass,0.006113247579958233
topic 10,corridor,0.0060426521351913095
topic 10,rangelands,0.005775585787262445
topic 10,pastures,0.005301494789130166
topic 10,woody,0.005265285161260951
topic 10,plant,0.004954115476310347
topic 10,study,0.004799016785246584
topic 10,practices,0.004703249669645091
topic 11,water,0.05796815409723463
topic 11,lake,0.04366691319211407
topic 11,quality,0.024265300969577998
topic 11,lakes,0.01867317849416529
topic 11,riparian,0.011538334916181846
topic 11,data,0.0097617912096213191
topic 11,monitoring,0.0096053311142897
topic 11,study,0.009195611752660605
topic 11,river,0.009089155436755317
topic 11,remote,0.008467101231550745
topic 11,sensing,0.00817554056917333
topic 11,chl,0.00780272344827155
topic 11,concentration,0.007743127564754332
topic 11,chlorophyll,0.007576280393212114
topic 11,management,0.006971884914668405
topic 11,satellite,0.006734432295494427
topic 11,values,0.0065763128922880325
topic 11,level,0.006417121463421509
topic 11,situ,0.006123559680074606
topic 11,aquatic,0.005730329530691818
topic 12,urban,0.09920509790193785
topic 12,city,0.03148154751833027
topic 12,development,0.02047412574517529
topic 12,cities,0.020277557751916035
topic 12,spatial,0.0187742714274839
topic 12,urbanization,0.017959669766902157
topic 12,land,0.014693311116659792
topic 12,population,0.013195450025512756
topic 12,growth,0.010821408850981493
topic 12,economic,0.010443081373529239
topic 12,planning,0.009576561187550809
topic 12,study,0.009241019040456976
topic 12,expansion,0.009194774648843407
topic 12,built,0.008461741106370298
topic 12,landscape,0.007983816377214062
topic 12,pattern,0.0074609309886536496
topic 12,rural,0.0072905936780655566
topic 12,space,0.0066259032521514775
topic 12,results,0.006571881417691766
topic 12,factors,0.006481649957487968
topic 13,basin,0.04097608183399439
topic 13,river,0.03197008959185958
topic 13,precipitation,0.026175476679798422
topic 13,data,0.024938129810374087
topic 13,rainfall,0.021779301935809407
topic 13,water,0.020354243942274797
topic 13,hydrological,0.01868544286733984
topic 13,satellite,0.014965075201863048
topic 13,runoff,0.014447845261945733
topic 13,products,0.0130851913792371
topic 13,study,0.00949445751011171
topic 13,based,0.00924005800671931
topic 13,model,0.00888427986620496
topic 13,results,0.0076036877184529165
topic 13,hydrologic,0.007587758364792939
topic 13,basins,0.007480287804262045
topic 13,management,0.007096500496449279
topic 13,discharge,0.006995058772574123
topic 13,values,0.0066428992590513115
topic 13,resources,0.0066320596194345115
topic 14,data,0.025631060546186517
topic 14,resolution,0.02173991366396827
topic 14,accuracy,0.02148090586167754
