doc_id,topic,prob
1,topic 1,6.566611011471497e-4
1,topic 2,6.56661084401469e-4
1,topic 3,0.01985054044340344
1,topic 4,0.9413413444710467
1,topic 5,0.034211482352242376
1,topic 6,6.566617595192629e-4
1,topic 7,6.566619852181112e-4
1,topic 8,6.566638162059184e-4
1,topic 9,6.566630651180077e-4
1,topic 10,6.566599216975174e-4
2,topic 1,0.13532034266737283
2,topic 2,5.062530826838598e-4
2,topic 3,0.019879906671902023
2,topic 4,5.062521187801419e-4
2,topic 5,5.062532560739159e-4
2,topic 6,5.062527062540635e-4
2,topic 7,0.28861036431300163
2,topic 8,0.4910134913215678
2,topic 9,5.062530704343155e-4
2,topic 10,0.06264463079192936
3,topic 1,8.064000308008703e-4
3,topic 2,0.10576015859620887
3,topic 3,8.063991332142445e-4
3,topic 4,8.064006584365837e-4
3,topic 5,8.063995659548518e-4
3,topic 6,8.063982871105444e-4
3,topic 7,8.063994676480363e-4
3,topic 8,8.063995413164663e-4
3,topic 9,0.8877886433246368
3,topic 10,8.064013946727087e-4
4,topic 1,5.026543877360703e-4
4,topic 2,0.25560472417510677
4,topic 3,5.026550085051366e-4
4,topic 4,5.026546139575284e-4
4,topic 5,5.026535743297269e-4
4,topic 6,0.011599705783619135
4,topic 7,5.026540593207781e-4
4,topic 8,5.026538573697853e-4
4,topic 9,0.7292769905160202
4,topic 10,5.026540240349446e-4
5,topic 1,8.157016665775091e-4
5,topic 2,0.0792965252435185
5,topic 3,8.15701185520129e-4
5,topic 4,0.32788070044167966
5,topic 5,8.156997566761431e-4
5,topic 6,8.157023039786785e-4
5,topic 7,8.157006013761507e-4
5,topic 8,8.157008833446259e-4
5,topic 9,0.5871128671549182
5,topic 10,8.157007624104099e-4
6,topic 1,3.294124711484903e-4
6,topic 2,0.3292794624947577
6,topic 3,0.18724663959625548
6,topic 4,0.4811680094895802
6,topic 5,3.2941219942535e-4
6,topic 6,3.294120492736067e-4
6,topic 7,3.2941316953752966e-4
6,topic 8,3.294126327506345e-4
6,topic 9,3.294129785480983e-4
6,topic 10,3.294129187228687e-4
7,topic 1,5.811258588142238e-4
7,topic 2,0.6261294841442134
7,topic 3,0.10579338967745507
7,topic 4,0.19599697661415688
7,topic 5,5.81124611344091e-4
7,topic 6,5.811248540752147e-4
7,topic 7,5.811243785679552e-4
7,topic 8,0.06859339948031434
7,topic 9,5.811255981867681e-4
7,topic 10,5.811247828719487e-4
8,topic 1,4.542310174802854e-4
8,topic 2,4.5423143950243454e-4
8,topic 3,4.5423075056765384e-4
8,topic 4,4.542310687180853e-4
8,topic 5,4.5423120396900025e-4
8,topic 6,4.542315920896539e-4
8,topic 7,4.542306323350754e-4
8,topic 8,4.542309236030161e-4
8,topic 9,0.9959119197432857
8,topic 10,4.542316284491442e-4
9,topic 1,4.4285579855446314e-4
9,topic 2,0.09863222102812999
9,topic 3,4.4285444831582035e-4
9,topic 4,4.428548694731236e-4
9,topic 5,4.42855635354437e-4
9,topic 6,0.09478638758923189
9,topic 7,0.1259192294868295
9,topic 8,4.428561499781255e-4
9,topic 9,4.4285449800210956e-4
9,topic 10,0.6780050304961306
10,topic 1,3.5238962516145764e-4
10,topic 2,0.03837360103161239
10,topic 3,3.523927182624057e-4
10,topic 4,3.5238948992255255e-4
10,topic 5,3.523894351094813e-4
10,topic 6,3.523891148044984e-4
10,topic 7,0.3722371633693196
10,topic 8,0.1405850447968289
10,topic 9,3.5238982336151015e-4
10,topic 10,0.44668985059561717
11,topic 1,8.349586113926434e-4
11,topic 2,0.16868190173911418
11,topic 3,8.349617952326972e-4
11,topic 4,0.08240000476699941
11,topic 5,0.06719604051067005
11,topic 6,8.349602723333591e-4
11,topic 7,8.349594433419287e-4
11,topic 8,8.349601258201908e-4
11,topic 9,0.6767122940860878
11,topic 10,8.349586490077687e-4
12,topic 1,0.10065876190172936
12,topic 2,4.956106636151839e-4
12,topic 3,4.95609963813627e-4
12,topic 4,4.956097538991178e-4
12,topic 5,4.95610330336829e-4
12,topic 6,4.95610709255362e-4
12,topic 7,0.7532905721957758
12,topic 8,0.1425813928322655
12,topic 9,4.956108100994604e-4
12,topic 10,4.956108392097113e-4
13,topic 1,4.4564542278778747e-4
13,topic 2,4.4564493114440564e-4
13,topic 3,4.456458474976931e-4
13,topic 4,4.4564521369214774e-4
13,topic 5,4.456443574652751e-4
13,topic 6,4.4564546806612367e-4
13,topic 7,0.32798951611423544
13,topic 8,0.6684453223904525
13,topic 9,4.456449406882798e-4
13,topic 10,4.4564531397029697e-4
14,topic 1,0.06323769694884827
14,topic 2,3.7881373646875293e-4
14,topic 3,3.7881380956174504e-4
14,topic 4,0.1293528177278129
14,topic 5,3.78813754299378e-4
14,topic 6,0.1519695691458743
14,topic 7,3.788130192339736e-4
14,topic 8,3.788132556390616e-4
14,topic 9,3.7881360340966385e-4
14,topic 10,0.6531670349988519
15,topic 1,0.1506446405070145
15,topic 2,7.389961008929254e-4
15,topic 3,0.1633473357987564
15,topic 4,0.6808350579264637
15,topic 5,7.389944624158387e-4
15,topic 6,7.389964488029565e-4
15,topic 7,7.38994346920359e-4
15,topic 8,7.389950877540945e-4
15,topic 9,7.389951733288466e-4
15,topic 10,7.389941476503572e-4
16,topic 1,0.22505585293494934
16,topic 2,6.165888274677273e-4
16,topic 3,6.165891877009525e-4
16,topic 4,0.10945472851666287
16,topic 5,6.165886159303216e-4
16,topic 6,6.16590587582087e-4
16,topic 7,6.165899577509154e-4
16,topic 8,6.165904751270945e-4
16,topic 9,6.165896465365763e-4
16,topic 10,0.6611732912502921
17,topic 1,0.30997528975000666
17,topic 2,0.0013169031706600956
17,topic 3,0.0013169026493945039
17,topic 4,0.6794894954725035
17,topic 5,0.0013169009850866292
17,topic 6,0.0013169016402352891
17,topic 7,0.0013169006653700618
17,topic 8,0.0013169005121787432
17,topic 9,0.0013169034361605189
