title,author,year,n_tokens,summary,error,pass
Investigating the Global Socio-Economic Benefits of Satellite Industry and Remote Sensing Applications,"Alvino, Letizia and Marino, Stefano and Ahmad, Uzair and Alvino, Arturo",2020,177216,NA,manual: context window exceeded,NA
Earth Observation in Service of the 2030 Agenda for Sustainable Development,"Anderson, Katherine and Ryan, Barbara and Sonntag, William and Kavvada, Argyro and Friedl, Lawrence",2017,105713,NA,manual: context window exceeded,NA
Using Data from Earth Observation to Support Sustainable Development Indicators: An Analysis of the Literature and Challenges for the Future,"Andries, Ana and Morse, Stephen and Murphy, Richard J. and Lynch, Jim and Woolliams, Emma R.",2022,8752,"The paper employs a bibliographic research methodology in two steps. In the first step, information about the satellite industry and remote sensing is gathered from main federal, government, and private space agencies and associations. In the second step, only peer-reviewed or blind-reviewed academic books and papers are examined. Scopus and Web of Science are used to access articles, selected based on keywords related to the satellite industry, economic benefits of satellites, and remote sensing. The selected papers span across various domains such as economic, management, agriculture, remote sensing, and conferences.    The study delves into the economic aspects of the satellite industry, highlighting its substantial contributions to the global economy. It covers the growth in revenues and investments in the satellite industry, with a detailed analysis indicating a consistent increase in global satellite industry revenues over the years. The employment opportunities in the satellite industry, including the roles of scientists, engineers, and technicians, are also explored. The study identifies three main applications of satellites: government, military, and commercial uses, discussing their evolving significance over time.    Remote sensing (RS) applications are also a focus in the paper, with an emphasis on the socio-economic benefits of RS technologies in various sectors. The study underscores the extensive applications of RS in different fields, such as agriculture, geology, forestry, and more. RS data is highlighted for its unique advantages for economists, providing access to hard-to-obtain information, high spatial resolution, and wide geographic coverage. The paper categorizes major RS applications across different sectors, including military surveillance, environmental monitoring, human activities improvement, and addressing environmental and illegal issues caused by human activities.    In conclusion, the paper recognizes the monumental impact of earth observation, through the satellite industry and remote sensing applications, on society and economic development. The limitations of the study are acknowledged, such as a lack of analysis on satellite industry costs and non-satellite industry benefits, providing avenues for future research in these areas.",NA,1
Valuing User Preferences for Geospatial Fire Monitoring in Guatemala,"Berenter, Jared and Morrison, Isaac and Mueller, Julie M.",2021,20092,NA,manual: context window exceeded,NA
Earth Observations Can Enable Cost-Effective Conservation of Eastern North Pacific Blue Whales: A Value of Information Analysis,"Bernknopf, Richard and Steinkruger, Andrew and Kuwayama, Yusuke",2021,24543,NA,manual: context window exceeded,NA
Economic Assessment of the Use Value of Geospatial Information,"Bernknopf, Richard and Shapiro, Carl",2015,10813,"The paper uses a choice experiment methodology to estimate the nonmarket value of the geospatial fire monitoring tool, Sigma-I, in Guatemala. The study involves conducting a survey with stakeholders to assess their preferences for various attributes of the Sigma-I tool. The methods used include designing choice sets with different combinations of attributes, such as spatial resolution, frequency of reporting, climate forecast, land use/land cover mapping, accuracy, and cost. Respondents were asked to choose between these different attribute combinations to determine their willingness to pay for each attribute.    The paper finds that the frequency of reporting and reductions in false positives were the most important attributes for the users of the Sigma-I tool in Guatemala. The study reveals a positive and statistically significant willingness to pay for improvements in reporting frequency and reductions in false positives. The results suggest that users valued timely and accurate information for effective forest fire detection and response.    While the study focused on fire managers in Guatemala, the findings have broader implications for regions where fire management depends on geospatial analysis tools. The results provide insights into the value of such tools and the need for continued funding and provision of geospatial data for sustainable fire management. The study showcases how satellite data are used to complement other forest fire management tools and can guide product development and provision to maximize value in various contexts. The choice experiment methodology employed in the study offers a valuable approach for assessing the relative values of attributes of similar geospatial resources in other developing countries.",NA,1
Monetising the Savings of Remotely Sensed Data and Information in Burn Area Emergency Response (BAER) Wildfire Assessment,"Bernknopf, Richard and Kuwayama, Yusuke and Gibson, Reily and Blakely, Jessica and Mabee, Bethany and Clifford, T. J. and Quayle, Brad and Epting, Justin and Hardy, Terry and Goodrich, David",2021,14413,"The paper describes an economic model to assess the societal benefits of geospatial information, particularly satellite or Earth Observation data, in decision-making processes. The value of information (VOI) provided by geospatial data is determined by the net benefits of a decision with and without the information. The paper discusses various technologies used to collect and distribute geospatial data and provides examples of how this data can be applied in decision-making processes. The economic model for assessing the VOI in geospatial data is applied to three examples: retrospective models about environmental regulation, prospective models about earthquake impact mitigation, and a potential model for developing private-public geospatial information for ecosystem services markets.    In the first example, the paper discusses the economic benefits of using moderate resolution land imagery (MRLI) to inform regional environmental and health policy decisions. The analysis demonstrates how MRDI can improve the efficiency of government regulation, specifically in groundwater contamination cases.    In the second example, the paper presents a prospective model for assessing the economic benefits of geospatial information in natural hazard scenarios, focusing on earthquake hazards mitigation and the distribution of impacts on various income groups.    In the third example, the paper outlines a potential application of geospatial information in ecosystem services markets to reduce environmental externalities. This involves using remote sensing data to monitor and verify changes in land use and cover, particularly in the context of cap-and-trade markets for ecosystem services.    Overall, the paper emphasizes the value of geospatial data in improving decision-making processes across various sectors, including environmental regulation, hazard mitigation, and ecosystem services markets. The economic model presented in the paper aims to quantify the societal benefits of geospatial information and reduce transaction costs in utilizing such data for societal gains.",NA,1
The Value of Remotely Sensed Information: The Case of a GRACE-Enhanced Drought Severity Index,"Bernknopf, Richard and Brookshire, David and Kuwayama, Yusuke and Macauley, Molly and Rodell, Matthew and Thompson, Alexandra and Vail, Peter and Zaitchik, Benjamin",2018,13132,"The paper develops a decision framework to quantify the economic value of information from the Gravity Recovery and Climate Experiment (GRACE) satellite mission for drought monitoring. The methods used include:    1. **Conceptual Framework Development**: The study develops a conceptual framework to evaluate the socioeconomic value of GRACE Data Assimilation (GRACE-DA) as a contributor to drought monitoring.    2. **Listening Sessions**: Structured listening sessions were conducted to understand the needs of stakeholders affected by drought monitoring.    3. **Econometric Analysis**: A statistically sound decision framework was utilized, using a Bayesian updating procedure to establish the informativeness of GRACE-DA drought indicators regarding the actual drought intensity in specific locations.    4. **Empirical Analysis**: Econometric models were specified to estimate the correlation between US Drought Monitor (USDM) severity categories and the true state of drought using farm income and crop yield data as proxies for ""true"" drought.    5. **Goodness-of-Fit Assessment**: The study assessed the goodness of fit of models including GRACE-DA indicators compared to models with USDM indicators only. This assessment was done using statistics such as adjusted r-squared, Akaike Information Criterion (AIC), and Bayesian Information Criterion (BIC).    6. **Hypothetical Simulations**: The research conducted hypothetical simulations to evaluate the potential changes in the allocation of drought assistance funds under the Livestock Assistance Grant Program (LAGP) based on eligibility determined by GRACE-DA data.    The methods used aim to demonstrate the potential societal benefits of utilizing GRACE-DA data in drought monitoring decisions and assist policymakers in making more informed and cost-effective decisions regarding drought assistance programs.",NA,1
Socio-Economic Benefits from the Use of Earth Observation,"Borzacchiello, Maria Teresa and Craglia, Massimo",2011,11395,"The paper by Bernknopf, Steinkruger, and Kuwayama conducts an analysis to estimate the value of information (VOI) of Earth observations for conserving Eastern North Pacific blue whales. They compare two data products, one based on shipboard surveys (ISDI) and the other incorporating remote sensing technologies (RSDI), to inform regulations on vessel speeds to reduce fatal encounters between whales and ships. The VOI is identified as the difference in costs to marine shipping operators under the two cases.    The methods include:  1. Estimating fatal strikes using marine science models.  2. Developing a decision model to characterize how managers choose vessel speed regulations based on expected rates of fatal strikes.  3. Estimating the costs to vessels of complying with the regulations.  4. Conducting a VOI analysis to compare the economic costs of compliance under different information cases.    The results show that using RSDI leads to cost-effective conservation of blue whales with potential cost savings to vessel operators. The study highlights the importance of high-resolution remote sensing data in informing policies for marine conservation.",NA,1
Assessing the Value of Information for Water Quality Management in the North Sea,"Bouma, J. A. and {van der Woerd}, H. J. and Kuik, O. J.",2009,11867,"The paper used a value of information approach to demonstrate the cost-effectiveness of using satellite imagery in post-wildfire emergency response through the Burn Area Emergency Response (BAER) program. It compared the costs of producing a Burn Area Reflectance Classification (BARC) map and implementing a BAER when imagery from satellites (such as Landsat) was available versus relying solely on aerial reconnaissance.    The study included a case study of the Elk Complex wildfire incident. It found potential cost savings of up to $51,000 for specific wildfire incidents using Landsat imagery, and savings of up to $35 million over a 5-year period for a multi-incident program. Landsat was found to be the most cost-effective way to input burn severity information into the BAER program.    The methods used involved assessing burn severity, identifying risks to valuable resources, and using the BARC and Soil Burn Severity (SBS) maps to inform post-fire response and mitigation measures. Costs associated with BARC map production, BAER protocol, and response activities were detailed for both reference and counterfactual cases using different data sources.    In conclusion, the study highlighted the cost-effectiveness of using satellite imagery in post-wildfire assessments and response, particularly through the production of BARC and SBS maps. The findings suggest that satellite data inputs offer significant savings in comparison to alternatives such as aerial reconnaissance or commercial satellite imagery.",NA,1
