citation,dist
aahd_estimationgroundwatervolumespumped_2009,1.3611596
aaheim_lostbenefitscarbonuptake_2018,1.5657883
aapro_digitalhealthoptimalsupportive_2020,1.7005619
abad_detectinglandslidedammedlakes_2022,1.1583122
abaduribarren_deeplearningassistedresolution_2022,1.3750196
abaduribarren_modelingenvironmentalinfluenceatlantic_2019,1.4640852
abapour_bayesiangametheoreticbased_2020,1.5657912
abate_hydrologicalmodelingkobogolina_2023,1.4858911
abay_urbanisationimprovehouseholdwelfare_2023,1.3603169
abbafati_globalburden369diseases_2020,1.5632329
abbas_characterizingclassifyingurbantree_2021,1.316191
abbas_monitoringscaleforestrestoration_2023,1.521587
abbas_predictingwaterqualityvariability_2023,1.4387529
abbasnezhad_incorporatingsocialpolicydrivers_2023,1.4597752
abbaszadeh_attitudesextramaritalrelationsrelated_2019,1.8766029
abbes_predictionnonstationarymultitemporal_2016,1.170425
abbott_inboundarrivalsweathersurveillance_2023,1.4480556
abburu_engineeringevaluationglimpsesatellite_2015,1.1615973
abcede_insarbaseddetectionmapping_2022,1.1458395
abdallah_spatialdistributionblockfalls_2010,1.1618295
abdelaal_integratedstudiesidentifysite_2021,1.4010292
abdelfattah_webbasedgisenabled_2015,1.5263412
abdelghafar_anomalydetectionsatellitetelemetry_2019,1.5075953
abdelhaleem_applicationremotesensinggeographic_2021,1.3839734
abdelhamid_evaluationecosystemservicesresult_2022,1.5374944
abdelhamid_geospatialanalysislanddriving_2021,0.9672853
abdelhamid_impactassessmentlanddynamics_2023,1.3978631
abdelhamid_pastfuturelandland_2022,1.3997369
abdelrahman_mappingsoilslandrelated_2022,1.383898
abdelsamie_integrationruslemodelremote_2023,1.230104
abdhamid_investigationpotentialsolarphotovoltaic_2021,1.3510065
abdi_soilerosiondegradationassessment_2023,1.3357219
abdo_evolvingtotalevaluationmap_2020,1.5506067
abdo_modelingurbandynamicscarbon_2021,1.3639071
abdollahi_explainableartificialintelligencexai_2023,1.4727775
abdollahi_remotesensingcapabilitiesobservational_2023,1.2664559
abdollahnejad_predictiondominantforesttree_2017,1.3320408
abdrabo_integratedmethodologyurbanflood_2020,1.6540005
abdul_quantifyinglandscapestructurekelantan_2021,1.3466315
abdulaziz_distributionfecalcontaminationurbanized_2023,1.6804824
abdulhammed_satelliteimagesmatchingmosaic_2023,1.183809
abdulkadirov_satelliteimagerecognitionensemble_2024,1.2907063
abdulkalam_internationalpartnershiplunarmissions_2005,1.2860086
abdulkareem_termhydrologicimpactassessment_2018,1.6829239
abdulkareem_termrunoffdynamicsassessment_2019,1.7011395
abdullah_monitoringdrasticgrowthship_2013,1.3774346
abdullah_precisionagriculturepracticesplanting_2023,1.3127687
abdullah_urbangreenbluespace_2022,1.3907504
abdullahalmamun_ecosystemservicesassessmentvaluation_2017,1.5644124
abdullahi_gisbasedsustainablecity_2015,1.4481813
abdullahi_spatialmodellingsitesuitability_2014,1.5974324
abdulmajid_influencetechnologyadoptionfarmers_2024,1.585259
abdusalam_characteristicsimpactfactorsevapotranspiration_2018,1.3315463
abebe_dynamicslandlandcover_2022,1.4084711
abebe_rurallandmanagementoptions_2020,1.2520988
abedi_mineralpotentialmappingcentral_2015,1.1798763
abedigheshlaghi_gisdevelopmodelforest_2019,1.4106109
aben_callviewshedecologyadvancing_2018,1.1111709
abera_anthropogenicthreatswetlandresources_2022,1.5429862
abera_estimatingwaterbudgetcomponents_2017,1.5164838
abichou_uncertaintiesopticalremotesensing_2010,1.3955641
abidin_mangrovepotentialassessmentdetermining_2023,1.3867292
abiodun_centersspacesciencetechnology_1993,1.2024603
abiodun_remotesensinginformationage_1998,0.8174859
ablat_modisndvitimeseries_2021,1.3035989
abouelmagd_earthobservationsegyptiancoastal_2019,0.856273
abousamra_detectionfillingphasesgrand_2021,1.318676
abousamra_dynamicshumaninducedlakes_2022,1.1857078
aboushaara_trackingeffectsclimatechange_2022,1.5342469
abouzahr_estimatesmaternalmortalityinterpret_2011,1.7066169
abraham_classificationdetectionnaturaldisasters_2023,1.064893
abraham_trialsimplantablemonitoringdevices_2014,1.8004014
abrahms_dynamicensemblemodelspredict_2019,1.5187471
abrahms_ontogeneticshiftssocialexperiential_2021,1.4023299
abreu_characterizingbraziliansanitarylandfill_2016,1.7850031
abrykosov_treatmentoceantidebackground_2022,1.2685323
abuelgasim_changedetectionadaptivefuzzy_1999,1.4908767
abuelmagd_understandingclimatechangeimpact_2024,1.2945637
abujahidandalsharif_contemporarysurveyfreespace_2022,1.4789071
abunnasr_automatedlandsurfacetemperature_2023,1.2375125
abunnasr_perviouschangesurrogatediverse_2021,1.2512817
abunnasr_sebuautomatedgoogleearth_2022,1.2383497
abutaleb_estimatingurbangreennessindex_2021,1.303803
abutaleb_mappingeucalyptstreesresolution_2021,1.0811372
abutalip_digitaltwinatmosphericenvironment_2023,1.0216138
acevedo_spaceactivitiesbolivarianrepublic_2011,1.177883
achard_pantropicalmonitoringdeforestation_2007,0.8230722
acharya_quantificationmappingsatellitedriven_2020,1.274127
acheampong_optimisationmodelincentivisingdevelopment_2021,1.6590222
achmad_impactlandlandcover_2023,1.3026826
achu_machinelearningmodellingfire_2021,1.4616915
acierto_developmenthydrologicaltelemetrysystem_2018,1.1122283
aciltasman_impactmodernspatialinformation_2008,1.5397394
ackerman_economicenvironmentalbenefitsweather_1994,1.3236094
ackermann_digitalsurfacemodelsgnss_2014,1.1355308
ackman_extentintraprotocolintersitevariability_2019,1.6099946
acunaalonso_modellingevaluationlandsatellite_2022,1.2054958
ad_analyzingdepletiongroundwaterlevel_2019,1.364476
adami_seasonalityvegetationtypessouth_2018,1.2678568
adamo_expertknowledgetranslatingland_2014,1.0139104
adamo_technologicallymediatedpracticessustainability_2022,1.3429532
adamowicz_economicanalysisspeciesrisk_2016,1.6059334
adams_benefitsmexicanagricultureel_2002,1.3480276
adams_emergingroleremotesensing_2006,1.1993454
adams_energyoptimizationextrasolarplanetary_2021,1.486509
adams_improvedrangeweatherinformation_1995,1.477473
adams_mappingfloristicgradientsforest_2019,1.4035302
adan_earthobservationsatellitedata_2021,1.1442482
adar_testingpasturequalityindex_2023,1.1906431
addas_proposedplanningconceptpublic_2020,1.5867326
addona_raspberrypivideocamera_2022,0.93974733
ade_genuslevelmappinginvasive_2022,1.1035925
adebola_roadmapintegratedspaceapplications_2021,1.5420277
adedeji_hybridneurofuzzyinvestigationshort_2021,1.38919
adedeji_mappingmodelingecosystemservices_2018,1.4683578
adekunle_precisionagricultureapplicabilityopportunities_2013,1.1952205
adelowo_environmentalimpactassessmentattenda_2012,1.5229163
adeluyi_estimatingphenologicaldynamicsirrigated_2021,1.2771062
adem_estimationevapotranspirationbasedmetric_2023,1.4512532
adenle_spatialestimationvisualizationco2_2017,1.256937
adeppady_reducingmicroservicesinterferencedeployment_2023,2.0023327
adewumi_investigatinggroundwaterpotentialnortheastern_2023,1.5215713
adeyemi_evaluationlandlandcover_2022,1.1909053
adeyemi_spectralindeximproveextraction_2021,1.2147877
adhikari_identificationprioritizationmappingecosystem_2018,1.2284368
adhikari_perceivedecosystemservicespanchase_2018,1.125659
adilov_economicanalysisearthorbit_2015,1.5220513
adilov_estimateexpectedeconomiclosses_2023,1.5776083
adinarayana_approachlandplanninghilly_1995,1.4059741
adinarayana_integratedapproachprioritisationwatersheds_1995,1.6437042
adler_monitoringmountainschangingworld_2018,0.82387257
adriaensen_prioritiesnationalspacestrategies_2015,1.4203348
adrian_sentinelsaropticalfusion_2021,1.3106823
adugyamfi_reflectionssciencetechnologyinnovation_2022,1.3877813
adusei_spatialpredictionmappingwater_2021,1.3855038
aekakkararungroj_publiclygisbasedweb_2020,1.4019425
aerts_conservationethiopianchurchforests_2016,1.2922273
afan_adaptivemethodidentifyingmarine_2018,1.6082635
afandy_trendsprojectionsanalysisprecipitation_2023,1.2224916
affek_impactsmodernmechanisedskidding_2017,1.293253
afifi_detectionimpactlandencroachment_2018,1.0353422
afolabi_costeffectivenessanalysiseast_2023,1.9292092
afreen_floodsusceptibilityanalysispanjkora_2022,1.2398442
afrin_influenceprescribedfirefine_2020,1.5828681
agapiou_potentialvirtualearthobservation_2019,0.8876978
agar_nocturnalhaemodialysisaustraliancost_2005,1.7132003
agarwal_predictingpovertyindexdeep_2019,1.5339639
agasha_effectequalityhealthbwindi_2019,1.7241292
agbabiaka_determinantstourismparticipationyoruba_2023,1.2581514
agbaje_cooperationearthobservationmissions_2018,0.7386826
agdas_determininglandlandcover_2023,1.2249324
agduma_speciesrichnessextentpotential_2023,1.7951249
aggestam_digitalnormcontestationfeminist_2023,1.4306939
agha_multiscalestrategiesmonitoring_2012,1.4792689
aghababaei_introducingartmo'smachinelearning_2022,1.2791743
aghakouchak_impactbasedmonitoringdrought_2023,1.2515913
aghdam_landslidesusceptibilityassessmenthybrid_2017,1.4637734
agnihotri_intelligentvulnerabilitypredictionsoil_2021,1.3150821
agola_globalizedpovertyenvironment21st_2014,1.4199555
agostinho_sustainabilitydynamicsbrazilianmatopiba_2023,1.3185978
agosto_vectorrasterserveranalysis_2013,1.3736787
agrawal_deepresidualconvolutionalneural_2023,0.7972136
agrillo_earthobservationbiodiversitydata_2021,0.83588123
aguaron_comparisonmethodsestimatingcarbondioxide_2012,1.4333029
aguda_spatiotemporalassessmenturban_2013,1.3342514
agudelohz_scenarioslandlandcover_2023,1.43485
aguiarsilva_flyingforestcanopymovement_2023,1.4169979
aguilar_comparisonspectralindicesextracted_2022,1.1882968
aguilar_performanceassessmentmod16evapotranspiration_2018,1.1768224
aguirregutierrez_pantropicalmodellingcanopyfunctional_2021,1.3087385
ahadi_evaluatingfarmirrigationefficiency_2013,1.4704653
ahamed_assessingutilityremotesensing_2022,1.3647144
ahamed_modisbasedautomatedflood_2017,1.1230743
ahearn_monitoringeffectsdracunculiasisremediation_1996,1.3753496
ahmad_agroforestrysuitabilityanalysisbased_2017,1.2708716
ahmad_analysisforestfireclimate_2019,1.2619439
ahmad_assessingimpactspopulationgrowth_2018,1.3511069
ahmad_diagnosingirrigationperformancewater_2009,1.3764846
ahmad_fireriskassessmentclimate_2019,1.4084039
ahmad_gismodelingenvironmentalparameters_2023,1.3609495
ahmad_hydrologicalriskassessmentmangla_2023,1.3521326
ahmad_landevaluationtermsagroforestry_2017,1.3798435
ahmad_lulcanalysisurbanspaces_2017,1.4570537
ahmad_potentialtreespeciesdistribution_2023,1.5068727
ahmad_reviewmanagementpracticespotato_2023,1.5434406
ahmad_sarbasedsubsidencemonitoring_2022,1.1242191
ahmad_simulationpredictionlandsurface_2022,1.31705
ahmad_soybeanglycinemaxcropland_2023,1.5020651
ahmad_unveilingnature'sresilienceexploring_2023,1.440053
ahmadi_intelligentblinddualcolor_2021,1.5477073
ahmadkamal_scenariobasedpollutiondischarge_2020,1.5949309
ahmadybirgani_understandingsalinelakesand_2023,1.4151983
ahmed_advanceddeeplearningpredictive_2024,1.5911765
ahmed_analyzingtrendsdriversland_2023,1.4710193
ahmed_applicationremotesensingestimating_2010,1.2480159
ahmed_climatechangeimpactland_2023,1.1042614
ahmed_comparisonmulticriteriadecisiontechniques_2021,1.2881454
ahmed_deeplearningforecastssoil_2021,1.3139338
ahmed_developingvehiculartrafficnoise_2021,1.2051214
ahmed_droughtmonitoringcoastalbelt_2019,1.2814484
ahmed_enhancingobjectdetectionremote_2024,1.287981
ahmed_estimatesseasonalinfluenzamortality_2018,1.7983885
ahmed_gisbasedspatialdistribution_2022,1.2336633
ahmed_hydrologicassessmenttrmmgpm_2020,1.2031772
ahmed_integrationsentinel2derived_2021,1.271065
ahmed_introducingremotesensingbased_2019,1.3074365
ahmed_investigationpvutilizabilityuniversity_2022,1.2510909
ahmed_landslidesusceptibilitymodellingapplying_2015,1.4694364
ahmed_preparingturbidityaquaticvegetation_2017,1.3883257
ahmed_remotesensingwildlandfire_2018,1.2604489
ahmed_vehiculartrafficnoiseprediction_2019,1.4631763
ahmed_wintertimecovercrop_2023,1.2791605
ahn_assessmentutilityremotesensing_2023,1.0447729
ahrends_detectingpredictingforestdegradation_2021,1.2639542
ahuja_sodiummonitoringcommerciallyprocessed_2015,1.6862016
ahulu_ghana'sexperienceestablishmentnational_2015,1.1821563
ai_ndvichangeinfluencingfactors_2023,1.1917554
ai_spatialtemporalvariationfactor_2018,1.3193202
aieb_approachprocessingclimatemissing_2019,1.348655
ainslie_operationalevaluationwildfireair_2022,1.3943272
aires_analysisextremerainfallnatural_2022,1.1783291
airiken_assessmentspatialtemporalecological_2022,1.311352
aitali_effectslandlandcover_2022,1.1066988
aitkenhead_digitalmappingsoilecosystem_2019,1.4116386
aiyetoro_packetschedulinginternetremote_2022,1.3840921
aizizi_evaluationecologicalqualitystatus_2023,1.3074033
aja_nonparametricassessmentmangroveecosystem_2023,1.2725215
ajayi_assessmentdelineationgroundwaterpotential_2022,1.2352264
ajayi_mappingassessingseasonaldynamics_2023,1.396644
ajjan_sensorsoftwareglycaemicmanagement_2016,1.9259379
ajtai_supporttoolslandpolicies_2020,1.3419354
aju_identificationsuitablesitesstructures_2021,1.372396
akbar_landlandcoverchange_2023,1.4862368
akber_impactlandchangeecosystem_2018,1.3139662
akbulut_automaticbuildingextractionimage_2018,1.0542045
akdeniz_spatiotemporalanalysisshoreline_2023,1.3068098
akgoz_monitoringseasonalphenologicalvariability_2022,1.3126812
akgun_applicationremotesensingdata_2012,1.5130687
akhtar_assessmentagriculturalpotentialriver_2020,1.4044228
akhtar_assessmentirrigationperformanceriver_2018,1.2592511
akhtar_couplingremotesensinghydrological_2021,1.4469564
akhtar_integrationresolutionopticalsar_2020,1.3242431
akhtar_leveragingadvancedremotesensing_2023,1.27948
akhter_shuttingversussellingfamily_2016,1.91961
akita_maximumentropymodelprediction_2022,1.3997357
akiwumi_miningenvironmentalchangesierra_2008,1.0831956
akiyama_geometricalcorrectioncbers4_2018,0.83430773
akodewou_monitoringdynamicsfaidherbiaalbida_2022,0.97174543
akramkhanov_assessmentspatialdistributionsoil_2012,1.4852545
akritidis_complexaerosoltransportevent_2020,1.1472704
aksoy_assessingperformancemachinelearning_2022,1.1570083
akter_predictinggroundwaterrechargepotential_2020,1.4150465
akturk_degradationcoastalecosystemservices_2021,1.3837323
akturk_monitoringforestcanopycover_2023,1.1449862
akturk_technologicaladvancesshapingdiabetes_2019,1.6983185
akyurek_investigationsnowcoverdynamics_2011,1.1538227
akyuz_dispersionmodelsatelliteso2_2019,1.0852306
alaasmi_rapidestimationwaterstress_2022,1.3796391
alabadi_predictiongroundwaterflowingzone_2015,1.4759645
alabadleh_rigorousquantificationstatisticalsignificance_2021,1.4013144
alabdouli_coastalrunoffunitedarab_2019,1.442279
alabi_sustainableurbanformchallenges_2020,1.5118606
aladhaileh_artificialintelligenceframeworkmodeling_2022,1.4258794
alaizari_assessmentanalysisfloodsusceptibility_2022,1.2127352
alajmi_exploitingremotesensingimagery_2023,0.7978145
alakeson_difficultairwayequipmentsurvey_2014,1.6613849
alam_floodriskassessmentsrinagar_2018,1.639934
alam_widereconomicbenefitstransport_2022,1.7944436
alamdarloo_probabilityassessmentvegetationvulnerability_2018,1.4908445
alamgeer_optimalfuzzywaveletneural_2023,1.5097351
alaniz_industrialforestrynegativelyaffects_2023,1.2151799
alashloo_totalsuspendedsedimentsmapping_2013,1.2667313
alatorre_idenitifyingactiveerosionrisk_2009,1.2283058
alattas_supportingindoornavigationaccess_2017,1.7091416
alavi_estimationsugarcaneevapotranspirationremote_2024,1.3070085
alawadhi_localspatialimpactsglobalization_2017,1.3414872
alban_standardisedsurveillancetrichinellaeuropean_2011,1.5283555
albani_feasibilitystudyoffshorewind_2014,1.5726898
albano_geospatialmethodstoolsnatural_2018,0.9990864
albano_scalefloodriskmapping_2020,1.4797211
albe_studentspositionsstudentscontroversial_2005,1.51335
albert_costeffectivemethodsaccurate_2013,1.4327562
albert_ethnogeographyresourceyanomamimodel_2007,1.3488753
albert_waterqualitychallengesindustrial_2021,1.6180754
albuquerque_protocolcanopycovermonitoring_2022,1.3328614
alcantara_chiropracticcarepatienterb's_2008,1.6880081
alcantaracosta_temporaldynamicsevapotranspirationsemiarid_2021,1.3706249
alcaras_accuracyevaluationcoastlineextraction_2023,1.1163259
alcarazsegura_environmentalhumancontrolsecosystem_2013,1.4189072
alcarazsegura_globalvisionmonitoringecosystem_2013,0.8801082
aldhebiani_considerationndvithematicdensity_2018,1.2825547
aldousari_landlandcoverchange_2023,1.2021091
aldrees_optimizedbehaviortermrainfall_2021,1.3856311
alejandramusse_urbanenvironmentalqualityassessment_2018,1.3644947
alekabi_reflectingdecadecollaborationnasa_2018,1.4604218
alemanmontes_modellingsugarcaneagroindustrial_2023,1.4212602
alessandrini_remotelysensedvariablesexplain_2022,1.2298713
alexakis_assessmentsoilerosionrelated_2021,1.2562835
alexander_informationtechnologyrealtime_1991,1.2667099
