id,title,year,doi,tags,phase,screening_status,excl_reasons
7037221,Remote Sensing Products And Services In Support Of Agricultural Public Policies In Africa: Overview And Challenges,NA,10.3389/fsufs.2020.00058,{},classifier round 2,included,NA
6691716,Future earth observation strategy for societal benefits,2005,https://doi.org/10.1109/IGARSS.2005.1526433,{maybe},soc ben repo,included,NA
7038064,Disaster Management And Virtual Globes: A High Potential For Developing Countries,NA,10.4018/978-1-4666-2038-4.ch095,{},classifier round 3,included,NA
6903586,"Modelling And Evaluation Of Land Use Changes Through Satellite Images In A Multifunctional Catchment: Social, Economic And Environmental Implications",NA,10.1016/j.ecoinf.2022.101777,{},classifier round 1,included,NA
7037121,The Utility Of Airborne Hyperspectral And Satellite Multispectral Images In Identifying Natura 2000 Non-Forest Habitats For Conservation Purposes,NA,10.1038/s41598-023-31705-6,{},classifier round 3,included,NA
6691648,CEOS contributions to informing energy management and policy decision making using space-based Earth observations,2012,https://doi.org/10.1016/j.apenergy.2011.03.001,{},soc ben repo,included,NA
6659922,Earth Observation Satellite Data In Support Of Water Management For Agriculture,2017,NA,{cco},early,included,NA
6863498,The Value Of Site-Specific Information And The Environment: Technology Adoption And Pesticide Use Under Uncertainty,2005,10.1016/j.jenvman.2005.01.024,{},sample 1000,included,NA
6863048,Where Have All The People Gone? Enhancing Global Conservation Using Night Lights And Social Media,2015,10.1890/15-0113.1.sm,{},sample 1000,included,NA
6669797,Data Justice And Biodiversity Conservation,2022,10.1111/cobi.13919,"{cco,maybe}",early,included,NA
6691687,Banda Aceh-The Value of Earth Observation Data in Disaster Recovery and Reconstruction: A Case Study,2008,http://pure.iiasa.ac.at/8741/,{},soc ben repo,included,NA
7036946,"Quantitative Assessment Of Soil Condition, Basic Environmental Factors And Productivity Of Linum Usitatissimum In The Steppe Zone Of Kazakhstan Using The Remote Sensing Method",NA,10.1590/1519-6984.277283,{},classifier round 2,included,NA
7037711,"Mapping Of Environmental Sensitivity Index To Oil Spill From Landsat Tm Images: ""A Study Case On The Amazon Coastal Plain""",NA,10.22564/rbgf.v30i4.240,{},classifier round 3,included,NA
7036939,A Real Options Approach To Satellite Mission Planning,NA,10.1016/j.spacepol.2008.09.008,{},classifier round 2,included,NA
6691550,The Value of El Niño Forecasts in the Management of Salmon: A Stochastic Dynamic Assessment,2020,https://dx.doi.org/10.2307/1244062,{},soc ben repo,included,NA
6691642,"The Value of Satellite-Based Active Fire Data for Monitoring, Reporting and Verification of REDD+ in the Lao PDR",2013,https://doi.org/10.1007/s10745-013-9565-0,{},soc ben repo,included,NA
7037437,Space-Based Earth Observations For Disaster Risk Management,NA,10.1007/s10712-020-09586-5,{},classifier round 2,included,NA
6862756,Evaluation Of Earth Observation Systems For Estimating Environmental Determinants Of Microbial Contamination In Recreational Waters,2015,10.1109/jstars.2015.2426138,{},sample 1000,included,NA
7037605,"Study Of Productivity And Biomass Above The Ground, Using Vegetation Indices In Plantations Of Tectona Grandis L. (Teak) Located In Guanacaste, Costa Rica",NA,10.18845/tm.v35i6.6229,{},classifier round 3,included,NA
7037213,The Role Of African Emerging Space Agencies In Earth Observation Capacity Building For Facilitating The Implementation And Monitoring Of The African Development Agenda: The Case Of African Earth Observation Program,NA,10.3390/ijgi8070292,{},classifier round 2,included,NA
6691625,Landsat and Water—Case Studies of the Uses and Benefits of Landsat Imagery in Water Resources,2014,http://dx.doi.org/10.3133/ofr20141108,{},soc ben repo,included,NA
6691614,The social innovation potential of ICT-enabled citizen observatories to increase eParticipation in local flood risk management,2015,https://doi.org/10.1016/j.techsoc.2015.05.002,{maybe},soc ben repo,included,NA
6691577,The public value of improving a weather forecasting system in Korea: a choice experiment study,2018,https://doi.org/10.1080/00036846.2017.1368995,{},soc ben repo,included,NA
7038670,Research Needs,NA,10.4324/9780429047237-18,{theoretical?},classifier round 2,included,NA
7037248,Use Of Remote Sensing And Gis For Identifying Tanks And Rehabilitation Benefits To The Rural Areas,NA,10.25175/jrd/2019/v38/i1/121801,{},classifier round 3,included,NA
6863159,Combined Use Of Local And Global Hydro Meteorological Data With Hydrological Models For Water Resources Management In The Magdalena-Cauca Macro Basin - Colombia,2020,10.1007/s11269-019-02236-5,{},sample 1000,included,NA
6691598,Visual Evidence from Above: Assessing the Value of Earth Observation Satellites for Supporting Human Rights,2016,https://ro.uow.edu.au/cgi/viewcontent.cgi?article=5028&context=sspapers,{},soc ben repo,included,NA
7036963,The Utility Of Historical Aerial Photographs For Detecting And Judging The Effectiveness Of Rangeland Remediation Treatments,NA,10.1017/s1466046603031065,{},classifier round 2,included,NA
6863675,Mapping Plastic-Mulched Farmland By Coupling Optical And Synthetic Aperture Radar Remote Sensing,2020,10.1080/01431161.2020.1763510,{},sample 1000,included,NA
7037549,"Trends And Projections Analysis Of Precipitation And Temperature Data Using Ccsm4 And Gsmap_nrt: Case Study In Sohar, Sultanate Of Oman",NA,10.13189/eer.2023.110411,{},classifier round 3,included,NA
7037700,Monitoring And Early Warning Systems - A Design For Human Survival,NA,10.1108/03684920210417292,{},classifier round 3,included,NA
7038557,"Advances In Remote Sensing Of Coastal Wetlands: Lidar, Sar, And Object-Oriented Case Studies From North Carolina",NA,10.1007/978-3-319-06326-3_17,{},classifier round 3,included,NA
6903569,A Data-Driven Approach To Hurricane Debris Modeling,NA,10.1061/jwped5.wweng-1945,"{""probably not""}",classifier round 1,included,NA
7036792,Mapping Spatial Pattern In Biodiversity For Regional Conservation Planning: Where To From Here?,NA,10.1080/10635150252899806,{},classifier round 2,included,NA
6691686,Using architecture modeling to assess the societal benefits of the global earth observation system-of-systems,2008,https://doi.org/10.1109/JSYST.2008.925974,{maybe},soc ben repo,included,NA
6903510,A New Method For Long-Term River Discharge Estimation Of Small- And Medium-Scale Rivers By Using Multisource Remote Sensing And Rshs: Application And Validation,NA,10.3390/rs14081798,"{""probably not"",maybe}",classifier round 1,included,NA
6691634,Empowering Brazilian Unprivileged Communities with High Geotechnological Tools,2013,https://icaci.org/files/documents/ICC_proceedings/ICC2013/_extendedAbstract/316_proceeding.pdf,{maybe},soc ben repo,included,NA
6691528,Enhancing the Application of Earth Observations for Improved Environmental Decision-Making Using the Early Warning eXplorer (EWX),2021,https://doi.org/10.3389/fclim.2020.583509,{maybe},soc ben repo,included,NA
7037187,Drone Remote Sensing For Forestry Research And Practices,NA,10.1007/s11676-015-0088-y,{},classifier round 2,included,NA
7038179,The Rocky Road From Research To Operations For Satellite Ocean-Colour Data In Fishery Management,NA,10.1093/icesjms/fsq168,{},classifier round 3,included,NA
7037668,Challenges And Opportunities Of Digital Technology In Soil Quality And Land Management Research,NA,10.1007/978-3-030-71571-7_9,{},classifier round 3,included,NA
6691583,Satellite Earth Observations and Their Impact on Society and Policy,2017,https://doi.org/10.1007/978-981-10-3713-9,{},soc ben repo,included,NA
6863602,Satellite-Based Crop Production Monitoring In Ukraine And Regional Food Security,2011,10.1007/978-90-481-9618-0_11,{},classifier round 1,included,NA
7037087,The Role Of Satellite Telemetry Data In 21St Century Conservation Of Polar Bears (Ursus Maritimus),NA,10.3389/fmars.2022.816666,{},classifier round 2,included,NA
7038285,Initial Assessment Of Burn Severity Using Transfer Learning Model,NA,10.11834/jrs.20210156,{},classifier round 3,included,NA
7037057,Nasa?S Global Precipitation Measurement Mission: Leveraging Stakeholder Engagement \& Applications Activities To Inform Decision-Making,NA,10.1016/j.rsase.2022.100853,{},classifier round 3,included,NA
6863640,A Hybrid Kernel-Based Change Detection Method For Remotely Sensed Data In A Similarity Space,2015,10.3390/rs71012829,{maybe},classifier round 1,included,NA
7037348,Contribution Of Remote Sensing For Crop And Water Monitoring,NA,10.1016/b978-1-78548-103-1.50004-2,{},classifier round 3,included,NA
6863116,Avhrr Data For Real-Time Operational Flood Forecasting In Malaysia,2005,10.1007/3-540-27468-5_93,{maybe},classifier round 1,included,NA
6691752,Societal value of geologic maps,1993,https://doi.org/10.3133/cir1111,{},soc ben repo,included,NA
7037738,Predicting Poverty Index Using Deep Learning On Remote Sensing And Household Data,NA,10.35940/ijrte.c3918.098319,{},classifier round 3,included,NA
7037598,Incorporation Of Satellite Remote Sensing Pan-Sharpened Imagery Into Digital Soil Prediction And Mapping Models To Characterize Soil Property Variability In Small Agricultural Fields,NA,10.1016/j.isprsjprs.2016.11.001,{},classifier round 2,included,NA
7037155,Integrating Inland And Coastal Water Quality Data For Actionable Knowledge,NA,10.3390/rs13152899,{},classifier round 3,included,NA
7038682,"Wireless Sensor Networks To Study, Monitor And Manage Cattle In Grazing Systems",NA,10.1071/an14368,"{""wireless weighing""}",classifier round 3,included,NA
7038696,A Daily 25km Short-Latency Rainfall Product For Data-Scarce Regions Based On The Integration Of The Global Precipitation Measurement Mission Rainfall And Multiple-Satellite Soil Moisture Products,NA,10.5194/hess-24-2687-2020,{},classifier round 3,included,NA
6691608,Data poverty: A global evaluation for 2009 to 2013- implications for sustainable development and disaster risk reduction,2015,https://doi.org/10.1016/j.jag.2016.03.001,{maybe},soc ben repo,included,NA
7038498,Perspectives From Landscape Ecology Can Improve Environmental Impact Assessment,NA,10.1139/facets-2020-0049,{},classifier round 3,included,NA
7038578,Centers For Space Science And Technology Education - A United-Nations Initiative,NA,10.1080/01431169308953992,{},classifier round 3,included,NA
6863434,An Open Data And Citizen Science Approach To Building Resilience To Natural Hazards In A Data-Scarce Remote Mountainous Part Of Nepal,2020,10.3390/su12229448,{},sample 1000,included,NA
7036749,Construction Of Super-Resolution Model Of Remote Sensing Image Based On Deep Convolutional Neural Network,NA,10.1016/j.comcom.2021.06.022,{},classifier round 3,included,NA
7037186,Evaluating Nox Emission Inventories For Regulatory Air Quality Modeling Using Satellite And Air Quality Model Data,NA,10.1016/j.atmosenv.2015.07.002,{},classifier round 2,included,NA
6691517,Earth observations can enable cost-effective conservation of eastern north pacific blue whales: a value of information analysis,2021,https://media.rff.org/documents/Earth_Observations_can_enable_cost-effective_conservation_of._bm_RB_,"{""in benchmarks""}",soc ben repo,included,NA
7038025,Role Of Irs-1c In Developing Remote Sensing Applications For Water Management In India,NA,10.1007/s12524-020-01280-8,{},classifier round 2,included,NA
6691665,Impact of Global Earth Observation –Systemic View across GEOSS Societal Benefit Areas,2010,https://doi.org/10.2902/1725-0463.2010.05.art9,{},soc ben repo,included,NA
7037788,Building User-Readiness For Satellite Earth Observing Missions: The Case Of The Surface Water And Ocean Topography (Swot) Mission,NA,10.1029/2022av000680,{},classifier round 2,included,NA
6691568,The role of stakeholders in creating societal value from coastal and ocean observations,2019,https://doi.org/10.3389/fmars.2019.00137,{maybe},soc ben repo,included,NA
6903629,Ndvi Identification And Survey Of A Roman Road In The Northern Spanish Province Of Alava,NA,10.3390/rs11060725,{},classifier round 1,included,NA
7037945,Research On Monitoring And Environmental Control Of Farmland Operation Based On Multi-Sensor Data Fusion,NA,10.1504/ijetm.2020.114134,{},classifier round 2,included,NA
7036593,"The Potential Of Remote Sensing Data For Decision Makers At The State, Local And Tribal Level: Experiences From Nasa's Synergy Program",NA,10.1016/j.envsci.2003.08.002,{},classifier round 2,included,NA
7037858,Conservation Impacts Of A Near Real-Time Forest Monitoring And Alert System For The Tropics,NA,10.1002/rse2.78,{},classifier round 3,included,NA
6863634,Input Data Resolution Affects The Conservation Prioritization Outcome Of Spatially Sparse Biodiversity Features,2023,10.1007/s13280-023-01885-6,{},sample 1000,included,NA
7038364,Accessing Satellite Imagery For Disaster Response Through The International Charter: Lessons Learned From The 2011 Us Midwestern Floods,NA,10.1016/j.spacepol.2017.08.003,{},classifier round 3,included,NA
