page,p
1,international journal of remote sensing issn: (print) (online) journal homepage: www.tandfonline.com/journals/tres20 cost-effective disaster-induced land cover analysis: a semi-automatic methodology using machine learning and satellite imagery matias i.
1,"volke, rodrigo abarca-del-rio & timothy a."
1,warner to cite this article: matias i.
1,"volke, rodrigo abarca-del-rio & timothy a."
1,"warner (2024) cost- effective disaster-induced land cover analysis: a semi-automatic methodology using machine learning and satellite imagery, international journal of remote sensing, 45:2, 279-305, doi: 10.1080/01431161.2023.2292015 to link to this article: https://doi.org/10.1080/01431161.2023.2292015 view supplementary material published online: 08 jan 2024."
1,submit your article to this journal article views: 208 view related articles view crossmark data full terms & conditions of access and use can be found at https://www.tandfonline.com/action/journalinformation?
1,journalcode=tres20
2,"international journal of remote sensing 2024, vol."
2,"45, no. 2, 279–305 https://doi.org/10.1080/01431161.2023.2292015 cost-effective disaster-induced land cover analysis: a semi-automatic methodology using machine learning and satellite imagery matias i."
2,"volkea, rodrigo abarca-del-riob and timothy a."
2,"warner c a energy doctoral program, faculty of engineering, universidad de concepción, concepción, chile; b department of geophysics, faculty of physical and mathematical sciences, university of concepcion, concepcion, chile; cdepartment of geology and geography, west virginia university, morgantown, wv, usa abstract article history this study introduces a cost-effective and automated methodology received 8 september 2023 to swiftly and accurately gauge disaster-induced land cover accepted 26 november 2023 changes, harnessing satellite imagery and machine learning."
2,"keywords using open-source platforms like google earth engine, the land cover change; machine approach streamlines training sample generation and assesses learning; remote sensing; diverse machine learning algorithms on pre- and post-disaster classification accuracy landsat images."
2,"the innovation lies in its semi-automatic training sample generation methodology, reducing time and manual effort for accurate land cover mapping and addressing the challenge of crafting training samples in disaster settings."
2,"the methodology was tested on the 2010 chilean earthquake and tsunami, revealing a 45% increase in sediment cover and a 15% reduction in water cover, underlining vast landscape alterations."
2,svm stood out for its consistent accuracy.
2,"to validate the methodological robustness and broaden its applicability, we replicated the procedures using diverse land cover collection, including esa worldcover 10 m and dynamic world."
2,"this comprehensive validation encompassed var­ ied catastrophic events, extending the methodology’s relevance beyond its original scope."
2,the consistent findings across different scenarios underscored the method’s robustness and underscored its potential for broader utilization.
2,"this streamlined, cost-effective approach suits multiple land cover products, setting the stage for constant earth feature monitoring."
2,"in light of escalating natural disasters, the synergy of machine learning and geospatial technol­ ogy spotlighted here offers promising avenues for improved disas­ ter preparedness and response."
2,"introduction given the vast and varied impacts of natural disasters such as earthquakes and tsunamis, swiftly producing detailed maps of affected land cover is challenging (koshimura et al."
2,2020).
2,in the immediate disaster aftermath prompt and accurate information is essential.
2,"typically, damage mapping relies heavily on ground observations and low-altitude contact matias i."
2,"volke matiasvolke@udec.cl energy doctoral program, faculty of engineering, universidad de concepción, concepción 4030000, chile supplemental data for this article can be accessed online at https://doi.org/10.1080/01431161.2023.2292015 © 2024 informa uk limited, trading as taylor & francis group"
3,280 m.
3,volke et al. surveys.
3,"however, these methods are often hazardous, labour-intensive, inconsistent, and provide only a partial inventory of the changes (sublime and kalinicheva 2019)."
3,"in contrast, multispectral imagery mapping can potentially overcome many of these limita­ tions, making it a preferred choice for swiftly assessing detailed vulnerability studies in natural disasters-induced zones (koshimura et al."
3,2020).
3,"for these reasons, satellite remote sensing has emerged as the primary support tool instrument for disaster management (kaku 2019), serving as a cost-effective monitoring mechanism for catastrophic events (khodaverdizahraee, rastiveis, and jouybari 2020)."
3,"remote sensing is particularly relevant for cataloguing disaster-related changes resulting from earthquakes and tsunamis, events with profound socio-economic repercussions, as evidenced by the tsunamis in japan (march 2011) (ishihara and tadono 2017; richmond et al."
3,2012; tappin et al. 2012) and indonesia (december 2004) (kaiser et al.
3,2013; sarun et al.
3,2018).
3,effective land cover mapping is pivotal for both damage evaluation and risk assessment (waghwala and agnihotri 2019).
3,"the accuracy of remotely sensed land cover change maps, in tandem with the associated labour and computational resources costs, strongly depends on the choice of the classification algorithms, imagery sources, and training samples."
3,"different classification approaches exist (maxwell, warner, and fang 2018)."
3,"among the conventional remote sensing classifiers, isodata, k-means, and max­ imum likelihood are the most prominent (blanzieri and melgani 2008; rawat and kumar 2015; rogan et al."
3,2008).
