page,p
1,"journal of archaeological science: reports 21 (2018) 810–820 contents lists available at sciencedirect journal of archaeological science: reports journal homepage: www.elsevier.com/locate/jasrep assessing the eﬀects of severe weather events through remote sensing on t samothrace, greece: applications for the management of cultural resources ⁎ daniel plekhov, evan i."
1,"levine brown university, joukowsky institute for archaeology and the ancient world, united states of america a r t i c le i n fo a b s t r a c t keywords: this article demonstrates the utility of high temporal and spatial resolution satellite imagery for the detection remote sensing and study of the eﬀects of intense surface runoﬀ, particularly in respect to mitigation eﬀorts to protect ar- temporal resolution chaeological sites."
1,"we make use of planetscope imagery, which has recently become available as a freely planet labs available remote sensing data source with a revisit time of less than 24 hours, almost global coverage, and samothrace spectral and spatial resolution on par with other commercially available sensors."
1,"the high temporal resolution of ndvi planetscope data allows for better detection of changes in land cover that are the result of severe weather events, whose eﬀects may be cleared up within several days of occurring or are more pronounced in the immediate aftermath of disturbances."
1,"focusing on two severe storms that struck the island of samothrace, in the northern aegean, on july 17 and september 25/26 2017 respectively and which caused considerable damage to local infrastructure and archaeological sites, we test the utility of these data for detecting the island-wide distribution of the eﬀects of these weather events."
1,we ﬁnd that these data are suﬃciently sensitive to detect and quantify the extent of surface runoﬀ processes and argue that the detection and monitoring capabilities of these data provide a useful tool for outlining policies to mitigate future damages to cultural heritage sites.
1,"introduction tracking processes of urban sprawl, landscape degradation, and other factors that threaten sites and monuments (agapiou et al., 2015; gigli the use of multi-temporal remote sensing data has been cited by et al., 2012; goldberg et al., 2018; vihervaara et al., 2017)."
1,"the use of recent archaeological studies as critical to enrich and further the ana- legacy remote sensing data, in conjunction with newly collected data, lysis of subsurface features and their signatures (agapiou et al., 2013a; has been particularly useful for tracking long-term changes and evalu- agapiou et al., 2013b; hadjimitsis et al., 2009; mccloy, 2010), as well ating risks threatening cultural heritage sites (cigna et al., 2014; as monitor illegal excavation and other threats to cultural heritage hegazy and kaloop, 2015; stott et al., 2018)."
1,"yet as opitz and (agapiou, 2017; casana and laugier, 2017; cuca and hadjimitsis, 2017; herrmann (2018: 24) outline, high temporal revisit satellites, such as el-behaedi and ghoneim, 2018; lasaponara et al., 2012; lauricella the sentinel platforms (agapiou et al., 2014; cuca and hadjimitsis, et al., 2017; mallinis et al., 2016; parcak et al., 2016)."
1,"optical multi- 2017; tapete and cigna, 2018), have also provided “further means to spectral satellite sensors are now complemented by a growing number engaging in the study of landscape change at a temporal scale often of synthetic aperture radar (sar) platforms (chen et al., 2017; tapete neglected, the short term, season, or event.”"
