title,author,year,doi,key,phase,screening_decision,reason_for_exclusion,quick_notes,soc_method,societal_benefit,value_units,eo_data,applied_science_theme,notes
"Solar Project Financing, Bankability, And Resource Assessment","Yang, D. and Liu, L.",2020,10.1007/978-3-030-41952-3_8,yang_solarprojectfinancingbankability_2020,classifier round 2b,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management Of Humanitarian Relief Operations Using Satellite Big Data Analytics: The Case Of Kerala Floods,"Nagendra, N. P. and Narayanamurthy, G. and Moser, R.",2022,10.1007/s10479-020-03593-w,nagendra_managementhumanitarianreliefoperations_2022,classifier round 2b,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drone-Based Harvest Data Prediction Can Reduce On-Farm Food Loss And Improve Farmer Income,"Wang, Haozhou and Li, Tang and Nishida, Erika and Kato, Yoichiro and Fukano, Yuya and Guo, Wei",2023,10.34133/plantphenomics.0086,wang_dronebasedharvestdata_2023,classifier round 2b,NA,NA,NA,NA,NA,NA,NA,NA,NA
Use Of Satellite Image Derived Products For Early Warning And Monitoring Of The Impact Of Drought On Food Security In Africa,"Sannier, C. and Gilliams, S. and Ham, F. and Fillol, E.",2015,10.1007/978-1-4939-2602-2_12,sannier_satelliteimagederivedproducts_2015,classifier round 2b,NA,NA,NA,NA,NA,NA,NA,NA,NA
Challenges In Geospatial Technology For Water,"Srivastava, P. K. and Yaduvanshi, A.",2016,10.1201/9781315370989-29,srivastava_challengesgeospatialtechnologywater_2016,classifier round 2b,NA,NA,NA,NA,NA,NA,NA,NA,NA
Data Integration For Climate Vulnerability Mapping In West Africa,"de Sherbinin, Alex and Chai-Onn, Tricia and Jaiteh, Malanding and Mara, Valentina and Pistolesi, Linda and Schnarr, Emilie and Trzaska, Sylwia",2015,10.3390/ijgi4042561,desherbinin_dataintegrationclimatevulnerability_2015,classifier round 2b,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Deriving Water Quality Parameters Using Sentinel-2 Imagery: A Case Study In The Sado Estuary, Portugal","Sent, G. and Biguino, B. and Favareto, L. and Cruz, J. and Sá, C. and Dogliotti, A. I. and Palma, C. and Brotas, V. and Brito, A. C.",2021,10.3390/rs13051043,sent_derivingwaterqualityparameters_2021,classifier round 2b,NA,NA,NA,NA,NA,NA,NA,NA,NA
Quantifying Pruning Impacts On Olive Tree Architecture And Annual Canopy Growth By Using Uav-Based 3d Modelling,"Jimenez-Brenes, F. M. and Lopez-Granados, F. and de Castro, A. I. and Torres-Sanchez, J. and Serrano, N. and Pena, J. M.",2017,10.1186/s13007-017-0205-3,jimenezbrenes_quantifyingpruningimpactsolive_2017,classifier round 2b,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ehabitat, A Multi-Purpose Web Processing Service For Ecological Modeling","Dubois, G. and Schulz, M. and Skoien, J. and Bastin, L. and Peedell, S.",2013,10.1016/j.envsoft.2012.11.005,dubois_ehabitatmultipurposeweb_2013,classifier round 2b,NA,NA,NA,NA,NA,NA,NA,NA,NA
Flood Hazard And Flood Risk Assessment Using A Time Series Of Satellite Images: A Case Study In Namibia,"Skakun, S. and Kussul, N. and Shelestov, A. and Kussul, O.",2014,10.1111/risa.12156,skakun_floodhazardfloodrisk_2014,classifier round 2b,NA,NA,NA,NA,NA,NA,NA,NA,NA
Impact Of The Dual Use Concept Along The Value Chain Of Major Space Applications,"Giget, Marc and Chenard, Stephane and Le Proux de la Riviere, Eric",1996,10.1016/0094-5765(96)00054-9,giget_impactdualconceptchain_1996,classifier round 2b,NA,NA,NA,NA,NA,NA,NA,NA,NA
Precision Farming Uses Typology In Arable Crop-Oriented Farms In Northern France,"Ayerdi Gotor, Alicia and Marraccini, Elisa and Leclercq, Christine and Scheurer, Olivier",2020,10.1007/s11119-019-09660-y,ayerdigotor_precisionfarmingtypologyarable_2020,classifier round 2b,NA,NA,NA,NA,NA,NA,NA,NA,NA
Improving The Management Of Dryland Salinity In Australia Through The National Airborne Geophysics Project,"Coppa, I. and Woodgate, P. and Webb, A.",1998,10.1071/eg998230,coppa_improvingmanagementdrylandsalinity_1998,classifier round 2b,NA,NA,NA,NA,NA,NA,NA,NA,NA
