title,year,doi,tags,phase,screening_status,excl_reasons
Remote Sensing Products And Services In Support Of Agricultural Public Policies In Africa: Overview And Challenges,NA,10.3389/fsufs.2020.00058,{},classifier round 2,included,NA
"Solar Project Financing, Bankability, And Resource Assessment",NA,10.1007/978-3-030-41952-3_8,{},classifier round 2b,included,NA
Disaster Management And Virtual Globes: A High Potential For Developing Countries,NA,10.4018/978-1-4666-2038-4.ch095,{},classifier round 2a,included,NA
Management Of Humanitarian Relief Operations Using Satellite Big Data Analytics: The Case Of Kerala Floods,NA,10.1007/s10479-020-03593-w,{},classifier round 2b,included,NA
"Modelling And Evaluation Of Land Use Changes Through Satellite Images In A Multifunctional Catchment: Social, Economic And Environmental Implications",NA,10.1016/j.ecoinf.2022.101777,{},classifier round 1,included,NA
The Utility Of Airborne Hyperspectral And Satellite Multispectral Images In Identifying Natura 2000 Non-Forest Habitats For Conservation Purposes,NA,10.1038/s41598-023-31705-6,{},classifier round 2a,included,NA
CEOS contributions to informing energy management and policy decision making using space-based Earth observations,2012,https://doi.org/10.1016/j.apenergy.2011.03.001,{},soc ben repo,included,NA
Drone-Based Harvest Data Prediction Can Reduce On-Farm Food Loss And Improve Farmer Income,NA,10.34133/plantphenomics.0086,{},classifier round 2b,included,NA
Earth Observation Satellite Data In Support Of Water Management For Agriculture,2017,NA,{cco},early,included,NA
Use Of Satellite Image Derived Products For Early Warning And Monitoring Of The Impact Of Drought On Food Security In Africa,NA,10.1007/978-1-4939-2602-2_12,{},classifier round 2b,included,NA
The Value Of Site-Specific Information And The Environment: Technology Adoption And Pesticide Use Under Uncertainty,2005,10.1016/j.jenvman.2005.01.024,{},sample 1000,included,NA
Where Have All The People Gone? Enhancing Global Conservation Using Night Lights And Social Media,2015,10.1890/15-0113.1.sm,{},sample 1000,included,NA
Data Justice And Biodiversity Conservation,2022,10.1111/cobi.13919,"{cco,maybe}",early,included,NA
Banda Aceh-The Value of Earth Observation Data in Disaster Recovery and Reconstruction: A Case Study,2008,http://pure.iiasa.ac.at/8741/,{},soc ben repo,included,NA
"Quantitative Assessment Of Soil Condition, Basic Environmental Factors And Productivity Of Linum Usitatissimum In The Steppe Zone Of Kazakhstan Using The Remote Sensing Method",NA,10.1590/1519-6984.277283,{},classifier round 2,included,NA
Challenges In Geospatial Technology For Water,NA,10.1201/9781315370989-29,{},classifier round 2b,included,NA
"Mapping Of Environmental Sensitivity Index To Oil Spill From Landsat Tm Images: ""A Study Case On The Amazon Coastal Plain""",NA,10.22564/rbgf.v30i4.240,{},classifier round 2a,included,NA
A Real Options Approach To Satellite Mission Planning,NA,10.1016/j.spacepol.2008.09.008,{},classifier round 2,included,NA
Data Integration For Climate Vulnerability Mapping In West Africa,NA,10.3390/ijgi4042561,{},classifier round 2b,included,NA
"Deriving Water Quality Parameters Using Sentinel-2 Imagery: A Case Study In The Sado Estuary, Portugal",NA,10.3390/rs13051043,{},classifier round 2b,included,NA
Quantifying Pruning Impacts On Olive Tree Architecture And Annual Canopy Growth By Using Uav-Based 3d Modelling,2017,10.1186/s13007-017-0205-3,{},classifier round 2b,included,NA
The Value of El Niño Forecasts in the Management of Salmon: A Stochastic Dynamic Assessment,2020,https://dx.doi.org/10.2307/1244062,{},soc ben repo,included,NA
"The Value of Satellite-Based Active Fire Data for Monitoring, Reporting and Verification of REDD+ in the Lao PDR",2013,https://doi.org/10.1007/s10745-013-9565-0,{},soc ben repo,included,NA
Space-Based Earth Observations For Disaster Risk Management,NA,10.1007/s10712-020-09586-5,{},classifier round 2,included,NA
Evaluation Of Earth Observation Systems For Estimating Environmental Determinants Of Microbial Contamination In Recreational Waters,2015,10.1109/jstars.2015.2426138,{},sample 1000,included,NA
"Study Of Productivity And Biomass Above The Ground, Using Vegetation Indices In Plantations Of Tectona Grandis L. (Teak) Located In Guanacaste, Costa Rica",NA,10.18845/tm.v35i6.6229,{},classifier round 2a,included,NA
"Ehabitat, A Multi-Purpose Web Processing Service For Ecological Modeling",NA,10.1016/j.envsoft.2012.11.005,"{""is eHabitat esi?"",maybe}",classifier round 2b,included,NA
Flood Hazard And Flood Risk Assessment Using A Time Series Of Satellite Images: A Case Study In Namibia,NA,10.1111/risa.12156,{},classifier round 2b,included,NA
The Role Of African Emerging Space Agencies In Earth Observation Capacity Building For Facilitating The Implementation And Monitoring Of The African Development Agenda: The Case Of African Earth Observation Program,NA,10.3390/ijgi8070292,{},classifier round 2,included,NA
Landsat and Water—Case Studies of the Uses and Benefits of Landsat Imagery in Water Resources,2014,http://dx.doi.org/10.3133/ofr20141108,{},soc ben repo,included,NA
